endpoint,keylen,time
client,1024,193656
server,1024,255604
client,1024,191576
server,1024,252450
client,1024,188429
server,1024,248379
client,1024,187514
server,1024,249782
server,1024,249905
client,1024,188726
client,2048,207235
server,2048,268301
client,2048,201458
server,2048,263217
client,2048,203130
server,2048,266712
client,2048,200509
server,2048,262943
client,2048,202239
server,2048,262732
client,4096,312469
server,4096,374088
client,4096,289962
server,4096,351737
client,4096,287660
server,4096,349301
client,4096,290623
server,4096,351643
client,4096,290656
server,4096,352426
client,8192,1017688
server,8192,1082175
client,8192,994094
server,8192,1055414
client,8192,932661
server,8192,993986
client,8192,945291
server,8192,1007617
client,8192,939817
server,8192,1001282
