endpoint,keylen,time
client,1024,246496
server,1024,311206
client,1024,197545
server,1024,263418
client,1024,197158
server,1024,260706
client,1024,197985
server,1024,261476
server,1024,265289
client,1024,200720
client,2048,218705
server,2048,283304
server,2048,280638
client,2048,214390
client,2048,217015
server,2048,281754
server,2048,280989
client,2048,215121
client,2048,212152
server,2048,277275
client,4096,327772
server,4096,393411
client,4096,305317
server,4096,369161
server,4096,380553
client,4096,309462
client,4096,307066
server,4096,371905
client,4096,306396
server,4096,371879
client,8192,1092178
server,8192,1160219
client,8192,1034596
server,8192,1101302
server,8192,1091443
client,8192,1023442
client,8192,1032116
server,8192,1100783
client,8192,1033482
server,8192,1099233
