endpoint,min_input,max_input,cycles,time
server,32,8192,471622619,181885
client,32,8192,441930176,170433
server,32,8192,569103861,219479
client,32,8192,494951840,190880
server,32,8192,592977612,228684
client,32,8192,430466523,166011
server,32,8192,591087315,227956
client,32,8192,133593953,51521
server,32,8192,590939514,227898
client,32,8192,25919628,9996
server,32,8192,621158336,239553
client,32,8192,595762494,229758
server,32,8192,432693910,166871
client,32,8192,476318542,183694
server,32,8192,579307316,223412
client,32,8192,432043067,166620
server,32,8192,579517349,223493
client,32,8192,419425529,161754
server,32,8192,586311009,226114
client,32,8192,447061723,172412
server,32,8192,261918930,101010
client,32,8192,476422262,183734
server,32,8192,585950582,225974
client,32,8192,479194179,184804
server,32,8192,590853945,227867
client,32,8192,441963885,170445
server,32,8192,391024400,150800
client,32,8192,442697704,170728
server,32,8192,590234218,227626
client,32,8192,439433117,169469
server,32,8192,560500287,216160
client,32,8192,430266862,165934
server,32,8192,390389115,150555
client,32,8192,439108992,169345
server,32,8192,590962851,227907
client,32,8192,460942052,177764
server,32,8192,640196142,246894
client,32,8192,434286012,167484
server,32,8192,590885061,227877
client,32,8192,430116468,165877
server,32,8192,558138064,215249
client,32,8192,437382054,168678
server,32,8192,384907513,148441
client,32,8192,439510907,169499
server,32,8192,320943389,123774
client,32,8192,431794139,166523
server,32,8192,389510088,150216
client,32,8192,437465030,168711
server,32,8192,571383108,220357
client,32,8192,436225576,168232
server,32,8192,596402965,230005
client,32,8192,448529361,172977
server,32,8192,573454915,221157
client,32,8192,439736498,169586
server,32,8192,575555245,221965
client,32,8192,442103907,170500
server,32,8192,590091603,227571
client,32,8192,506941872,195505
server,32,8192,395805892,152644
client,32,8192,456941053,176222
server,32,8192,577258846,222623
client,32,8192,436215204,168228
server,32,8192,83870585,32346
client,32,8192,423237239,163223
server,32,8192,381023199,146943
client,32,8192,439342362,169434
server,32,8192,580953871,224039
client,32,8192,437314636,168651
server,32,8192,584892638,225566
client,32,8192,441180799,170143
server,32,8192,271256323,104611
client,32,8192,449657316,173412
client,32,8192,431830441,166538
server,32,8192,553945183,213630
server,32,8192,616812468,237878
client,32,8192,426973752,164665
server,32,8192,581659167,224319
client,32,8192,425415359,164063
server,32,8192,575308910,221870
client,32,8192,442676960,170720
server,32,8192,272197582,104974
client,32,8192,437662098,168786
server,32,8192,574494708,221556
client,32,8192,468264684,180588
server,32,8192,274023054,105678
client,32,8192,435105400,167800
server,32,8192,63904485,24645
client,32,8192,441971664,170450
server,32,8192,586069860,226021
client,32,8192,443701195,171115
server,32,8192,271245951,104608
client,32,8192,439624999,169544
server,32,8192,569552450,219650
client,32,8192,421497336,162552
server,32,8192,593778849,228994
client,32,8192,595275010,229570
server,32,8192,566907590,218631
client,32,8192,623880986,240602
server,32,8192,569300929,219554
client,32,8192,606266737,233810
server,32,8192,607708445,234367
client,32,8192,471728932,181925
server,32,8192,585266030,225710
client,32,8192,483428548,186436
server,32,8192,577927840,222880
client,32,8192,448197457,172849
server,32,8192,385301649,148593
client,32,8192,434687927,167640
server,32,8192,386950797,149230
client,32,8192,440239540,169781
server,32,8192,605911496,233672
client,32,8192,438193663,168991
server,32,8192,646644933,249383
client,32,8192,440211017,169769
server,32,8192,578633136,223152
client,32,8192,445005474,171618
server,32,8192,387256771,149348
client,32,8192,454962594,175458
server,32,8192,590195323,227612
client,32,8192,445368494,171758
server,32,8192,582820831,224768
client,32,8192,457553001,176457
server,32,8192,582600426,224682
client,32,8192,445389238,171766
server,32,8192,416819564,160748
client,32,8192,474907950,183150
server,32,8192,579631441,223537
client,32,8192,474228584,182888
server,32,8192,272368720,105041
client,32,8192,428889979,165403
server,32,8192,419539621,161798
client,32,8192,473134338,182466
server,32,8192,584036948,225237
client,32,8192,469444499,181044
server,32,8192,591136582,227965
client,32,8192,433653320,167240
server,32,8192,576250169,222234
client,32,8192,444424642,171394
server,32,8192,584711128,225496
client,32,8192,443169630,170911
server,32,8192,226412981,87317
client,32,8192,466379573,179862
server,32,8192,586795900,226301
client,32,8192,442230964,170549
server,32,8192,232667297,89730
client,32,8192,457026622,176253
server,32,8192,577422205,222686
client,32,8192,443185188,170916
server,32,8192,258659529,99753
client,32,8192,433126941,167036
server,32,8192,585839083,225932
client,32,8192,433093232,167025
server,32,8192,585141566,225655
client,32,8192,431332585,166345
server,32,8192,627451547,241979
client,32,8192,444336480,171360
server,32,8192,588706941,227037
client,32,8192,441657911,170327
server,32,8192,573773854,221279
client,32,8192,449965883,173532
server,32,8192,587345616,226512
client,32,8192,438455556,169092
server,32,8192,573065965,221006
client,32,8192,437913619,168884
server,32,8192,609383523,235011
client,32,8192,466872243,180052
server,32,8192,579750719,223584
client,32,8192,427785361,164977
server,32,8192,602602828,232398
client,32,8192,435569547,167980
server,32,8192,578384208,223057
client,32,8192,438248116,169013
server,32,8192,589827117,227468
client,32,8192,436394121,168298
server,32,8192,579649592,223544
client,32,8192,475423957,183351
server,32,8192,294824100,113700
client,32,8192,18656635,7195
server,32,8192,603544087,232760
client,32,8192,433458845,167165
server,32,8192,609741357,235151
client,32,8192,425005665,163905
server,32,8192,593296551,228807
client,32,8192,37725557,14549
server,32,8192,598915582,230974
client,32,8192,35913050,13850
server,32,8192,599664959,231263
client,32,8192,32334710,12470
server,32,8192,395110968,152375
client,32,8192,46124284,17788
client,32,8192,5004490,1930
server,32,8192,28198875,10876
client,32,8192,9822284,3787
server,32,8192,28901578,11147
server,32,8192,641632664,247450
client,32,8192,132873099,51244
server,32,8192,596548173,230062
client,32,8192,438797832,169225
server,32,8192,589824524,227470
client,32,8192,129930044,50109
server,32,8192,531414606,204942
client,32,8192,607736968,234376
server,32,8192,555690272,214304
client,32,8192,595495415,229655
server,32,8192,578825018,223226
client,32,8192,566280084,218388
server,32,8192,605242502,233415
client,32,8192,579125806,223342
server,32,8192,622607823,240113
client,32,8192,601832707,232100
server,32,8192,612355101,236148
client,32,8192,596589661,230077
server,32,8192,613288581,236517
client,32,8192,599618285,231245
server,32,8192,610187353,235322
client,32,8192,598728886,230902
server,32,8192,600995168,231776
client,32,8192,582037745,224466
server,32,8192,580803477,223989
client,32,8192,605169898,233387
server,32,8192,589640421,227397
client,32,8192,601601930,232011
server,32,8192,555736946,214322
client,32,8192,606173389,233773
server,32,8192,617229941,238038
client,32,8192,602771373,232461
server,32,8192,601780847,232082
client,32,8192,603500006,232742
server,32,8192,608514868,234676
client,32,8192,602276110,232270
server,32,8192,604257162,233034
client,32,8192,69461284,26789
server,32,8192,600235419,231483
client,32,8192,34590620,13340
server,32,8192,609061991,234887
client,32,8192,29759861,11477
server,32,8192,603634842,232795
client,32,8192,42216633,16281
server,32,8192,619226551,238807
client,32,8192,37264003,14372
server,32,8192,601259654,231879
client,32,8192,448060028,172796
server,32,8192,601640825,232025
client,32,8192,25784792,9944
server,32,8192,600603625,231625
client,32,8192,440459945,169866
server,32,8192,599177475,231075
client,32,8192,434558277,167589
server,32,8192,593729582,228974
client,32,8192,23814112,9184
server,32,8192,414314726,159782
client,32,8192,26614552,10265
server,32,8192,600564730,231611
client,32,8192,38767943,14952
server,32,8192,588546175,226976
client,32,8192,429138907,165499
server,32,8192,602670246,232424
client,32,8192,25984453,10022
server,32,8192,604895040,233280
client,32,8192,462090751,178207
client,32,8192,66225220,25539
server,32,8192,429398207,165598
client,32,8192,8816200,3400
server,32,8192,102369047,39480
client,32,8192,16579642,6394
server,32,8192,56579260,21821
server,32,8192,602768780,232460
client,32,8192,34497272,13304
server,32,8192,594038149,229094
client,32,8192,462020740,178182
server,32,8192,595070163,229492
client,32,8192,87223334,33639
server,32,8192,622314814,239998
client,32,8192,465417570,179490
server,32,8192,606992777,234090
client,32,8192,437242032,168625
server,32,8192,598238809,230714
client,32,8192,75744123,29212
server,32,8192,599921666,231364
client,32,8192,130661270,50390
server,32,8192,611336052,235764
client,32,8192,31810924,12269
server,32,8192,617315510,238072
client,32,8192,446071197,172029
server,32,8192,605239909,233413
client,32,8192,74888433,28881
server,32,8192,603813759,232863
client,32,8192,69189019,26684
server,32,8192,616646516,237812
client,32,8192,438924889,169273
server,32,8192,611782048,235937
client,32,8192,429475997,165629
server,32,8192,610169202,235316
client,32,8192,431674861,166477
server,32,8192,592106364,228348
client,32,8192,34774723,13411
server,32,8192,610174388,235316
client,32,8192,38194890,14730
server,32,8192,591686298,228187
client,32,8192,43334216,16713
server,32,8192,598695177,230889
client,32,8192,59921637,23086
server,32,8192,607915885,234446
client,32,8192,99861616,38512
server,32,8192,594696771,229348
client,32,8192,432517586,166802
client,32,8192,106660462,41133
server,32,8192,609025689,234873
server,32,8192,602136088,232218
client,32,8192,32765148,12637
server,32,8192,590120126,227582
client,32,8192,97177861,37478
server,32,8192,596164409,229914
client,32,8192,127282591,49087
server,32,8192,596605219,230084
client,32,8192,59592326,22982
server,32,8192,606178575,233775
client,32,8192,474378978,182946
server,32,8192,608862330,234810
client,32,8192,428905537,165409
server,32,8192,602522445,232364
client,32,8192,429553787,165660
server,32,8192,593019100,228702
client,32,8192,39862189,15375
server,32,8192,613801995,236716
client,32,8192,447271756,172491
server,32,8192,580614188,223917
client,32,8192,30185113,11641
server,32,8192,597639826,230482
client,32,8192,23728543,9153
server,32,8192,594717515,229354
client,32,8192,30447006,11742
server,32,8192,609629858,235107
client,32,8192,28854904,11129
server,32,8192,604283092,233043
client,32,8192,472042685,182046
server,32,8192,612959270,236392
