endpoint,operation,msglen,time
client,encrypt,256,31
server,decrypt,256,17
server,encrypt,256,17
client,decrypt,256,17
client,encrypt,256,21
server,decrypt,256,27
server,encrypt,256,17
client,decrypt,256,17
client,encrypt,256,29
server,decrypt,256,16
server,encrypt,256,28
client,decrypt,256,17
client,encrypt,256,18
server,decrypt,256,17
server,encrypt,256,18
client,decrypt,256,36
client,encrypt,256,16
server,decrypt,256,16
server,encrypt,256,31
client,decrypt,256,17
client,encrypt,512,28
server,decrypt,512,29
server,encrypt,512,27
client,decrypt,512,34
client,encrypt,512,28
server,decrypt,512,28
server,encrypt,512,27
client,decrypt,512,27
client,encrypt,512,28
server,decrypt,512,29
server,encrypt,512,28
client,decrypt,512,28
client,encrypt,512,28
server,decrypt,512,28
server,encrypt,512,28
client,decrypt,512,28
client,encrypt,512,41
server,decrypt,512,27
server,encrypt,512,29
client,decrypt,512,28
client,encrypt,1024,49
server,decrypt,1024,49
server,encrypt,1024,50
client,decrypt,1024,49
client,encrypt,1024,53
server,decrypt,1024,49
server,encrypt,1024,49
client,decrypt,1024,118
client,encrypt,1024,57
server,decrypt,1024,57
server,encrypt,1024,49
client,decrypt,1024,48
client,encrypt,1024,50
server,decrypt,1024,49
server,encrypt,1024,63
client,decrypt,1024,59
client,encrypt,1024,50
server,decrypt,1024,58
server,encrypt,1024,50
client,decrypt,1024,50
client,encrypt,2048,114
server,decrypt,2048,129
server,encrypt,2048,93
client,decrypt,2048,92
client,encrypt,2048,93
server,decrypt,2048,92
server,encrypt,2048,102
client,decrypt,2048,92
client,encrypt,2048,92
server,decrypt,2048,201
server,encrypt,2048,92
client,decrypt,2048,107
client,encrypt,2048,93
server,decrypt,2048,93
server,encrypt,2048,98
client,decrypt,2048,92
client,encrypt,2048,147
server,decrypt,2048,93
server,encrypt,2048,93
client,decrypt,2048,159
