endpoint,time
server,126113
client,100359
client,101948
server,161999
client,97063
server,122908
client,94322
server,119628
server,118956
client,93110
client,93988
server,119623
client,94117
server,119476
server,120314
client,94612
client,93591
server,118677
client,93435
server,119124
client,94547
server,120416
server,119029
client,94052
client,96281
server,122030
server,120825
client,95141
client,95059
server,120726
server,121748
client,96008
client,95176
server,120869
server,119597
client,94562
client,93812
server,119440
client,94749
server,120469
client,94793
server,120545
server,119665
client,93884
client,95229
server,120365
client,94772
server,120533
client,95129
server,120931
client,94005
server,119739
server,119240
client,93558
client,94177
server,120001
client,94806
server,119887
client,93475
server,119311
client,94228
server,120270
server,120344
client,94502
client,94294
server,120353
server,122083
client,95875
client,94538
server,120245
client,94939
server,120943
client,95258
server,121034
client,95168
server,120980
client,94665
server,120359
client,95916
server,121762
server,120366
client,95283
client,94036
server,119747
client,94812
server,120164
server,120701
client,95058
server,119398
client,93987
server,119920
client,94260
client,94367
server,120093
client,96614
server,121729
client,94071
server,120069
client,93835
server,119511
client,94781
server,120563
client,94386
server,120202
client,94300
server,120066
client,94086
server,119736
client,94851
server,119847
client,95187
server,120328
client,94027
server,119849
client,94158
server,119220
server,120068
client,94710
client,94636
server,120479
client,94313
server,120169
client,94292
server,120208
client,94533
server,120539
client,95472
server,120682
client,94359
server,119826
client,94907
server,120728
client,94677
server,120485
client,95395
server,121181
client,94216
server,120006
client,94720
server,120480
client,94965
server,120841
server,120659
client,95444
client,94344
server,120063
client,94835
server,120641
client,94568
server,119613
client,94791
server,120752
client,94419
server,119432
client,94709
server,120383
client,94756
server,120537
client,95301
server,121451
client,94190
server,119336
client,94280
server,120289
client,95086
server,121337
client,95616
server,121531
client,94536
server,120254
client,94816
server,121238
client,94968
server,120905
client,95757
server,121427
client,94322
server,120387
client,94658
server,121015
client,94702
server,121027
client,95911
server,121798
client,93821
server,119022
client,93849
server,119155
client,94502
server,120472
client,95272
server,121884
client,94471
server,120440
client,94002
server,119692
client,94363
server,120591
client,94218
server,119844
client,94335
server,119993
client,93703
server,119317
client,94818
server,120591
client,94418
server,120211
client,94537
server,120201
client,93774
server,119468
client,95828
server,121870
client,94684
server,120638
client,93865
server,119624
client,94612
server,120410
client,101693
server,127011
client,94161
server,120103
client,93668
server,119330
client,93626
server,118649
client,102736
server,128482
client,94673
server,120342
client,94272
server,119398
client,93881
server,119689
client,94350
server,120069
client,95038
server,120950
client,94649
server,119804
client,94621
server,120466
client,94710
server,120404
client,94643
server,119907
client,93441
server,118546
client,94523
server,120221
client,95080
server,120803
client,94836
server,120510
client,93824
server,118884
client,94438
server,120467
client,94505
server,120285
client,94741
server,120055
client,94548
server,120402
client,93692
server,120017
client,94726
server,120575
client,94867
server,120789
client,94448
server,120617
client,95061
server,120894
client,94623
server,120416
client,94212
server,120042
client,94648
server,120402
client,94135
server,120052
client,94203
server,119936
client,94626
server,119882
client,94315
server,120078
client,94645
server,120409
client,94703
server,120450
client,94993
server,120768
client,94541
server,120311
client,95163
server,120997
client,94806
server,121230
client,94686
server,120401
client,94507
server,120285
client,94053
server,119651
client,94827
server,120610
client,95156
server,120885
client,93663
server,119463
client,94872
server,120497
client,94698
server,120532
client,94877
server,120727
client,94763
server,120885
client,94435
server,120143
client,93950
server,119046
client,94504
server,120252
client,94713
server,121082
client,94362
server,120043
client,93944
server,119566
client,94796
server,120596
client,94330
server,120578
client,94192
server,119923
client,94561
server,120272
client,94502
server,119911
client,95672
server,121428
client,93803
server,119544
client,94476
server,120317
client,94531
server,119853
client,94524
server,120396
client,94486
server,119435
server,121060
client,95309
client,95016
server,121146
client,94475
server,120301
client,94208
server,120155
client,94637
server,120459
client,94388
server,120404
client,94808
server,120668
client,93788
server,118810
client,94667
server,120418
client,94509
server,120347
client,94220
server,119246
client,93587
server,119253
client,94462
server,119475
client,94177
server,119611
client,93824
server,119510
client,94277
server,120067
server,120455
client,94799
client,94146
server,119933
client,95147
server,120260
client,93781
server,119562
client,93742
server,119653
client,94701
server,120798
client,94218
server,120137
client,94240
server,120019
client,94565
server,120432
client,94881
