endpoint,keylen,time
client,1024,205849
server,1024,263287
client,1024,196656
server,1024,253384
client,1024,189094
server,1024,246787
client,1024,187970
server,1024,245463
client,1024,190719
server,1024,248499
client,1024,187361
server,1024,244817
client,1024,188819
server,1024,246720
client,1024,186552
server,1024,243665
server,1024,245685
client,1024,188104
client,1024,187836
server,1024,245453
client,1024,188826
server,1024,246584
server,1024,245663
client,1024,187596
client,1024,190027
server,1024,247755
client,1024,187259
server,1024,245002
client,1024,190122
server,1024,248238
client,1024,187221
server,1024,244705
client,1024,188264
server,1024,245574
client,1024,187818
server,1024,245328
client,1024,187309
server,1024,250426
client,1024,187334
server,1024,244928
client,1024,186316
server,1024,244960
client,1024,185680
server,1024,243189
client,1024,187811
server,1024,245889
client,1024,187527
server,1024,245328
client,1024,188677
server,1024,247429
client,1024,187057
server,1024,244991
server,1024,246136
client,1024,187780
client,1024,187310
server,1024,245752
server,1024,243422
client,1024,185441
client,1024,187646
server,1024,247083
server,1024,244062
client,1024,186437
client,1024,187133
server,1024,246010
client,1024,187424
server,1024,245166
client,1024,187671
server,1024,245595
client,1024,187615
server,1024,245300
client,1024,189088
server,1024,246875
client,1024,186338
server,1024,250481
client,1024,189172
server,1024,246769
server,1024,245003
client,1024,187185
client,1024,189364
server,1024,247347
client,1024,187478
server,1024,244866
client,1024,189644
server,1024,246959
client,1024,187079
server,1024,245117
client,1024,189284
server,1024,247183
client,1024,186808
server,1024,244468
client,1024,189418
server,1024,246732
client,1024,188598
server,1024,246541
server,1024,245964
client,1024,188228
client,1024,189328
server,1024,247296
client,1024,188349
server,1024,245940
client,1024,189008
server,1024,248226
client,1024,187146
server,1024,244805
client,1024,188369
server,1024,246682
client,1024,187746
server,1024,245163
client,1024,187863
server,1024,245612
client,1024,187430
server,1024,245896
client,1024,187884
server,1024,246109
server,1024,245970
client,1024,187697
client,1024,189088
server,1024,246803
client,1024,190061
server,1024,248364
client,1024,188888
server,1024,247169
client,1024,189920
server,1024,248138
client,1024,188523
server,1024,247175
client,1024,189554
server,1024,247549
client,1024,187311
server,1024,245332
server,1024,247536
client,1024,189791
server,1024,244078
client,1024,186567
client,1024,188905
server,1024,246553
client,1024,187284
server,1024,244902
client,1024,190755
server,1024,249092
client,1024,187199
server,1024,245179
client,1024,189192
server,1024,245979
client,1024,186583
server,1024,243781
client,1024,188212
server,1024,246392
client,1024,187200
server,1024,244893
client,1024,188058
server,1024,245867
client,1024,187414
server,1024,245068
client,1024,189382
server,1024,247044
client,1024,187330
server,1024,244920
client,1024,187607
server,1024,245167
client,1024,186801
server,1024,244715
client,1024,190434
server,1024,247792
client,1024,187467
server,1024,244857
client,1024,189005
server,1024,246733
server,1024,244865
client,1024,187150
client,1024,188266
server,1024,245193
client,1024,187253
server,1024,244988
client,1024,189640
server,1024,246992
client,1024,187258
server,1024,245510
server,1024,248307
client,1024,188232
client,1024,187144
server,1024,245658
client,1024,189389
server,1024,247449
client,1024,187514
server,1024,245817
client,1024,189386
server,1024,247096
client,1024,188831
server,1024,244840
client,1024,188901
server,1024,246891
client,1024,190731
server,1024,248685
client,1024,188865
server,1024,247397
client,1024,188140
server,1024,246061
client,1024,187053
server,1024,245889
client,1024,189259
server,1024,247324
client,1024,187687
server,1024,246024
client,1024,187529
server,1024,245570
client,1024,187054
server,1024,244975
client,1024,188342
server,1024,245896
client,1024,186880
server,1024,244664
client,1024,188170
server,1024,245812
client,1024,187303
server,1024,245729
client,1024,188361
server,1024,246014
client,1024,187687
server,1024,245570
client,1024,188976
server,1024,246500
client,1024,187657
server,1024,245119
client,1024,189691
server,1024,247309
client,1024,188472
server,1024,246534
client,1024,188373
server,1024,246061
client,1024,187748
server,1024,245887
client,1024,187886
server,1024,246098
client,1024,188383
server,1024,246895
client,1024,188394
server,1024,246413
client,1024,187723
server,1024,246186
client,1024,189254
server,1024,247021
client,1024,188347
server,1024,246637
client,1024,187368
server,1024,245306
client,1024,189606
server,1024,245699
client,1024,188681
server,1024,246647
client,1024,189143
server,1024,246861
client,1024,187853
server,1024,245688
client,1024,188266
server,1024,245428
client,1024,188422
server,1024,245807
client,1024,189010
server,1024,246597
server,1024,245530
client,1024,188006
client,1024,187198
server,1024,245586
client,1024,188651
server,1024,245393
client,1024,189172
server,1024,247203
client,1024,188230
server,1024,245858
server,1024,246592
client,1024,188298
client,1024,186512
server,1024,244184
client,1024,189157
server,1024,247498
client,1024,189942
server,1024,248400
client,1024,187881
server,1024,245739
client,1024,187675
server,1024,245966
client,1024,186534
server,1024,244447
client,1024,187235
server,1024,245278
client,1024,187195
server,1024,245084
client,1024,187898
server,1024,247064
client,1024,187318
server,1024,245711
client,1024,189124
server,1024,247939
client,1024,186881
server,1024,244468
client,1024,189544
server,1024,248323
client,1024,186559
server,1024,244846
client,1024,188321
server,1024,246831
client,1024,187315
server,1024,245215
client,1024,188568
server,1024,246523
client,1024,188063
server,1024,245702
client,1024,188394
server,1024,246002
client,1024,187387
server,1024,244986
server,1024,245118
client,1024,187424
client,1024,188447
server,1024,245814
client,1024,189043
server,1024,247342
client,1024,188843
server,1024,246359
client,1024,190204
server,1024,247682
client,1024,189774
server,1024,247298
client,1024,189588
server,1024,247409
client,1024,188183
server,1024,246923
client,1024,187779
server,1024,245808
client,1024,186345
server,1024,244644
client,1024,187655
server,1024,245481
client,1024,187525
server,1024,245669
server,1024,245673
client,1024,187635
client,1024,188445
server,1024,247405
client,1024,187272
server,1024,245128
client,1024,189580
server,1024,247853
client,1024,187234
server,1024,245271
client,1024,189541
server,1024,247283
client,1024,187545
server,1024,245274
client,1024,188381
server,1024,246170
client,1024,186750
server,1024,244283
client,1024,187644
server,1024,245179
server,1024,245408
client,1024,188045
client,1024,188358
server,1024,246125
client,1024,188147
server,1024,245736
client,1024,189516
server,1024,248066
client,1024,187234
server,1024,244787
client,1024,189618
server,1024,246618
client,1024,187999
server,1024,245790
client,1024,191151
server,1024,249648
client,1024,187360
server,1024,244836
client,1024,190106
server,1024,248468
client,1024,190214
server,1024,247837
client,1024,188527
server,1024,246602
client,1024,187630
server,1024,246173
client,1024,188383
server,1024,247072
client,1024,188513
server,1024,246798
client,1024,187892
server,1024,246254
client,1024,187518
server,1024,246606
client,1024,187302
server,1024,245770
client,1024,188749
server,1024,246614
client,1024,187427
server,1024,245486
client,1024,187135
server,1024,245406
client,1024,188324
server,1024,246687
client,1024,188976
server,1024,246667
client,1024,187622
server,1024,245435
client,1024,190534
server,1024,248144
client,1024,186654
server,1024,244315
client,1024,189505
server,1024,246859
client,1024,186987
server,1024,244489
server,1024,248842
client,1024,191220
client,1024,187644
server,1024,245921
