endpoint,operation,msglen,time
client,digest,8192,88
server,verify,8192,102
server,digest,8192,89
client,verify,8192,119
client,digest,8192,125
server,verify,8192,91
server,digest,8192,89
client,verify,8192,141
client,digest,8192,96
server,verify,8192,93
server,digest,8192,89
client,verify,8192,97
client,digest,8192,103
server,verify,8192,171
server,digest,8192,89
client,verify,8192,93
client,digest,8192,88
server,verify,8192,99
server,digest,8192,128
client,verify,8192,95
client,digest,16384,171
server,verify,16384,176
server,digest,16384,171
client,verify,16384,177
client,digest,16384,273
server,verify,16384,304
server,digest,16384,174
client,verify,16384,183
client,digest,16384,170
server,verify,16384,178
server,digest,16384,172
client,verify,16384,176
client,digest,16384,171
server,verify,16384,178
server,digest,16384,188
client,verify,16384,173
client,digest,16384,255
server,verify,16384,177
server,digest,16384,197
client,verify,16384,176
