endpoint,time
client,99775
server,125515
client,93787
server,119512
client,94186
server,119311
server,119896
client,94109
client,93273
server,118975
client,94306
server,119983
client,94199
server,120500
client,94498
server,119445
client,94532
server,120872
client,94629
server,120252
client,94291
server,119915
server,120241
client,94528
client,94480
server,120473
client,94463
server,120143
client,94207
server,119834
client,94155
server,119150
client,94637
server,120971
client,94482
server,120173
client,94354
server,119994
client,94617
server,119497
client,94491
server,120779
client,93545
server,119231
client,100867
server,127287
client,114904
server,141955
client,106019
server,132663
client,97536
server,123129
client,95277
server,121173
client,95975
server,121306
client,95053
server,120984
client,93981
server,119804
client,93832
server,119612
client,93797
server,118955
client,94812
server,120676
client,94840
server,120125
client,93054
server,118796
client,94314
server,120064
server,119640
client,93906
server,120265
client,94353
client,94466
server,120451
client,93842
server,119747
server,120249
client,94299
client,94528
server,120968
server,119540
client,93527
client,94540
server,120547
client,94995
server,120734
client,94372
server,120189
client,94319
server,120119
client,94276
server,120229
client,95023
server,120888
client,94058
server,119886
client,94184
server,119897
client,93217
server,119312
client,93221
server,118539
client,94702
server,119691
client,93503
server,118609
client,94182
server,120478
client,94402
server,120054
client,93595
server,119327
client,94272
server,119427
client,94309
server,120078
client,93803
server,119006
client,94194
server,120633
client,94257
server,120341
client,95026
server,121167
client,94432
server,119646
client,94155
server,119224
client,94236
server,119527
client,94404
server,120392
client,94400
server,120535
client,94465
server,120349
client,94362
server,120276
client,95141
server,120744
client,95751
server,121405
client,94682
server,120803
client,95305
server,121599
client,95716
server,121898
client,94826
server,121126
client,95328
server,121417
client,95000
server,120716
client,95575
server,121332
server,121319
client,94840
client,94869
server,120272
client,93688
server,119542
client,94868
server,120962
client,94435
server,120656
client,95011
server,121126
client,94811
server,121188
client,94870
server,120279
client,94500
server,120039
client,94305
server,120483
client,94739
server,121327
client,95433
server,121678
client,94159
server,120374
client,95675
server,121888
client,94658
server,121032
client,95072
server,120609
server,121229
client,94863
client,94242
server,120504
client,94348
server,120720
client,94605
server,120681
client,94674
server,120269
client,95383
server,121585
client,96268
server,122585
client,95888
server,121292
client,96168
server,121797
client,96804
server,122288
client,97873
server,124277
client,96747
server,122906
client,94904
server,120488
client,95205
server,121317
client,96929
server,123140
client,95323
server,120809
client,94677
server,120190
client,95014
server,121419
client,94124
server,120447
server,121218
client,95099
client,94500
server,120734
client,95143
server,121545
client,94014
server,120632
client,95952
server,122146
client,96035
server,122490
client,95355
server,120729
client,95093
server,121376
client,94995
server,121161
client,93654
server,119921
client,94035
server,120293
server,121191
client,95607
client,94726
server,120166
client,94169
server,120485
client,95059
server,123688
client,94285
server,120593
client,95219
server,121402
client,94925
server,121467
client,94614
server,120759
client,95125
server,121391
client,95205
server,121400
client,94419
server,120599
client,95090
server,121374
client,96793
server,123268
client,95895
server,122174
client,96751
server,123073
client,95105
server,120633
client,94679
server,120934
client,95059
server,120773
client,94956
server,120720
client,94830
server,120439
client,94484
server,120491
client,94715
server,121073
client,95296
server,120716
client,94397
server,120125
client,95064
server,121083
client,94530
server,120887
client,96175
server,121718
client,94367
server,120688
client,95193
server,121301
client,94795
server,120498
client,95668
server,121696
client,95215
server,121588
client,95059
server,121067
client,94866
server,121580
client,95239
server,120622
client,94701
server,121135
