endpoint,operation,msglen,time
client,digest,8192,40
server,verify,8192,43
server,digest,8192,41
client,verify,8192,43
client,digest,8192,40
server,verify,8192,43
server,digest,8192,52
client,verify,8192,42
client,digest,8192,40
server,verify,8192,44
server,digest,8192,40
client,verify,8192,43
client,digest,8192,41
server,verify,8192,43
server,digest,8192,41
client,verify,8192,43
client,digest,8192,40
server,verify,8192,44
server,digest,8192,41
client,verify,8192,43
client,digest,16384,76
server,verify,16384,82
server,digest,16384,80
client,verify,16384,85
client,digest,16384,76
server,verify,16384,84
server,digest,16384,75
client,verify,16384,79
client,digest,16384,81
server,verify,16384,79
server,digest,16384,122
client,verify,16384,85
client,digest,16384,122
server,verify,16384,80
server,digest,16384,76
client,verify,16384,78
client,digest,16384,77
server,verify,16384,78
server,digest,16384,76
client,verify,16384,81
