endpoint,min_input,max_input,time
server,32,8192,9736
client,32,8192,10586
server,32,8192,7041
client,32,8192,7867
server,32,8192,7036
client,32,8192,7841
server,32,8192,6875
client,32,8192,7692
server,32,8192,6812
client,32,8192,7583
server,32,8192,6871
client,32,8192,7672
server,32,8192,6853
client,32,8192,7710
server,32,8192,6714
client,32,8192,7472
server,32,8192,7016
client,32,8192,7786
server,32,8192,6880
client,32,8192,7758
server,32,8192,6717
client,32,8192,7531
server,32,8192,6877
client,32,8192,7625
server,32,8192,6925
client,32,8192,7722
server,32,8192,6547
client,32,8192,7353
server,32,8192,6779
client,32,8192,7574
server,32,8192,6820
client,32,8192,7608
server,32,8192,6516
client,32,8192,7290
server,32,8192,6876
client,32,8192,7680
server,32,8192,6814
client,32,8192,7678
server,32,8192,6861
client,32,8192,7632
server,32,8192,7050
client,32,8192,7816
server,32,8192,6748
client,32,8192,7552
server,32,8192,6873
client,32,8192,7743
server,32,8192,6827
client,32,8192,7617
server,32,8192,6721
client,32,8192,7498
server,32,8192,6868
client,32,8192,7659
server,32,8192,6616
client,32,8192,7409
server,32,8192,6731
client,32,8192,7523
server,32,8192,6816
client,32,8192,7590
server,32,8192,6931
client,32,8192,7738
server,32,8192,6612
client,32,8192,7404
server,32,8192,6820
client,32,8192,7591
server,32,8192,6793
client,32,8192,7564
server,32,8192,7018
client,32,8192,7831
server,32,8192,6659
client,32,8192,7459
server,32,8192,6997
client,32,8192,7822
server,32,8192,6689
client,32,8192,7477
server,32,8192,6861
client,32,8192,7633
server,32,8192,6839
client,32,8192,7635
server,32,8192,6742
client,32,8192,7566
server,32,8192,6763
client,32,8192,7597
server,32,8192,6836
client,32,8192,7608
server,32,8192,6877
client,32,8192,7672
server,32,8192,6749
client,32,8192,7591
server,32,8192,6602
client,32,8192,7417
server,32,8192,6784
client,32,8192,7549
server,32,8192,6785
client,32,8192,7582
server,32,8192,6766
client,32,8192,7625
server,32,8192,6864
client,32,8192,7702
server,32,8192,6946
client,32,8192,7713
server,32,8192,6799
client,32,8192,7622
server,32,8192,6800
client,32,8192,7629
server,32,8192,6938
client,32,8192,7709
server,32,8192,6975
client,32,8192,7726
server,32,8192,6851
client,32,8192,7705
server,32,8192,6698
client,32,8192,7518
server,32,8192,6646
client,32,8192,7396
server,32,8192,6680
client,32,8192,7431
server,32,8192,6802
