endpoint,keylen,time
client,10,140
client,10,149
server,10,283
server,10,205
client,10,121
client,10,107
server,10,180
server,10,205
client,10,116
server,16,185
client,16,195
client,16,125
server,16,180
client,16,128
server,16,248
server,16,203
client,16,165
server,16,199
client,16,112
client,24,127
server,24,243
client,24,121
server,24,188
client,24,114
server,24,179
server,24,197
client,24,116
server,24,177
client,24,107
client,32,126
server,32,216
server,32,203
client,32,116
client,32,179
server,32,187
server,32,204
client,32,178
client,32,107
server,32,198
