endpoint,min_input,max_input,cycles,time
server,32,8192,7924208,3056
client,32,8192,7112599,2742
server,32,8192,9511124,3670
client,32,8192,6114294,2358
server,32,8192,7265586,2803
client,32,8192,7143715,2755
server,32,8192,7633792,2945
client,32,8192,11914835,4595
server,32,8192,6072806,2344
client,32,8192,7623420,2941
server,32,8192,5621624,2168
client,32,8192,6951833,2682
server,32,8192,6168747,2379
client,32,8192,5367510,2070
server,32,8192,8333902,3216
client,32,8192,6866264,2648
server,32,8192,6308769,2434
client,32,8192,7050367,2719
server,32,8192,5237860,2020
client,32,8192,6202456,2392
server,32,8192,9469636,3653
client,32,8192,6977763,2692
server,32,8192,6269874,2419
client,32,8192,5289720,2041
server,32,8192,4937072,1903
client,32,8192,4506634,1737
server,32,8192,5808320,2241
client,32,8192,5784983,2232
server,32,8192,8066823,3111
client,32,8192,5787576,2232
server,32,8192,8219810,3171
client,32,8192,10307175,3976
server,32,8192,7911243,3051
client,32,8192,5528276,2133
server,32,8192,7556002,2915
client,32,8192,8269077,3190
server,32,8192,4740004,1828
client,32,8192,5017455,1935
server,32,8192,3220506,1242
client,32,8192,3326819,1284
server,32,8192,3194576,1233
client,32,8192,3783187,1458
server,32,8192,3803931,1468
client,32,8192,3311261,1278
server,32,8192,3077891,1188
client,32,8192,3212727,1238
server,32,8192,3484992,1345
client,32,8192,3632793,1401
server,32,8192,3617235,1396
client,32,8192,4133242,1597
server,32,8192,3378679,1302
client,32,8192,3241250,1251
server,32,8192,3228285,1246
client,32,8192,3142716,1213
server,32,8192,3433132,1324
client,32,8192,4218811,1627
server,32,8192,3521294,1358
client,32,8192,3171239,1224
server,32,8192,3215320,1240
client,32,8192,3197169,1234
server,32,8192,3225692,1245
client,32,8192,3225692,1244
server,32,8192,3412388,1317
client,32,8192,3539445,1365
server,32,8192,3324226,1282
client,32,8192,3321633,1281
server,32,8192,6049469,2335
client,32,8192,4815201,1858
server,32,8192,3842826,1483
client,32,8192,3780594,1459
server,32,8192,3513515,1355
client,32,8192,3733920,1440
server,32,8192,3765036,1457
client,32,8192,3733920,1441
server,32,8192,5569764,2149
client,32,8192,7148901,2757
server,32,8192,3412388,1316
client,32,8192,3466841,1337
server,32,8192,3604270,1391
client,32,8192,3202355,1236
server,32,8192,3653537,1409
client,32,8192,3238657,1249
server,32,8192,5305278,2048
client,32,8192,5165256,1992
server,32,8192,3155681,1218
client,32,8192,3098635,1196
server,32,8192,3342377,1290
client,32,8192,3282738,1266
server,32,8192,3666502,1416
client,32,8192,3469434,1339
server,32,8192,3988034,1538
client,32,8192,4773713,1841
server,32,8192,3191983,1232
client,32,8192,3124565,1205
server,32,8192,3692432,1424
client,32,8192,3580933,1381
server,32,8192,3230878,1247
client,32,8192,3173832,1223
server,32,8192,3171239,1223
client,32,8192,3772815,1455
server,32,8192,3692432,1425
client,32,8192,3479806,1343
server,32,8192,3513515,1356
client,32,8192,3145309,1214
server,32,8192,3241250,1250
client,32,8192,3479806,1342
server,32,8192,4405507,1700
client,32,8192,4957816,1912
server,32,8192,3199762,1234
client,32,8192,3064926,1182
server,32,8192,3344970,1290
client,32,8192,3158274,1218
server,32,8192,3285331,1267
client,32,8192,3303482,1275
server,32,8192,3705397,1429
client,32,8192,3064926,1182
server,32,8192,4288822,1654
client,32,8192,3746885,1445
server,32,8192,5953528,2296
client,32,8192,4869654,1877
server,32,8192,3918023,1512
client,32,8192,4208439,1624
server,32,8192,3988034,1539
client,32,8192,5808320,2240
server,32,8192,3653537,1409
client,32,8192,3487585,1345
server,32,8192,3640572,1404
client,32,8192,3088263,1191
server,32,8192,3518701,1358
client,32,8192,3246436,1252
server,32,8192,3329412,1284
client,32,8192,3238657,1249
server,32,8192,3425353,1322
client,32,8192,3487585,1346
server,32,8192,4099533,1582
client,32,8192,4042487,1558
server,32,8192,3326819,1284
client,32,8192,3057147,1179
server,32,8192,3752071,1448
client,32,8192,3303482,1275
server,32,8192,3202355,1236
client,32,8192,3145309,1214
server,32,8192,3746885,1445
client,32,8192,3046775,1174
server,32,8192,6560290,2530
client,32,8192,3612049,1394
server,32,8192,10146409,3913
client,32,8192,12949442,4995
server,32,8192,6557697,2529
client,32,8192,5276755,2036
server,32,8192,6879229,2654
client,32,8192,5582729,2154
server,32,8192,6477314,2498
client,32,8192,6020946,2322
server,32,8192,3352749,1293
client,32,8192,3495364,1349
server,32,8192,4462553,1722
client,32,8192,3982848,1536
server,32,8192,4190288,1616
client,32,8192,3461655,1335
server,32,8192,3529073,1362
client,32,8192,3430539,1323
server,32,8192,6547325,2525
client,32,8192,7218912,2786
server,32,8192,4330310,1670
client,32,8192,4034708,1558
server,32,8192,3357935,1294
client,32,8192,4449588,1716
server,32,8192,4859282,1875
client,32,8192,3326819,1283
server,32,8192,3580933,1381
client,32,8192,3370900,1301
server,32,8192,3339784,1288
client,32,8192,3267180,1260
server,32,8192,3215320,1241
client,32,8192,3197169,1234
server,32,8192,3889500,1500
client,32,8192,4431437,1709
server,32,8192,3490178,1346
client,32,8192,3363121,1298
server,32,8192,3440911,1328
client,32,8192,4688144,1808
server,32,8192,6466942,2495
client,32,8192,5849808,2256
server,32,8192,5676077,2189
client,32,8192,10950239,4222
server,32,8192,3158274,1219
client,32,8192,4008778,1547
server,32,8192,3274959,1263
client,32,8192,3280145,1265
server,32,8192,3938767,1520
client,32,8192,3596491,1388
server,32,8192,3394237,1309
client,32,8192,3147902,1214
server,32,8192,3189390,1230
client,32,8192,3440911,1328
server,32,8192,4076196,1572
client,32,8192,3189390,1230
server,32,8192,3578340,1382
client,32,8192,6472128,2496
server,32,8192,2268875,875
client,32,8192,3407202,1314
server,32,8192,3321633,1282
client,32,8192,2940462,1134
server,32,8192,3267180,1260
client,32,8192,3116786,1202
server,32,8192,4213625,1625
client,32,8192,3956918,1527
server,32,8192,3412388,1316
client,32,8192,3412388,1316
server,32,8192,3625014,1399
client,32,8192,3140123,1211
server,32,8192,3204948,1236
client,32,8192,3114193,1200
server,32,8192,3456469,1335
client,32,8192,3140123,1211
server,32,8192,3282738,1267
client,32,8192,3129751,1208
server,32,8192,3316447,1279
client,32,8192,3241250,1250
server,32,8192,3526480,1362
client,32,8192,3215320,1241
server,32,8192,3612049,1394
client,32,8192,3090856,1193
server,32,8192,3189390,1230
client,32,8192,3811710,1471
server,32,8192,3775408,1457
client,32,8192,3083077,1190
server,32,8192,3332005,1287
client,32,8192,5048571,1948
server,32,8192,3988034,1539
client,32,8192,3422760,1320
server,32,8192,3142716,1212
client,32,8192,3114193,1202
server,32,8192,3321633,1281
client,32,8192,3539445,1365
server,32,8192,3313854,1279
client,32,8192,3111600,1201
server,32,8192,3285331,1267
client,32,8192,3474620,1341
server,32,8192,4174730,1610
client,32,8192,3484992,1344
server,32,8192,3653537,1409
client,32,8192,3121972,1204
server,32,8192,3580933,1382
client,32,8192,3809117,1469
server,32,8192,3767629,1453
client,32,8192,5603473,2162
server,32,8192,3936174,1519
client,32,8192,3249029,1253
