endpoint,operation,data_size,cycles,time
client,digest,16,12965,4
server,verify,16,15558,7
server,digest,16,15558,5
client,verify,16,12965,6
client,digest,16,10372,4
server,verify,16,15558,5
server,digest,16,10372,5
client,verify,16,15558,5
client,digest,16,12965,5
server,verify,16,12965,5
server,digest,16,12965,5
client,verify,16,15558,5
client,digest,16,10372,4
server,verify,16,0,0
server,digest,16,0,0
client,verify,16,15558,5
client,digest,16,12965,5
server,verify,16,15558,5
server,digest,16,12965,4
client,verify,16,20744,7
client,digest,16,12965,4
server,verify,16,20744,8
server,digest,16,12965,5
client,verify,16,20744,7
client,digest,16,36302,13
server,verify,16,23337,8
server,digest,16,12965,5
client,verify,16,15558,6
client,digest,16,12965,4
server,verify,16,15558,6
server,digest,16,12965,5
client,verify,16,12965,6
client,digest,16,12965,4
server,verify,16,15558,6
server,digest,16,12965,4
client,verify,16,67418,26
client,digest,16,15558,4
server,verify,16,15558,6
server,digest,16,12965,4
client,verify,16,15558,6
client,digest,16,12965,4
server,verify,16,15558,6
server,digest,16,12965,4
client,verify,16,12965,6
client,digest,16,12965,4
server,verify,16,15558,5
server,digest,16,12965,5
client,verify,16,15558,5
client,digest,16,12965,5
server,verify,16,15558,5
server,digest,16,38895,15
client,verify,16,15558,6
client,digest,16,12965,5
server,verify,16,20744,8
server,digest,16,12965,4
client,verify,16,15558,6
client,digest,16,12965,4
server,verify,16,15558,5
server,digest,16,12965,5
client,verify,16,18151,6
client,digest,16,12965,5
server,verify,16,18151,6
server,digest,16,12965,4
client,verify,16,15558,5
client,digest,16,12965,4
server,verify,16,25930,8
server,digest,16,15558,5
client,verify,16,15558,7
client,digest,16,15558,5
server,verify,16,18151,6
server,digest,16,12965,5
client,verify,16,23337,9
client,digest,16,20744,6
server,verify,16,482298,186
server,digest,16,12965,4
client,verify,16,15558,5
client,digest,16,25930,9
server,verify,16,15558,7
server,digest,16,15558,6
client,verify,16,18151,7
client,digest,16,15558,5
server,verify,16,18151,6
server,digest,16,12965,4
