endpoint,operation,data_size,cycles,usec
client,encrypt,4128,178917,69
server,decrypt,4128,220405,85
server,encrypt,4128,168545,65
client,decrypt,4128,168545,64
client,encrypt,4128,168545,65
server,decrypt,4128,168545,64
server,encrypt,4128,191882,73
client,decrypt,4128,173731,66
client,encrypt,4128,168545,64
server,decrypt,4128,168545,64
server,encrypt,4128,160766,63
client,decrypt,4128,176324,67
client,encrypt,4128,168545,65
server,decrypt,4128,163359,64
server,encrypt,4128,178917,68
client,decrypt,4128,184103,70
client,encrypt,4128,168545,64
server,decrypt,4128,165952,63
server,encrypt,4128,163359,62
client,decrypt,4128,173731,66
client,encrypt,4128,168545,65
server,decrypt,4128,163359,64
server,encrypt,4128,163359,62
client,decrypt,4128,181510,69
client,encrypt,4128,298195,114
server,decrypt,4128,199661,76
server,encrypt,4128,163359,62
client,decrypt,4128,658622,255
client,encrypt,4128,181510,69
server,decrypt,4128,181510,69
server,encrypt,4128,171138,65
client,decrypt,4128,176324,67
client,encrypt,4128,168545,65
server,decrypt,4128,165952,63
server,encrypt,4128,163359,63
client,decrypt,4128,173731,66
client,encrypt,4128,168545,64
server,decrypt,4128,165952,64
server,encrypt,4128,163359,62
client,decrypt,4128,168545,64
client,encrypt,4128,178917,69
server,decrypt,4128,228184,88
server,encrypt,4128,163359,62
client,decrypt,4128,168545,64
client,encrypt,4128,168545,64
server,decrypt,4128,165952,63
server,encrypt,4128,163359,62
client,decrypt,4128,168545,64
client,encrypt,4128,168545,65
server,decrypt,4128,197068,75
server,encrypt,4128,458961,177
client,decrypt,4128,194475,75
client,encrypt,4128,173731,66
server,decrypt,4128,215219,83
server,encrypt,4128,230777,89
client,decrypt,4128,168545,64
client,encrypt,4128,163359,63
server,decrypt,4128,168545,64
server,encrypt,4128,197068,77
client,decrypt,4128,168545,64
client,encrypt,4128,168545,64
server,decrypt,4128,165952,63
server,encrypt,4128,163359,63
client,decrypt,4128,171138,65
client,encrypt,4128,168545,64
server,decrypt,4128,165952,63
server,encrypt,4128,163359,62
client,decrypt,4128,199661,76
client,encrypt,4128,178917,68
server,decrypt,4128,165952,63
server,encrypt,4128,163359,63
client,decrypt,4128,222998,86
client,encrypt,4128,246335,95
server,decrypt,4128,165952,63
server,encrypt,4128,163359,62
client,decrypt,4128,171138,66
client,encrypt,4128,168545,64
server,decrypt,4128,165952,63
server,encrypt,4128,168545,65
client,decrypt,4128,171138,66
client,encrypt,4128,168545,64
server,decrypt,4128,194475,74
server,encrypt,4128,178917,68
client,decrypt,4128,184103,70
client,encrypt,4128,168545,65
server,decrypt,4128,171138,65
server,encrypt,4128,168545,64
client,decrypt,4128,171138,66
client,encrypt,4128,168545,64
server,decrypt,4128,165952,63
server,encrypt,4128,165952,64
client,decrypt,4128,171138,65
client,encrypt,4128,165952,65
server,decrypt,4128,163359,63
server,encrypt,4128,168545,64
client,decrypt,4128,173731,66
client,encrypt,4128,199661,78
server,decrypt,4128,194475,74
server,encrypt,4128,215219,82
client,decrypt,4128,181510,70
client,encrypt,4128,171138,66
server,decrypt,4128,199661,77
server,encrypt,4128,168545,64
client,decrypt,4128,173731,67
client,encrypt,4128,165952,65
server,decrypt,4128,165952,63
server,encrypt,4128,168545,64
client,decrypt,4128,171138,65
client,encrypt,4128,168545,65
server,decrypt,4128,210033,82
server,encrypt,4128,212626,83
client,decrypt,4128,171138,65
client,encrypt,4128,176324,69
server,decrypt,4128,181510,70
server,encrypt,4128,165952,65
client,decrypt,4128,173731,66
client,encrypt,4128,168545,64
server,decrypt,4128,165952,63
server,encrypt,4128,165952,65
client,decrypt,4128,171138,65
client,encrypt,4128,165952,65
server,decrypt,4128,191882,74
server,encrypt,4128,168545,64
client,decrypt,4128,171138,66
client,encrypt,4128,168545,64
server,decrypt,4128,165952,63
server,encrypt,4128,168545,64
client,decrypt,4128,184103,70
client,encrypt,4128,176324,69
server,decrypt,4128,165952,64
server,encrypt,4128,168545,64
client,decrypt,4128,171138,66
client,encrypt,4128,168545,64
server,decrypt,4128,199661,77
server,encrypt,4128,168545,64
client,decrypt,4128,173731,66
client,encrypt,4128,165952,65
server,decrypt,4128,165952,63
server,encrypt,4128,168545,64
client,decrypt,4128,171138,66
client,encrypt,4128,165952,65
server,decrypt,4128,165952,63
server,encrypt,4128,235963,91
client,decrypt,4128,184103,70
client,encrypt,4128,165952,65
server,decrypt,4128,171138,65
server,encrypt,4128,168545,64
client,decrypt,4128,171138,65
client,encrypt,4128,168545,64
server,decrypt,4128,168545,65
server,encrypt,4128,168545,64
client,decrypt,4128,194475,74
client,encrypt,4128,163359,63
server,decrypt,4128,165952,63
server,encrypt,4128,197068,76
client,decrypt,4128,165952,64
client,encrypt,4128,160766,62
server,decrypt,4128,194475,74
server,encrypt,4128,178917,68
client,decrypt,4128,165952,63
client,encrypt,4128,163359,63
server,decrypt,4128,165952,63
server,encrypt,4128,163359,62
client,decrypt,4128,165952,64
client,encrypt,4128,163359,62
server,decrypt,4128,290416,111
server,encrypt,4128,163359,62
client,decrypt,4128,165952,63
client,encrypt,4128,163359,62
server,decrypt,4128,165952,63
server,encrypt,4128,163359,63
client,decrypt,4128,165952,63
client,encrypt,4128,163359,62
server,decrypt,4128,254114,98
server,encrypt,4128,178917,69
client,decrypt,4128,168545,64
client,encrypt,4128,163359,63
server,decrypt,4128,165952,63
server,encrypt,4128,163359,62
client,decrypt,4128,165952,64
client,encrypt,4128,163359,62
server,decrypt,4128,165952,63
server,encrypt,4128,163359,62
client,decrypt,4128,168545,64
client,encrypt,4128,163359,62
server,decrypt,4128,165952,63
server,encrypt,4128,160766,63
client,decrypt,4128,165952,64
client,encrypt,4128,160766,63
server,decrypt,4128,181510,69
server,encrypt,4128,197068,76
client,decrypt,4128,168545,64
client,encrypt,4128,163359,63
server,decrypt,4128,235963,91
server,encrypt,4128,163359,62
client,decrypt,4128,165952,63
client,encrypt,4128,163359,62
server,decrypt,4128,163359,64
server,encrypt,4128,163359,63
client,decrypt,4128,165952,64
client,encrypt,4128,160766,63
server,decrypt,4128,165952,63
server,encrypt,4128,204847,79
client,decrypt,4128,165952,64
client,encrypt,4128,197068,76
server,decrypt,4128,178917,69
server,encrypt,4128,163359,63
client,decrypt,4128,165952,64
client,encrypt,4128,163359,63
server,decrypt,4128,163359,63
server,encrypt,4128,168545,65
