sec_lvl,test_id,time
1,0,17
1,0,2
1,0,1247
1,0,4
1,0,8
1,0,107
1,1,12
1,1,1
1,1,5
1,1,1
1,1,6
1,1,155
1,2,13
1,2,2
1,2,8
1,2,2
1,2,4
1,2,115
1,3,12
1,3,1
1,3,5
1,3,1
1,3,4
1,3,152
1,4,14
1,4,2
1,4,7
1,4,2
1,4,5
1,4,150
1,5,14
1,5,1
1,5,8
1,5,1
1,5,5
1,5,163
1,6,9
1,6,1
1,6,7
1,6,1
1,6,5
1,6,155
1,7,12
1,7,2
1,7,5
1,7,1
1,7,5
1,7,150
1,8,14
1,8,1
1,8,5
1,8,1
1,8,4
1,8,152
1,9,10
1,9,2
1,9,20
1,9,1
1,9,5
1,9,151
1,10,13
1,10,1
1,10,8
1,10,2
1,10,6
1,10,142
1,11,12
1,11,2
1,11,5
1,11,1
1,11,4
1,11,147
1,12,12
1,12,1
1,12,8
1,12,1
1,12,5
1,12,153
1,13,11
1,13,1
1,13,8
1,13,2
1,13,4
1,13,170
1,14,13
1,14,2
1,14,5
1,14,1
1,14,4
1,14,85
1,15,9
1,15,1
1,15,6
1,15,1
1,15,4
1,15,159
1,16,12
1,16,2
1,16,8
1,16,2
1,16,5
1,16,174
1,17,14
1,17,1
1,17,6
1,17,2
1,17,5
1,17,140
1,18,13
1,18,2
1,18,7
1,18,2
1,18,5
1,18,140
1,19,13
1,19,2
1,19,7
1,19,1
1,19,4
1,19,159
2,0,14
2,0,2
2,0,5
2,0,1
2,0,4
2,0,164
2,1,14
2,1,1
2,1,7
2,1,2
2,1,5
2,1,183
2,2,14
2,2,2
2,2,12
2,2,2
2,2,5
2,2,476
2,3,13
2,3,1
2,3,28
2,3,1
2,3,6
2,3,152
2,4,14
2,4,1
2,4,7
2,4,1
2,4,7
2,4,138
2,5,10
2,5,1
2,5,8
2,5,2
2,5,4
2,5,130
2,6,24
2,6,1
2,6,7
2,6,2
2,6,5
2,6,157
2,7,15
2,7,2
2,7,4
2,7,2
2,7,4
2,7,151
2,8,12
2,8,1
2,8,7
2,8,1
2,8,5
2,8,159
2,9,13
2,9,1
2,9,7
2,9,1
2,9,5
2,9,153
2,10,13
2,10,1
2,10,6
2,10,1
2,10,4
2,10,88
2,11,9
2,11,1
2,11,5
2,11,1
2,11,4
2,11,99
2,12,12
2,12,1
2,12,8
2,12,1
2,12,4
2,12,88
2,13,12
2,13,1
2,13,7
2,13,1
2,13,4
2,13,134
2,14,12
2,14,1
2,14,8
2,14,2
2,14,5
2,14,142
2,15,49
2,15,2
2,15,7
2,15,2
2,15,5
2,15,145
2,16,13
2,16,1
2,16,8
2,16,1
2,16,5
2,16,143
2,17,13
2,17,2
2,17,9
2,17,2
2,17,6
2,17,146
2,18,10
2,18,1
2,18,7
2,18,1
2,18,4
2,18,145
2,19,13
2,19,2
2,19,6
2,19,1
2,19,4
2,19,144
3,0,15
3,0,2
3,0,6
3,0,2
3,0,5
3,0,141
3,1,19
3,1,2
3,1,7
3,1,1
3,1,5
3,1,322
3,2,9
3,2,2
3,2,5
3,2,1
3,2,4
3,2,155
3,3,9
3,3,1
3,3,4
3,3,2
3,3,5
3,3,150
3,4,13
3,4,1
3,4,6
3,4,1
3,4,5
3,4,100
3,5,10
3,5,1
3,5,12
3,5,1
3,5,7
3,5,150
3,6,13
3,6,2
3,6,7
3,6,1
3,6,4
3,6,90
3,7,15
3,7,2
3,7,7
3,7,1
3,7,4
3,7,133
3,8,9
3,8,1
3,8,6
3,8,1
3,8,4
3,8,138
3,9,9
3,9,1
3,9,6
3,9,1
3,9,4
3,9,100
3,10,9
3,10,2
3,10,7
3,10,1
3,10,5
3,10,142
3,11,13
3,11,1
3,11,5
3,11,1
3,11,4
3,11,108
3,12,13
3,12,2
3,12,10
3,12,2
3,12,4
3,12,171
3,13,13
3,13,3
3,13,6
3,13,1
3,13,3
3,13,158
3,14,10
3,14,1
3,14,5
3,14,1
3,14,5
3,14,140
3,15,9
3,15,1
3,15,6
3,15,1
3,15,4
3,15,87
3,16,12
3,16,2
3,16,7
3,16,1
3,16,6
3,16,90
3,17,13
3,17,1
3,17,7
3,17,1
3,17,5
3,17,150
3,18,14
3,18,1
3,18,8
3,18,1
3,18,7
3,18,157
3,19,13
3,19,2
3,19,8
3,19,2
3,19,4
3,19,152
