endpoint,operation,msglen,time
client,hash,8192,39
server,verify,8192,49
server,hash,8192,40
client,verify,8192,43
client,hash,8192,40
server,verify,8192,42
server,hash,8192,40
client,verify,8192,52
client,hash,8192,40
server,verify,8192,40
server,hash,8192,41
client,verify,8192,50
client,hash,8192,40
server,verify,8192,41
server,hash,8192,40
client,verify,8192,40
client,hash,8192,40
server,verify,8192,40
server,hash,8192,40
client,verify,8192,40
client,hash,16384,81
server,verify,16384,76
server,hash,16384,104
client,verify,16384,76
client,hash,16384,82
server,verify,16384,81
server,hash,16384,78
client,verify,16384,76
client,hash,16384,79
server,verify,16384,87
server,hash,16384,78
client,verify,16384,86
client,hash,16384,82
server,verify,16384,76
server,hash,16384,77
client,verify,16384,76
client,hash,16384,76
server,verify,16384,76
server,hash,16384,76
client,verify,16384,79
