endpoint,data_size,time
client,1048576,2964
server,1048576,2290
server,1048576,1726
client,1048576,6232
server,1048576,1610
client,1048576,2124
server,1048576,1701
client,1048576,2213
server,1048576,2741
client,1048576,3547
server,1048576,1720
client,1048576,2389
server,1048576,1640
client,1048576,2175
server,1048576,1785
client,1048576,2316
server,1048576,2350
client,1048576,2987
server,1048576,1647
client,1048576,2174
server,1048576,1837
client,1048576,2361
server,1048576,1784
client,1048576,2338
server,1048576,1677
client,1048576,2180
server,1048576,1567
client,1048576,2040
server,1048576,1724
client,1048576,2230
server,1048576,1666
client,1048576,2165
server,1048576,1865
client,1048576,2564
server,1048576,1644
client,1048576,2168
server,1048576,1778
client,1048576,2306
server,1048576,1603
client,1048576,2109
server,1048576,1615
client,1048576,2146
server,1048576,2087
client,1048576,2641
server,1048576,1567
client,1048576,2092
server,1048576,1575
client,1048576,2083
server,1048576,1744
client,1048576,2288
server,1048576,1709
client,1048576,2669
server,1048576,1673
client,1048576,2217
server,1048576,1648
client,1048576,2197
server,1048576,1756
client,1048576,2585
server,1048576,1610
client,1048576,2113
server,1048576,2508
client,1048576,3410
server,1048576,1567
client,1048576,2023
server,1048576,2381
client,1048576,2848
server,1048576,1575
client,1048576,2047
server,1048576,1737
client,1048576,2255
server,1048576,1702
client,1048576,2206
server,1048576,1786
client,1048576,2279
server,1048576,2036
client,1048576,2643
server,1048576,1811
client,1048576,2343
server,1048576,1796
client,1048576,2301
server,1048576,1663
client,1048576,2129
server,1048576,1779
client,1048576,2258
server,1048576,1790
client,1048576,2284
server,1048576,1769
client,1048576,2237
server,1048576,2030
client,1048576,2651
server,1048576,1853
client,1048576,2350
server,1048576,1769
client,1048576,2299
server,1048576,1728
client,1048576,2231
server,1048576,1723
client,1048576,2194
server,1048576,1670
client,1048576,2134
server,1048576,2127
client,1048576,2601
server,1048576,1860
client,1048576,2398
server,1048576,1859
client,1048576,2625
server,1048576,1609
client,1048576,2071
server,1048576,1740
client,1048576,2356
server,1048576,1606
client,1048576,2108
server,1048576,1880
client,1048576,2389
server,1048576,1584
client,1048576,2076
server,1048576,1788
client,1048576,2268
server,1048576,2189
client,1048576,2805
server,1048576,1825
client,1048576,2332
server,1048576,1640
client,1048576,2123
server,1048576,1585
client,1048576,2089
server,1048576,1849
client,1048576,2364
server,1048576,1823
client,1048576,2365
server,1048576,1689
client,1048576,2215
server,1048576,1649
client,1048576,2162
server,1048576,1584
client,1048576,2100
server,1048576,1590
client,1048576,2109
server,1048576,1629
client,1048576,2126
server,1048576,1661
client,1048576,2212
server,1048576,1773
client,1048576,2294
server,1048576,1894
client,1048576,2410
server,1048576,1881
client,1048576,2417
server,1048576,1919
client,1048576,2504
server,1048576,1630
client,1048576,2158
server,1048576,1588
client,1048576,2091
server,1048576,1688
client,1048576,2512
server,1048576,1748
client,1048576,2292
server,1048576,1836
client,1048576,2370
server,1048576,1714
client,1048576,2247
server,1048576,1741
client,1048576,2318
