endpoint,operation,data_size,time
client,digest,32,11
server,verify,32,10
server,digest,32,8
client,verify,32,10
client,digest,32,11
server,verify,32,9
server,digest,32,7
client,verify,32,9
client,digest,32,8
server,verify,32,9
server,digest,32,9
client,verify,32,9
client,digest,32,16
server,verify,32,8
server,digest,32,9
client,verify,32,21
client,digest,32,8
server,verify,32,10
server,digest,32,8
client,verify,32,9
client,digest,32,7
server,verify,32,10
server,digest,32,9
client,verify,32,10
client,digest,32,6
server,verify,32,15
server,digest,32,9
client,verify,32,9
client,digest,32,24
server,verify,32,10
server,digest,32,7
client,verify,32,9
client,digest,32,7
server,verify,32,9
server,digest,32,8
client,verify,32,9
client,digest,32,8
server,verify,32,9
server,digest,32,12
client,verify,32,9
client,digest,32,9
server,verify,32,42
server,digest,32,9
client,verify,32,9
client,digest,32,8
server,verify,32,10
server,digest,32,8
client,verify,32,10
client,digest,32,7
server,verify,32,9
server,digest,32,9
client,verify,32,10
client,digest,32,6
server,verify,32,9
server,digest,32,8
client,verify,32,9
client,digest,32,108
server,verify,32,13
server,digest,32,9
client,verify,32,9
client,digest,32,7
server,verify,32,10
server,digest,32,8
client,verify,32,10
client,digest,32,8
server,verify,32,15
server,digest,32,12
client,verify,32,14
client,digest,32,8
server,verify,32,10
server,digest,32,8
client,verify,32,9
client,digest,32,7
server,verify,32,15
server,digest,32,11
client,verify,32,13
client,digest,32,8
server,verify,32,10
server,digest,32,7
client,verify,32,9
client,digest,32,10
server,verify,32,10
server,digest,32,8
client,verify,32,9
client,digest,32,8
server,verify,32,10
server,digest,32,10
client,verify,32,9
client,digest,32,7
server,verify,32,10
server,digest,32,8
client,verify,32,9
client,digest,32,6
server,verify,32,10
server,digest,32,11
client,verify,32,9
client,digest,32,12
server,verify,32,10
server,digest,32,8
client,verify,32,10
client,digest,32,7
server,verify,32,10
server,digest,32,9
client,verify,32,8
client,digest,32,8
server,verify,32,10
server,digest,32,11
client,verify,32,9
client,digest,32,9
server,verify,32,9
server,digest,32,7
client,verify,32,10
client,digest,32,7
server,verify,32,10
server,digest,32,8
client,verify,32,11
client,digest,32,7
server,verify,32,9
server,digest,32,7
client,verify,32,10
client,digest,32,25
server,verify,32,11
server,digest,32,13
client,verify,32,8
client,digest,32,7
server,verify,32,9
server,digest,32,11
client,verify,32,9
client,digest,32,8
server,verify,32,9
server,digest,32,8
client,verify,32,9
client,digest,32,7
server,verify,32,9
server,digest,32,8
client,verify,32,12
client,digest,32,8
server,verify,32,9
server,digest,32,9
client,verify,32,9
client,digest,32,11
server,verify,32,10
server,digest,32,9
client,verify,32,9
client,digest,32,8
server,verify,32,13
server,digest,32,7
client,verify,32,9
client,digest,32,8
server,verify,32,15
server,digest,32,9
client,verify,32,9
client,digest,32,7
server,verify,32,13
server,digest,32,9
client,verify,32,10
client,digest,32,7
server,verify,32,10
server,digest,32,9
client,verify,32,9
client,digest,32,8
server,verify,32,11
server,digest,32,8
client,verify,32,9
client,digest,32,7
server,verify,32,19
server,digest,32,8
client,verify,32,9
client,digest,32,6
server,verify,32,9
server,digest,32,8
client,verify,32,9
client,digest,32,7
server,verify,32,9
server,digest,32,9
client,verify,32,9
client,digest,32,8
server,verify,32,9
server,digest,32,9
client,verify,32,10
client,digest,32,7
server,verify,32,10
server,digest,32,8
client,verify,32,9
client,digest,32,7
server,verify,32,10
server,digest,32,8
client,verify,32,13
client,digest,32,8
server,verify,32,9
server,digest,32,8
client,verify,32,9
client,digest,32,8
server,verify,32,10
server,digest,32,9
client,verify,32,11
client,digest,32,7
server,verify,32,9
server,digest,32,7
client,verify,32,9
client,digest,32,7
server,verify,32,8
server,digest,32,7
client,verify,32,9
client,digest,32,9
server,verify,32,11
server,digest,32,9
client,verify,32,9
client,digest,32,7
server,verify,32,9
server,digest,32,8
client,verify,32,10
client,digest,32,8
server,verify,32,10
server,digest,32,10
client,verify,32,10
client,digest,32,8
server,verify,32,8
server,digest,32,8
client,verify,32,9
client,digest,32,7
server,verify,32,9
server,digest,32,8
client,verify,32,11
client,digest,32,9
server,verify,32,10
server,digest,32,9
client,verify,32,10
client,digest,32,8
server,verify,32,9
server,digest,32,8
client,verify,32,9
client,digest,32,8
server,verify,32,9
server,digest,32,11
client,verify,32,9
client,digest,32,8
server,verify,32,9
server,digest,32,7
client,verify,32,9
client,digest,32,8
server,verify,32,8
server,digest,32,8
client,verify,32,9
client,digest,32,8
server,verify,32,9
server,digest,32,7
client,verify,32,8
client,digest,32,8
server,verify,32,10
server,digest,32,7
client,verify,32,8
client,digest,32,8
server,verify,32,9
server,digest,32,7
client,verify,32,8
client,digest,32,8
server,verify,32,10
server,digest,32,8
client,verify,32,9
client,digest,32,8
server,verify,32,27
server,digest,32,8
client,verify,32,9
client,digest,32,7
server,verify,32,9
server,digest,32,8
client,verify,32,10
client,digest,32,7
server,verify,32,10
server,digest,32,13
client,verify,32,9
client,digest,32,7
server,verify,32,10
server,digest,32,7
client,verify,32,10
client,digest,32,8
server,verify,32,10
server,digest,32,8
client,verify,32,10
client,digest,32,8
server,verify,32,9
server,digest,32,9
client,verify,32,9
client,digest,32,8
server,verify,32,10
server,digest,32,8
client,verify,32,12
client,digest,32,10
server,verify,32,10
server,digest,32,7
client,verify,32,9
client,digest,32,8
server,verify,32,14
server,digest,32,9
client,verify,32,9
client,digest,32,7
server,verify,32,10
server,digest,32,8
client,verify,32,10
client,digest,32,8
server,verify,32,9
server,digest,32,8
client,verify,32,10
client,digest,32,7
server,verify,32,9
server,digest,32,8
client,verify,32,49
client,digest,32,8
server,verify,32,9
server,digest,32,9
client,verify,32,21
client,digest,32,8
server,verify,32,9
server,digest,32,9
client,verify,32,13
client,digest,32,8
server,verify,32,10
server,digest,32,8
client,verify,32,16
client,digest,32,8
server,verify,32,10
server,digest,32,7
client,verify,32,20
client,digest,32,8
server,verify,32,9
server,digest,32,8
client,verify,32,19
client,digest,32,8
server,verify,32,9
server,digest,32,7
client,verify,32,9
client,digest,32,8
server,verify,32,10
server,digest,32,8
client,verify,32,9
client,digest,32,8
server,verify,32,27
server,digest,32,8
client,verify,32,9
client,digest,32,8
server,verify,32,9
server,digest,32,8
client,verify,32,9
client,digest,32,7
server,verify,32,10
server,digest,32,12
client,verify,32,10
client,digest,32,7
server,verify,32,9
server,digest,32,8
client,verify,32,11
client,digest,32,7
server,verify,32,9
server,digest,32,17
client,verify,32,9
client,digest,32,11
server,verify,32,14
server,digest,32,12
client,verify,32,16
client,digest,32,12
server,verify,32,48
server,digest,32,11
client,verify,32,10
client,digest,32,7
server,verify,32,10
server,digest,32,11
client,verify,32,9
client,digest,32,7
server,verify,32,9
server,digest,32,11
client,verify,32,9
client,digest,32,7
server,verify,32,10
server,digest,32,8
client,verify,32,10
client,digest,32,7
server,verify,32,20
server,digest,32,20
client,verify,32,9
client,digest,32,7
server,verify,32,10
server,digest,32,8
client,verify,32,12
client,digest,32,7
server,verify,32,9
server,digest,32,7
client,verify,32,22
client,digest,32,8
server,verify,32,8
server,digest,32,7
client,verify,32,9
client,digest,32,12
server,verify,32,10
server,digest,32,8
client,verify,32,9
client,digest,32,8
server,verify,32,20
server,digest,32,9
client,verify,32,9
client,digest,32,9
server,verify,32,9
server,digest,32,8
client,verify,32,9
client,digest,32,10
server,verify,32,11
server,digest,32,8
client,verify,32,9
client,digest,32,7
server,verify,32,10
server,digest,32,8
client,verify,32,9
client,digest,32,8
server,verify,32,10
server,digest,32,7
client,verify,32,9
client,digest,32,10
server,verify,32,10
server,digest,32,7
client,verify,32,9
client,digest,32,8
server,verify,32,15
server,digest,32,8
client,verify,32,9
client,digest,32,8
server,verify,32,9
server,digest,32,8
client,verify,32,13
client,digest,32,10
server,verify,32,10
server,digest,32,7
client,verify,32,9
client,digest,32,13
server,verify,32,13
server,digest,32,8
client,verify,32,8
client,digest,32,7
server,verify,32,10
server,digest,32,8
client,verify,32,9
client,digest,32,8
server,verify,32,9
server,digest,32,8
client,verify,32,9
client,digest,32,8
server,verify,32,14
server,digest,32,8
client,verify,32,9
client,digest,32,7
server,verify,32,9
server,digest,32,8
client,verify,32,9
client,digest,32,7
server,verify,32,14
server,digest,32,12
client,verify,32,13
client,digest,32,8
server,verify,32,14
server,digest,32,7
client,verify,32,9
client,digest,32,8
server,verify,32,9
server,digest,32,8
client,verify,32,9
client,digest,32,12
server,verify,32,10
server,digest,32,11
client,verify,32,10
client,digest,32,12
server,verify,32,10
server,digest,32,8
client,verify,32,10
client,digest,32,9
server,verify,32,9
server,digest,32,17
client,verify,32,9
client,digest,32,8
server,verify,32,14
server,digest,32,8
client,verify,32,13
client,digest,32,12
server,verify,32,14
server,digest,32,8
client,verify,32,9
client,digest,32,11
server,verify,32,9
server,digest,32,7
client,verify,32,9
client,digest,32,7
server,verify,32,14
server,digest,32,8
client,verify,32,10
client,digest,32,8
server,verify,32,17
server,digest,32,9
client,verify,32,9
client,digest,32,7
server,verify,32,9
server,digest,32,9
client,verify,32,9
client,digest,32,8
server,verify,32,10
server,digest,32,13
client,verify,32,9
client,digest,32,7
server,verify,32,9
server,digest,32,8
client,verify,32,9
client,digest,32,7
server,verify,32,10
server,digest,32,8
client,verify,32,9
client,digest,32,7
server,verify,32,10
server,digest,32,8
client,verify,32,13
client,digest,32,12
server,verify,32,10
server,digest,32,8
client,verify,32,8
client,digest,32,9
server,verify,32,9
server,digest,32,8
client,verify,32,8
client,digest,32,8
server,verify,32,10
server,digest,32,7
client,verify,32,9
client,digest,32,9
server,verify,32,10
server,digest,32,8
client,verify,32,9
client,digest,32,8
server,verify,32,13
server,digest,32,8
client,verify,32,9
client,digest,32,9
server,verify,32,10
server,digest,32,8
client,verify,32,9
client,digest,32,7
server,verify,32,9
server,digest,32,8
client,verify,32,8
client,digest,32,7
server,verify,32,15
server,digest,32,8
client,verify,32,9
client,digest,32,8
server,verify,32,10
server,digest,32,8
client,verify,32,9
client,digest,32,16
server,verify,32,13
server,digest,32,8
client,verify,32,9
client,digest,32,8
server,verify,32,10
server,digest,32,7
client,verify,32,8
client,digest,32,8
server,verify,32,10
server,digest,32,8
client,verify,32,9
client,digest,32,7
server,verify,32,9
server,digest,32,8
client,verify,32,10
client,digest,32,7
server,verify,32,9
server,digest,32,8
client,verify,32,9
client,digest,32,8
server,verify,32,24
server,digest,32,7
client,verify,32,9
client,digest,32,8
server,verify,32,10
server,digest,32,7
client,verify,32,8
client,digest,32,8
