endpoint,min_input,max_input,cycles,time
server,32,8192,12316750,4750
client,32,8192,11697023,4511
server,32,8192,8951036,3453
client,32,8192,11652942,4494
server,32,8192,11134342,4295
client,32,8192,11850010,4571
server,32,8192,10880228,4196
client,32,8192,9931190,3831
server,32,8192,11253620,4341
client,32,8192,11095447,4279
server,32,8192,9928597,3830
client,32,8192,8497261,3278
server,32,8192,8538749,3293
client,32,8192,8004591,3087
server,32,8192,13670296,5273
client,32,8192,10618335,4095
server,32,8192,5852401,2257
client,32,8192,6448791,2487
server,32,8192,5134140,1980
client,32,8192,6173933,2383
server,32,8192,5982051,2308
client,32,8192,6477314,2498
server,32,8192,5385661,2077
client,32,8192,6230979,2403
server,32,8192,7473026,2882
client,32,8192,7016658,2706
server,32,8192,6129852,2365
client,32,8192,6101329,2353
server,32,8192,6874043,2653
client,32,8192,9264789,3573
server,32,8192,6096143,2352
client,32,8192,5823878,2246
server,32,8192,5326022,2054
client,32,8192,5966493,2302
server,32,8192,5549020,2141
client,32,8192,5753867,2219
server,32,8192,5201558,2006
client,32,8192,5354545,2065
server,32,8192,5678670,2190
client,32,8192,6503244,2509
server,32,8192,7213726,2784
client,32,8192,7141122,2755
server,32,8192,6329513,2440
client,32,8192,5689042,2195
server,32,8192,6894787,2662
client,32,8192,6746986,2602
server,32,8192,6588813,2541
client,32,8192,6757358,2606
server,32,8192,6469535,2495
client,32,8192,8362425,3226
server,32,8192,6531767,2518
client,32,8192,5497160,2119
server,32,8192,5237860,2021
client,32,8192,5699414,2198
server,32,8192,5406405,2086
client,32,8192,5777204,2229
server,32,8192,5326022,2054
client,32,8192,6982949,2683
server,32,8192,10875042,4194
client,32,8192,11966695,4615
server,32,8192,7392643,2852
client,32,8192,8157578,3147
server,32,8192,6243944,2407
client,32,8192,8320937,3210
server,32,8192,6570662,2535
client,32,8192,7164459,2764
server,32,8192,5696821,2199
client,32,8192,5927598,2287
server,32,8192,9674483,3732
client,32,8192,8328716,3213
server,32,8192,8450587,3260
client,32,8192,6679568,2577
server,32,8192,7747884,2988
client,32,8192,9435927,3640
server,32,8192,7900871,3047
client,32,8192,5696821,2198
server,32,8192,9433334,3639
client,32,8192,9855993,3801
server,32,8192,9884516,3812
client,32,8192,9760052,3765
server,32,8192,10045282,3874
client,32,8192,10226792,3944
server,32,8192,10156781,3917
client,32,8192,9485194,3659
server,32,8192,12747188,4917
client,32,8192,11746290,4530
server,32,8192,8383169,3234
client,32,8192,11531071,4447
server,32,8192,11655535,4499
client,32,8192,15340188,5917
server,32,8192,9550019,3683
client,32,8192,9868958,3806
server,32,8192,11697023,4511
client,32,8192,10403116,4013
server,32,8192,9868958,3807
client,32,8192,8562086,3302
server,32,8192,11619233,4498
client,32,8192,10203455,3936
server,32,8192,9308870,3591
client,32,8192,13187998,5088
server,32,8192,10522394,4076
client,32,8192,9887109,3814
server,32,8192,11645163,4491
client,32,8192,10270873,3961
server,32,8192,12975372,5004
client,32,8192,11274364,4349
server,32,8192,9034012,3484
client,32,8192,8987338,3467
server,32,8192,10040096,3873
client,32,8192,9246638,3566
server,32,8192,9194778,3547
client,32,8192,9088465,3506
server,32,8192,8393541,3238
client,32,8192,7537851,2907
server,32,8192,7185203,2772
client,32,8192,8893990,3430
server,32,8192,5696821,2198
client,32,8192,6031318,2326
server,32,8192,5419370,2091
client,32,8192,5455672,2104
server,32,8192,6625115,2555
client,32,8192,5906854,2280
server,32,8192,4612947,1781
client,32,8192,4584424,1769
server,32,8192,8095346,3123
client,32,8192,6568069,2534
server,32,8192,5533462,2134
client,32,8192,5453079,2104
server,32,8192,4835945,1866
client,32,8192,5027827,1940
server,32,8192,5128954,1978
client,32,8192,5935377,2290
server,32,8192,5730530,2211
client,32,8192,5258604,2027
server,32,8192,5572357,2150
client,32,8192,4908549,1893
server,32,8192,5009676,1933
client,32,8192,5209337,2010
server,32,8192,5512718,2126
client,32,8192,5279348,2037
server,32,8192,4737411,1828
client,32,8192,5097838,1967
server,32,8192,5997609,2315
client,32,8192,6321734,2439
server,32,8192,5375289,2073
client,32,8192,5950935,2297
server,32,8192,5338987,2059
client,32,8192,5502346,2122
server,32,8192,5341580,2060
client,32,8192,4988932,1924
server,32,8192,4747783,1833
client,32,8192,4542936,1753
server,32,8192,4602575,1774
client,32,8192,5196372,2003
server,32,8192,5243046,2022
client,32,8192,7395236,2853
server,32,8192,5232674,2019
client,32,8192,5297499,2044
server,32,8192,5074501,1959
client,32,8192,5476416,2113
server,32,8192,5232674,2018
client,32,8192,5043385,1945
server,32,8192,4882619,1884
client,32,8192,4833352,1865
server,32,8192,6575848,2537
client,32,8192,6770323,2613
server,32,8192,5974272,2305
client,32,8192,5639775,2174
server,32,8192,6599185,2547
client,32,8192,7229284,2789
server,32,8192,5746088,2218
client,32,8192,6026132,2324
server,32,8192,5795355,2235
client,32,8192,6381373,2461
server,32,8192,5523090,2130
client,32,8192,5992423,2312
server,32,8192,5372696,2073
client,32,8192,5676077,2190
server,32,8192,5398626,2083
client,32,8192,6109108,2357
server,32,8192,6324327,2438
client,32,8192,7037402,2714
server,32,8192,6682161,2578
client,32,8192,6899973,2663
server,32,8192,8785084,3388
client,32,8192,8932885,3444
server,32,8192,8795456,3393
client,32,8192,11225097,4330
server,32,8192,6549918,2525
client,32,8192,5403812,2083
server,32,8192,5211930,2012
client,32,8192,4791864,1849
server,32,8192,6837741,2639
client,32,8192,7047774,2718
server,32,8192,12358238,4767
client,32,8192,10312361,3978
server,32,8192,11616640,4481
client,32,8192,10104921,3898
server,32,8192,8416878,3246
client,32,8192,8792863,3389
server,32,8192,12850908,4959
client,32,8192,11152493,4302
server,32,8192,9760052,3765
client,32,8192,8453180,3260
server,32,8192,13123173,5079
client,32,8192,11497362,4435
server,32,8192,13338392,5144
client,32,8192,13167254,5079
server,32,8192,8606167,3319
client,32,8192,8227589,3173
server,32,8192,6578441,2537
client,32,8192,6500651,2508
server,32,8192,9036605,3486
client,32,8192,8741003,3372
server,32,8192,9562984,3686
client,32,8192,9581135,3695
server,32,8192,15589116,6013
client,32,8192,11035808,4256
server,32,8192,5411591,2088
