endpoint,min_input,max_input,time
server,32,8192,10943
client,32,8192,11473
server,32,8192,4705
client,32,8192,5170
server,32,8192,4502
client,32,8192,4940
server,32,8192,4830
client,32,8192,5298
server,32,8192,4662
client,32,8192,5146
server,32,8192,4569
client,32,8192,5067
server,32,8192,5224
client,32,8192,5776
server,32,8192,6870
client,32,8192,7588
server,32,8192,5126
client,32,8192,5550
server,32,8192,4614
client,32,8192,5078
server,32,8192,4464
client,32,8192,4911
server,32,8192,4176
client,32,8192,4603
server,32,8192,4044
client,32,8192,4498
server,32,8192,4159
client,32,8192,4604
server,32,8192,4399
client,32,8192,4871
server,32,8192,4806
client,32,8192,5294
server,32,8192,4244
client,32,8192,4692
server,32,8192,4401
client,32,8192,4856
server,32,8192,4271
client,32,8192,4708
server,32,8192,4498
client,32,8192,4949
server,32,8192,4111
client,32,8192,4557
server,32,8192,4417
client,32,8192,4894
server,32,8192,4244
client,32,8192,4726
server,32,8192,4319
client,32,8192,4821
server,32,8192,4277
client,32,8192,4733
server,32,8192,4361
client,32,8192,4821
server,32,8192,4222
client,32,8192,4683
server,32,8192,4314
client,32,8192,4792
server,32,8192,4301
client,32,8192,4812
server,32,8192,4330
client,32,8192,4880
server,32,8192,4597
client,32,8192,5057
server,32,8192,4345
client,32,8192,4833
server,32,8192,4317
client,32,8192,4771
server,32,8192,4295
client,32,8192,4758
server,32,8192,4412
client,32,8192,4852
server,32,8192,4331
client,32,8192,4791
server,32,8192,4147
client,32,8192,4593
server,32,8192,4834
client,32,8192,5344
server,32,8192,4573
client,32,8192,5097
server,32,8192,4385
client,32,8192,4868
server,32,8192,4152
client,32,8192,4593
server,32,8192,4631
client,32,8192,5117
server,32,8192,4467
client,32,8192,4939
server,32,8192,4374
client,32,8192,4814
server,32,8192,4582
client,32,8192,5042
server,32,8192,4474
client,32,8192,4985
server,32,8192,4626
client,32,8192,5128
server,32,8192,4317
client,32,8192,4822
server,32,8192,4632
client,32,8192,5116
server,32,8192,4432
client,32,8192,4905
server,32,8192,4564
client,32,8192,5069
server,32,8192,4326
client,32,8192,4804
server,32,8192,4405
client,32,8192,4887
server,32,8192,4648
client,32,8192,5128
server,32,8192,4413
client,32,8192,4854
server,32,8192,4614
client,32,8192,5082
server,32,8192,4285
client,32,8192,4813
server,32,8192,4411
client,32,8192,4908
server,32,8192,4654
client,32,8192,5170
server,32,8192,4353
client,32,8192,4845
server,32,8192,5734
client,32,8192,6180
server,32,8192,4661
client,32,8192,5247
server,32,8192,4559
client,32,8192,4984
server,32,8192,4386
client,32,8192,4834
server,32,8192,4240
client,32,8192,4742
server,32,8192,4335
client,32,8192,4833
server,32,8192,4648
client,32,8192,5141
server,32,8192,5481
client,32,8192,6191
server,32,8192,4521
client,32,8192,4990
server,32,8192,4615
client,32,8192,5107
server,32,8192,4755
client,32,8192,5394
server,32,8192,4575
client,32,8192,5055
server,32,8192,4323
client,32,8192,4814
server,32,8192,5873
client,32,8192,6333
server,32,8192,4449
client,32,8192,5027
server,32,8192,4621
client,32,8192,5126
server,32,8192,4417
client,32,8192,4910
server,32,8192,4608
client,32,8192,5104
server,32,8192,4397
client,32,8192,4854
server,32,8192,4881
client,32,8192,5387
server,32,8192,4613
client,32,8192,5114
server,32,8192,5843
client,32,8192,6332
server,32,8192,4426
client,32,8192,4949
server,32,8192,4654
client,32,8192,5161
server,32,8192,4897
client,32,8192,5459
server,32,8192,4879
client,32,8192,5357
server,32,8192,4692
