endpoint,operation,msglen,time
client,encrypt,1024,50
server,decrypt,1024,49
server,encrypt,1024,50
client,decrypt,1024,68
client,encrypt,1024,50
server,decrypt,1024,68
server,encrypt,1024,49
client,decrypt,1024,69
client,encrypt,1024,49
server,decrypt,1024,49
server,encrypt,1024,50
client,decrypt,1024,49
client,encrypt,1024,49
server,decrypt,1024,49
server,encrypt,1024,50
client,decrypt,1024,59
client,encrypt,1024,50
server,decrypt,1024,49
server,encrypt,1024,50
client,decrypt,1024,59
client,encrypt,1024,49
server,decrypt,1024,59
server,encrypt,1024,49
client,decrypt,1024,50
client,encrypt,1024,49
server,decrypt,1024,49
server,encrypt,1024,49
client,decrypt,1024,49
client,encrypt,1024,50
server,decrypt,1024,49
server,encrypt,1024,50
client,decrypt,1024,49
client,encrypt,1024,49
server,decrypt,1024,50
server,encrypt,1024,49
client,decrypt,1024,49
client,encrypt,1024,50
server,decrypt,1024,49
server,encrypt,1024,50
client,decrypt,1024,49
client,encrypt,1024,49
server,decrypt,1024,49
server,encrypt,1024,49
client,decrypt,1024,82
client,encrypt,1024,49
server,decrypt,1024,50
server,encrypt,1024,50
client,decrypt,1024,59
client,encrypt,1024,49
server,decrypt,1024,70
server,encrypt,1024,51
client,decrypt,1024,70
client,encrypt,1024,75
server,decrypt,1024,94
server,encrypt,1024,50
client,decrypt,1024,68
client,encrypt,1024,50
server,decrypt,1024,49
server,encrypt,1024,50
client,decrypt,1024,49
client,encrypt,1024,52
server,decrypt,1024,71
server,encrypt,1024,50
client,decrypt,1024,49
client,encrypt,1024,50
server,decrypt,1024,59
server,encrypt,1024,50
client,decrypt,1024,49
client,encrypt,1024,50
server,decrypt,1024,69
server,encrypt,1024,50
client,decrypt,1024,68
client,encrypt,1024,49
server,decrypt,1024,58
server,encrypt,1024,50
client,decrypt,1024,49
client,encrypt,1024,49
server,decrypt,1024,48
server,encrypt,1024,61
client,decrypt,1024,49
client,encrypt,1024,50
server,decrypt,1024,49
server,encrypt,1024,49
client,decrypt,1024,48
client,encrypt,1024,48
server,decrypt,1024,58
server,encrypt,1024,49
client,decrypt,1024,59
client,encrypt,1024,50
server,decrypt,1024,48
server,encrypt,1024,50
client,decrypt,1024,58
client,encrypt,1024,50
server,decrypt,1024,49
server,encrypt,1024,49
client,decrypt,1024,68
client,encrypt,1024,50
server,decrypt,1024,58
server,encrypt,1024,50
client,decrypt,1024,49
client,encrypt,1024,49
server,decrypt,1024,49
server,encrypt,1024,50
client,decrypt,1024,49
client,encrypt,1024,50
server,decrypt,1024,48
server,encrypt,1024,49
client,decrypt,1024,49
client,encrypt,1024,50
server,decrypt,1024,50
server,encrypt,1024,51
client,decrypt,1024,50
client,encrypt,1024,50
server,decrypt,1024,49
server,encrypt,1024,50
client,decrypt,1024,69
client,encrypt,1024,49
server,decrypt,1024,50
server,encrypt,1024,50
client,decrypt,1024,69
client,encrypt,1024,50
server,decrypt,1024,49
server,encrypt,1024,50
client,decrypt,1024,49
client,encrypt,1024,49
server,decrypt,1024,49
server,encrypt,1024,50
client,decrypt,1024,49
client,encrypt,1024,50
server,decrypt,1024,68
server,encrypt,1024,49
client,decrypt,1024,69
client,encrypt,1024,50
server,decrypt,1024,49
server,encrypt,1024,49
client,decrypt,1024,49
client,encrypt,1024,50
server,decrypt,1024,49
server,encrypt,1024,49
client,decrypt,1024,49
client,encrypt,1024,49
server,decrypt,1024,49
server,encrypt,1024,50
client,decrypt,1024,49
client,encrypt,1024,50
server,decrypt,1024,59
server,encrypt,1024,50
client,decrypt,1024,59
client,encrypt,1024,49
server,decrypt,1024,49
server,encrypt,1024,50
client,decrypt,1024,49
client,encrypt,1024,49
server,decrypt,1024,68
server,encrypt,1024,49
client,decrypt,1024,67
client,encrypt,1024,49
server,decrypt,1024,69
server,encrypt,1024,49
client,decrypt,1024,68
client,encrypt,1024,49
server,decrypt,1024,49
server,encrypt,1024,50
client,decrypt,1024,58
client,encrypt,1024,49
server,decrypt,1024,49
server,encrypt,1024,50
client,decrypt,1024,49
client,encrypt,1024,49
server,decrypt,1024,49
server,encrypt,1024,50
client,decrypt,1024,49
client,encrypt,1024,50
server,decrypt,1024,68
server,encrypt,1024,49
client,decrypt,1024,49
client,encrypt,1024,50
server,decrypt,1024,49
server,encrypt,1024,49
client,decrypt,1024,49
client,encrypt,1024,50
server,decrypt,1024,49
server,encrypt,1024,49
client,decrypt,1024,59
client,encrypt,1024,50
server,decrypt,1024,49
server,encrypt,1024,50
client,decrypt,1024,50
client,encrypt,1024,50
server,decrypt,1024,49
server,encrypt,1024,50
client,decrypt,1024,49
client,encrypt,1024,49
server,decrypt,1024,59
server,encrypt,1024,50
client,decrypt,1024,48
client,encrypt,1024,49
server,decrypt,1024,49
server,encrypt,1024,50
