endpoint,keylen,time
client,10,128
server,10,202
server,10,223
client,10,117
server,10,194
client,10,177
server,10,210
client,10,111
server,10,279
client,10,159
client,16,121
server,16,222
server,16,205
client,16,118
server,16,206
client,16,137
client,16,113
server,16,204
client,16,136
server,16,263
server,24,208
client,24,120
server,24,246
client,24,136
server,24,235
client,24,136
client,24,135
server,24,262
server,24,264
client,24,137
client,32,137
server,32,247
server,32,242
client,32,154
server,32,255
client,32,142
client,32,121
server,32,225
client,32,138
server,32,174
