endpoint,time
client,139
server,223
client,132
server,205
server,209
client,122
client,114
server,205
client,126
server,224
client,126
server,213
client,159
server,232
server,214
client,126
client,110
server,191
client,137
server,222
client,164
server,244
client,126
server,213
client,125
server,213
client,128
server,203
client,128
server,230
server,202
client,114
client,111
server,202
server,200
client,122
client,120
server,198
client,133
server,206
server,230
client,131
server,218
client,111
server,195
client,111
client,115
server,210
client,109
server,205
server,213
client,132
server,192
client,113
client,109
server,201
server,218
client,120
client,110
server,179
server,209
client,118
server,225
client,124
client,113
server,181
client,126
server,221
server,233
client,126
server,184
client,111
server,204
client,108
client,113
server,209
client,129
server,215
client,122
server,237
server,209
client,125
server,202
client,115
client,117
server,198
client,124
server,211
server,198
client,115
client,112
server,197
client,139
server,229
server,198
client,117
server,186
client,120
client,125
server,206
server,202
client,118
client,115
server,204
client,120
server,216
server,247
client,149
client,118
server,209
server,199
client,115
server,176
client,107
client,114
server,197
client,130
server,208
client,128
server,203
client,121
server,203
client,121
server,213
server,211
client,123
client,118
server,208
client,150
server,221
client,140
server,212
server,213
client,112
client,113
server,196
server,204
client,114
server,182
client,108
client,117
server,201
server,206
client,168
client,114
server,195
client,131
server,232
client,131
server,202
client,123
server,204
client,130
server,211
client,180
server,245
client,114
server,196
client,120
server,200
client,123
server,207
client,147
server,235
client,118
server,199
client,118
server,200
server,231
client,149
client,124
server,189
client,117
server,218
client,215
server,269
client,121
server,212
client,129
server,223
server,208
client,119
server,185
client,110
client,113
server,197
server,230
client,121
client,113
server,206
server,217
client,122
server,204
client,109
client,118
server,187
client,119
server,198
client,120
server,219
server,229
client,131
server,197
client,117
server,191
client,124
server,181
client,129
client,114
server,204
server,202
client,139
server,180
client,177
client,132
server,206
server,249
client,181
client,117
server,206
client,121
server,213
client,115
server,203
server,220
client,119
server,185
client,116
client,115
server,183
server,226
client,123
client,115
server,201
server,189
client,109
client,117
server,207
client,127
server,206
server,214
client,137
client,112
server,194
client,130
server,263
client,119
server,195
client,125
server,197
server,199
client,126
client,225
server,313
server,199
client,128
client,109
server,194
client,138
server,213
client,119
server,200
client,112
server,183
client,147
server,220
server,199
client,122
client,112
server,206
client,118
server,197
client,126
server,206
server,220
client,117
server,212
client,108
server,229
client,129
server,207
client,127
server,175
client,121
server,189
client,109
server,204
client,130
client,116
server,191
server,213
client,125
server,176
client,106
client,112
server,196
client,118
server,225
server,217
client,134
client,113
server,194
client,164
server,267
server,216
client,118
client,116
server,198
server,254
client,191
server,242
client,180
server,255
client,134
client,117
server,244
client,184
server,203
client,166
server,203
client,130
server,252
client,190
server,248
server,196
client,130
