endpoint,operation,msglen,time
client,hash,1024,16
server,verify,1024,19
server,hash,1024,17
client,verify,1024,18
client,hash,1024,17
server,verify,1024,19
server,hash,1024,17
client,verify,1024,18
client,hash,1024,17
server,verify,1024,19
server,hash,1024,16
client,verify,1024,18
client,hash,1024,16
server,verify,1024,19
server,hash,1024,17
client,verify,1024,19
client,hash,1024,17
server,verify,1024,19
server,hash,1024,18
client,verify,1024,28
client,hash,1024,29
server,verify,1024,30
server,hash,1024,18
client,verify,1024,18
client,hash,1024,17
server,verify,1024,18
server,hash,1024,17
client,verify,1024,18
client,hash,1024,16
server,verify,1024,18
server,hash,1024,17
client,verify,1024,19
client,hash,1024,17
server,verify,1024,18
server,hash,1024,17
client,verify,1024,19
client,hash,1024,17
server,verify,1024,19
server,hash,1024,18
client,verify,1024,19
client,hash,1024,17
server,verify,1024,19
server,hash,1024,18
client,verify,1024,19
client,hash,1024,17
server,verify,1024,34
server,hash,1024,17
client,verify,1024,30
client,hash,1024,29
server,verify,1024,19
server,hash,1024,29
client,verify,1024,19
client,hash,1024,16
server,verify,1024,34
server,hash,1024,34
client,verify,1024,32
client,hash,1024,26
server,verify,1024,18
server,hash,1024,21
client,verify,1024,29
client,hash,1024,17
server,verify,1024,19
server,hash,1024,23
client,verify,1024,18
client,hash,1024,29
server,verify,1024,22
server,hash,1024,17
client,verify,1024,29
client,hash,1024,27
server,verify,1024,18
server,hash,1024,16
client,verify,1024,18
client,hash,1024,26
server,verify,1024,29
server,hash,1024,17
client,verify,1024,18
client,hash,1024,17
server,verify,1024,18
server,hash,1024,17
client,verify,1024,19
client,hash,1024,17
server,verify,1024,19
server,hash,1024,17
client,verify,1024,28
client,hash,1024,18
server,verify,1024,18
server,hash,1024,17
client,verify,1024,19
client,hash,1024,17
server,verify,1024,18
server,hash,1024,17
client,verify,1024,18
client,hash,1024,17
server,verify,1024,19
server,hash,1024,17
client,verify,1024,19
client,hash,1024,17
server,verify,1024,19
server,hash,1024,17
client,verify,1024,19
client,hash,1024,17
server,verify,1024,20
server,hash,1024,30
client,verify,1024,19
client,hash,1024,17
server,verify,1024,19
server,hash,1024,17
client,verify,1024,19
client,hash,1024,17
server,verify,1024,19
server,hash,1024,18
client,verify,1024,19
client,hash,1024,17
server,verify,1024,19
server,hash,1024,17
client,verify,1024,18
client,hash,1024,17
server,verify,1024,19
server,hash,1024,17
client,verify,1024,19
client,hash,1024,17
server,verify,1024,19
server,hash,1024,17
client,verify,1024,19
client,hash,1024,17
server,verify,1024,28
server,hash,1024,17
client,verify,1024,18
client,hash,1024,17
server,verify,1024,20
