endpoint,min_input,max_input,time
server,32,8192,7218
client,32,8192,7707
server,32,8192,4354
client,32,8192,4821
server,32,8192,4608
client,32,8192,5094
server,32,8192,4337
client,32,8192,4759
server,32,8192,4518
client,32,8192,4917
server,32,8192,4604
client,32,8192,5069
server,32,8192,4217
client,32,8192,4661
server,32,8192,4671
client,32,8192,5108
server,32,8192,4262
client,32,8192,4684
server,32,8192,4358
client,32,8192,4824
server,32,8192,4691
client,32,8192,5160
server,32,8192,4238
client,32,8192,4654
server,32,8192,4281
client,32,8192,4690
server,32,8192,4438
client,32,8192,4968
server,32,8192,4303
client,32,8192,4747
server,32,8192,4562
client,32,8192,5105
server,32,8192,4366
client,32,8192,4792
server,32,8192,4292
client,32,8192,4722
server,32,8192,4510
client,32,8192,4993
server,32,8192,4239
client,32,8192,4728
server,32,8192,4664
client,32,8192,5072
server,32,8192,4309
client,32,8192,4815
server,32,8192,4327
client,32,8192,4760
server,32,8192,5500
client,32,8192,5895
server,32,8192,4246
client,32,8192,4892
server,32,8192,4121
client,32,8192,4555
server,32,8192,4424
client,32,8192,4903
server,32,8192,4299
client,32,8192,4710
server,32,8192,4462
client,32,8192,4882
server,32,8192,4314
client,32,8192,4779
server,32,8192,4390
client,32,8192,4819
server,32,8192,4434
client,32,8192,4863
server,32,8192,4235
client,32,8192,4652
server,32,8192,4705
client,32,8192,5240
server,32,8192,4467
client,32,8192,4920
server,32,8192,4403
client,32,8192,4864
server,32,8192,4612
client,32,8192,5095
server,32,8192,4441
client,32,8192,4884
server,32,8192,4388
client,32,8192,4802
server,32,8192,4628
client,32,8192,5138
server,32,8192,4384
client,32,8192,4851
server,32,8192,4356
client,32,8192,4773
server,32,8192,4720
client,32,8192,5168
server,32,8192,4500
client,32,8192,4981
server,32,8192,4592
client,32,8192,5065
server,32,8192,4348
client,32,8192,4777
server,32,8192,4695
client,32,8192,5134
server,32,8192,4376
client,32,8192,4833
server,32,8192,4425
client,32,8192,4916
server,32,8192,4199
client,32,8192,4628
server,32,8192,4409
client,32,8192,4843
server,32,8192,4473
client,32,8192,4927
server,32,8192,4252
client,32,8192,4694
server,32,8192,4338
