endpoint,keylen,time
client,10,143
server,10,237
client,10,137
server,10,273
client,10,155
server,10,273
server,10,225
client,10,131
server,10,208
client,10,114
client,16,195
server,16,185
client,16,222
server,16,266
server,16,207
client,16,134
client,16,117
server,16,221
client,16,199
server,16,245
server,24,225
client,24,164
server,24,203
client,24,118
client,24,118
server,24,194
client,24,119
server,24,214
server,24,208
client,24,111
server,32,284
client,32,138
server,32,298
client,32,149
client,32,136
server,32,285
client,32,141
server,32,281
server,32,247
client,32,173
