endpoint,keylen,time
client,10,118
server,10,183
server,10,249
client,10,121
client,10,119
server,10,166
server,10,228
client,10,115
server,10,174
client,10,129
client,16,107
server,16,172
server,16,194
client,16,111
server,16,234
client,16,203
client,16,155
server,16,292
server,16,340
client,16,134
client,24,110
server,24,216
server,24,196
client,24,111
server,24,219
client,24,131
server,24,197
client,24,174
client,24,121
server,24,223
server,32,249
client,32,122
server,32,182
client,32,115
server,32,245
client,32,138
server,32,310
client,32,279
client,32,131
server,32,179
