endpoint,min_input,max_input,time
server,32,8192,33096
client,32,8192,33916
server,32,8192,24282
client,32,8192,25185
server,32,8192,25219
client,32,8192,26181
server,32,8192,25685
client,32,8192,26559
server,32,8192,25863
client,32,8192,26632
server,32,8192,24655
client,32,8192,25447
server,32,8192,24723
client,32,8192,25674
server,32,8192,24497
client,32,8192,25336
server,32,8192,25874
client,32,8192,26660
server,32,8192,26337
client,32,8192,27120
server,32,8192,24303
client,32,8192,25127
server,32,8192,24321
client,32,8192,25475
server,32,8192,24591
client,32,8192,25390
server,32,8192,25276
client,32,8192,26118
server,32,8192,25669
client,32,8192,26410
server,32,8192,24327
client,32,8192,25157
server,32,8192,23979
client,32,8192,24799
server,32,8192,25047
client,32,8192,25885
server,32,8192,25056
client,32,8192,25828
server,32,8192,25805
client,32,8192,26610
server,32,8192,25057
client,32,8192,25945
server,32,8192,24571
client,32,8192,25375
server,32,8192,24995
client,32,8192,25866
server,32,8192,25494
client,32,8192,26282
server,32,8192,25660
client,32,8192,26548
server,32,8192,24375
client,32,8192,25215
server,32,8192,24745
client,32,8192,25809
server,32,8192,27238
client,32,8192,28141
server,32,8192,24947
client,32,8192,25835
server,32,8192,23617
client,32,8192,24831
server,32,8192,26093
client,32,8192,26882
server,32,8192,25091
client,32,8192,25882
server,32,8192,24503
client,32,8192,25321
server,32,8192,26500
client,32,8192,27346
server,32,8192,25506
client,32,8192,26316
server,32,8192,24731
client,32,8192,25548
server,32,8192,24157
client,32,8192,24948
server,32,8192,23873
client,32,8192,25045
server,32,8192,25458
client,32,8192,26296
server,32,8192,25612
client,32,8192,26434
server,32,8192,26384
client,32,8192,27283
server,32,8192,26063
client,32,8192,26849
server,32,8192,24684
client,32,8192,25430
server,32,8192,25384
client,32,8192,26171
server,32,8192,25191
client,32,8192,25999
server,32,8192,25686
client,32,8192,26669
server,32,8192,25355
client,32,8192,26189
server,32,8192,24301
client,32,8192,25219
server,32,8192,24602
client,32,8192,25387
server,32,8192,24987
client,32,8192,26208
server,32,8192,25464
client,32,8192,26307
server,32,8192,25921
client,32,8192,26748
server,32,8192,24341
client,32,8192,25157
server,32,8192,24905
client,32,8192,25974
server,32,8192,25073
client,32,8192,25928
server,32,8192,24687
client,32,8192,25527
server,32,8192,24760
client,32,8192,25555
server,32,8192,25721
client,32,8192,26557
server,32,8192,25509
client,32,8192,26359
server,32,8192,25251
client,32,8192,26046
server,32,8192,24215
client,32,8192,25004
server,32,8192,24989
client,32,8192,25827
server,32,8192,24933
client,32,8192,25822
server,32,8192,24871
client,32,8192,25811
server,32,8192,24398
client,32,8192,25194
server,32,8192,25237
client,32,8192,26044
server,32,8192,24792
client,32,8192,25617
server,32,8192,25048
client,32,8192,25905
server,32,8192,24606
client,32,8192,25362
server,32,8192,25066
client,32,8192,26033
server,32,8192,25417
client,32,8192,26295
server,32,8192,24397
client,32,8192,25194
server,32,8192,24114
client,32,8192,24910
server,32,8192,25661
client,32,8192,26436
server,32,8192,26946
client,32,8192,27775
server,32,8192,24649
client,32,8192,25523
server,32,8192,23679
client,32,8192,24825
server,32,8192,25010
client,32,8192,25887
server,32,8192,26122
client,32,8192,26946
server,32,8192,24813
client,32,8192,25634
server,32,8192,24622
client,32,8192,25499
server,32,8192,25792
client,32,8192,26589
server,32,8192,25252
client,32,8192,26034
server,32,8192,24430
client,32,8192,25254
server,32,8192,26494
client,32,8192,27388
server,32,8192,25933
client,32,8192,26795
server,32,8192,24453
client,32,8192,25263
server,32,8192,25769
client,32,8192,26624
server,32,8192,25332
client,32,8192,26130
server,32,8192,24639
client,32,8192,25498
server,32,8192,24130
client,32,8192,25211
server,32,8192,25937
client,32,8192,26711
server,32,8192,24320
client,32,8192,25130
server,32,8192,27426
client,32,8192,28218
server,32,8192,24716
client,32,8192,25506
server,32,8192,23990
client,32,8192,24784
server,32,8192,24447
client,32,8192,25519
server,32,8192,25121
client,32,8192,26047
server,32,8192,24883
client,32,8192,25703
server,32,8192,24162
client,32,8192,24940
server,32,8192,24896
client,32,8192,25737
server,32,8192,25105
client,32,8192,25930
server,32,8192,24546
client,32,8192,25507
server,32,8192,25725
client,32,8192,26815
server,32,8192,25138
client,32,8192,25943
server,32,8192,26173
client,32,8192,26965
server,32,8192,24395
client,32,8192,25224
server,32,8192,24257
client,32,8192,25482
server,32,8192,25594
client,32,8192,26377
server,32,8192,25201
client,32,8192,26010
server,32,8192,23995
