endpoint,time
client,1505
client,1623
server,17214
client,1494
server,17789
client,1485
server,17184
client,1467
server,17547
client,1466
server,17380
client,1396
server,17194
client,1440
server,17310
client,1724
server,17587
client,1698
server,17331
client,1451
server,17404
server,17707
client,1696
client,1775
server,17495
client,1390
server,17589
client,1427
server,17760
client,1417
server,17506
client,1547
server,17066
client,1379
server,17166
server,17039
client,1422
client,1452
server,17584
client,1486
server,17925
client,1732
server,17117
client,1588
server,17331
client,1417
server,17088
client,1454
server,17690
client,1781
server,17639
server,17849
client,1518
client,1481
server,16979
client,1531
server,17587
client,1761
server,17207
client,1563
server,17148
client,1459
server,17013
client,1606
server,17334
client,1534
server,17031
client,1563
server,17139
client,2255
server,18167
client,1772
server,18340
server,16897
client,1493
client,1393
server,17153
client,1371
server,17240
client,1671
server,17437
client,1467
server,17075
client,1398
server,16935
client,1439
server,17035
client,1423
server,17344
client,1765
server,17226
client,1839
server,17924
client,1632
server,17643
client,1398
server,17262
client,1368
server,17242
client,1524
server,17153
client,1463
server,16903
server,17064
client,1433
client,1472
server,17263
client,1678
server,18466
client,2015
server,22734
client,2131
server,18763
client,1457
server,17419
client,1534
server,17124
client,1517
server,17217
client,1458
server,17274
client,1440
server,17051
server,17257
client,1365
client,1448
server,17253
server,16862
client,1387
client,1454
server,16989
client,1872
server,17605
client,1517
server,17402
server,17666
client,1489
client,1439
server,17325
client,1507
server,17677
client,1567
server,17445
client,1395
server,17789
client,1554
server,17489
client,1497
server,17510
client,1384
server,17134
client,1498
server,16936
client,1490
server,17330
client,1593
server,17905
client,1693
server,17191
server,17704
client,1499
client,1825
server,17733
client,1469
server,17220
client,1436
server,17477
client,1419
server,17382
client,1463
server,17040
client,1439
server,17834
client,1570
server,17447
client,1479
server,17305
client,1384
server,16878
client,1428
server,17065
client,1709
server,17597
client,1426
server,17610
client,1554
server,17143
client,1456
server,17188
client,1490
server,17238
client,1492
server,17292
client,2188
server,23418
client,1504
server,17810
client,1627
server,17848
server,17677
client,1560
client,1608
server,17492
client,1504
server,17106
client,1446
server,16864
client,1520
server,17379
client,1471
server,17443
server,17602
client,1489
client,1439
server,17052
client,1444
server,17514
client,1773
server,17260
client,1556
server,17393
client,1570
server,17124
client,1551
server,17742
client,1455
server,17062
client,1418
server,17309
client,1622
server,17103
client,1405
server,17017
client,1366
server,17678
client,2259
server,21102
client,1592
server,17624
client,2289
server,17847
client,1500
server,17314
server,19990
client,2178
client,1559
server,17620
client,1719
server,18032
client,1522
server,17099
client,1437
server,18262
client,1438
server,17177
client,1459
server,18093
client,1774
server,17454
client,1464
server,18088
client,1430
server,17408
client,1496
server,18540
server,17627
client,1602
client,1835
server,17738
client,1543
server,17067
client,1429
server,17502
client,1731
server,17625
client,2149
server,19682
client,1459
server,18151
client,1451
server,17165
client,1453
server,17381
client,1523
server,17437
client,1565
server,17449
client,1547
server,18266
client,1573
server,17169
client,1450
server,17829
client,1461
server,17217
client,1942
server,18548
client,1503
server,19012
client,1472
server,17167
client,1596
server,17690
client,2239
server,18346
client,1494
server,17947
client,1751
server,19070
client,1695
server,17233
client,2126
server,18288
client,1465
server,17505
client,1616
server,17537
client,1679
server,17725
client,1526
server,18369
client,1502
server,17492
client,1511
server,20442
client,1664
server,17961
client,1610
server,19418
client,1552
server,17573
client,1557
server,17896
client,1485
server,17415
client,1448
server,17140
client,1525
server,16949
client,1479
server,17302
client,1554
server,17323
client,1447
server,17564
server,17616
client,2017
client,1945
server,18549
client,2348
server,19471
client,1690
server,19795
client,2107
server,18957
client,1862
server,18097
server,17440
client,1869
server,17745
client,1454
client,2168
server,17813
server,18058
client,1477
server,17052
client,1438
client,1575
server,18938
server,17072
client,1431
client,1441
server,18177
client,1543
server,17530
client,1501
server,17717
client,1645
server,18069
client,1661
server,17444
server,17022
client,1561
server,17373
client,1469
client,1442
server,17511
client,1569
server,17353
client,1612
server,16986
client,1538
server,17405
server,18411
client,1405
client,1775
server,21883
client,1565
server,16923
client,1599
server,17224
server,17130
client,1488
server,17683
client,1537
client,1736
server,17635
client,1467
server,17723
client,1413
server,17062
client,1475
server,18822
client,1530
server,20012
client,1438
server,17481
client,1372
server,16975
client,1406
server,17191
server,16964
client,1475
server,17086
client,1426
client,1376
server,16889
server,20656
client,1653
client,1362
server,17026
client,1514
server,17158
client,1511
server,17046
server,17466
client,1527
client,1631
server,17051
server,18182
client,1489
client,1459
server,16819
client,1469
server,17539
client,1571
server,17039
client,2107
server,18277
client,1788
server,17450
client,1664
server,18134
client,1734
server,17407
client,1496
server,18342
client,2190
server,17607
client,1414
server,18439
client,1453
server,17043
client,1568
server,18088
client,1421
server,17293
client,1440
server,17665
client,1429
server,17041
client,1394
server,17265
client,314977
server,331366
client,1561
server,17221
client,1615
server,17521
client,1524
server,16845
client,1519
server,17395
client,2601
server,18484
client,2259
server,18903
client,2069
server,21467
client,1521
server,19210
client,1570
server,17296
client,1645
server,17302
client,1567
server,17212
client,1470
server,18066
client,1484
server,17026
client,1528
server,17787
client,1409
server,16698
client,1413
server,17243
client,1461
server,16846
client,1587
server,17425
client,1485
server,17247
client,1470
server,17690
client,1424
server,17134
client,1609
server,17589
client,1800
server,17318
client,1626
server,17930
client,1598
server,17350
client,1473
server,17975
client,1615
server,17365
client,1493
server,17247
client,1597
server,17143
client,1494
server,17917
server,16896
client,1422
client,1592
server,17791
client,1609
server,17870
client,1657
server,18226
client,1569
server,17714
client,1569
server,17290
client,2281
server,18534
client,1632
server,17283
client,1451
server,17109
server,18153
client,1506
client,1436
server,17150
client,1658
server,19520
client,1488
server,17142
client,1483
server,17341
client,1564
server,17220
client,1429
server,17747
client,1459
server,17021
client,1544
server,18024
client,313045
server,328162
client,1671
server,17419
client,1964
server,17815
client,1584
server,17068
client,1546
server,17792
client,1539
server,17215
client,1374
server,17711
client,1425
server,17128
server,18039
client,1465
client,1706
server,17254
client,1599
server,17606
server,21010
client,1493
client,1432
server,17408
client,2106
server,19238
server,17216
client,1485
client,1456
server,17001
client,1651
server,17376
client,2032
server,17365
client,1728
server,17548
server,17209
client,1568
client,1580
server,17314
client,1622
server,17239
client,1382
server,18876
client,1444
server,17012
client,1491
server,17487
client,1578
server,17109
client,1514
server,17682
client,1695
server,17438
client,1837
server,19410
server,17579
client,1572
client,1476
server,17629
client,1426
server,17126
client,1573
server,17927
client,1558
server,17340
client,1665
server,18273
client,1434
server,16966
client,1449
server,17401
client,1475
server,17221
client,1537
server,18131
client,1578
server,17445
client,1563
server,17601
client,1554
server,17705
client,1522
server,17256
client,1401
server,16874
server,17304
client,1477
client,1427
server,17401
client,1467
server,17841
client,1663
server,17039
client,1801
server,18042
client,1477
server,17192
client,1555
server,17718
client,1555
server,17266
client,1544
server,17341
client,1586
server,17722
client,1429
server,17034
client,1407
server,17402
client,1438
server,17111
client,1739
server,17645
client,1737
server,17624
client,1980
server,18061
client,1996
server,20135
client,2252
server,21904
client,2270
server,18702
client,1411
server,17975
client,1503
server,17292
client,1546
server,17967
client,1605
server,17326
client,1527
server,17763
client,1372
server,16993
client,1436
server,17487
client,1564
server,17252
client,1503
server,17573
client,1360
server,17094
client,1485
server,17325
server,17337
client,1532
client,1425
server,17245
server,16866
client,1487
client,1418
server,17214
client,1439
server,17138
server,17210
client,1453
client,1421
server,17348
client,1408
server,17567
client,1811
server,17356
client,1500
server,17601
client,1684
server,17162
client,1490
server,17670
server,17251
client,1433
client,1501
server,18394
client,1476
server,16982
client,1581
server,18119
client,1498
server,17268
client,1506
server,17241
server,17344
client,1582
client,1553
server,17865
client,1639
server,17343
client,1588
server,18363
client,1435
server,17452
client,1414
server,18455
server,17668
client,1589
client,1445
server,18319
client,1401
server,17361
client,1608
server,18295
client,1688
server,17515
client,1443
server,17150
client,1427
server,17106
client,1572
server,17583
client,1398
server,17630
client,1780
server,17878
client,1523
server,17574
client,1433
server,18268
server,24971
client,2140
client,1743
server,19587
client,1892
server,18719
client,1780
server,17311
server,17869
client,1419
client,1869
server,17552
client,1425
server,17117
client,1420
server,16881
client,1390
server,17194
client,1442
server,17148
client,1494
server,17086
client,1477
server,17070
client,1480
server,17273
client,1561
server,17108
client,1420
server,17428
server,16996
client,1449
client,1601
server,17250
client,1544
server,17839
client,1944
server,18240
client,1536
server,17366
client,1601
server,17187
client,1452
server,17466
client,1419
server,17127
server,16870
client,1611
client,1481
server,17132
server,16834
client,1518
server,17369
client,1652
server,17015
client,1385
client,1585
server,17430
client,1518
server,17150
client,1485
server,17067
client,1567
server,17002
client,2124
server,17521
client,1490
server,17491
client,1989
server,18188
client,1579
server,17160
client,1707
server,17624
client,1527
server,19001
client,1480
server,17327
server,17271
client,1598
client,1437
server,16897
server,17038
client,1556
client,1445
server,17124
client,1674
server,17548
server,17548
client,1553
client,1396
server,17097
client,1611
server,17323
client,1475
server,17232
server,17028
client,1468
client,1495
server,17556
server,17196
client,1605
client,1560
server,16941
client,1441
server,17395
client,1552
server,17017
server,17276
client,1430
client,1412
server,17155
client,1853
server,17416
client,1439
server,17024
client,1421
server,16977
client,1540
server,17217
client,2247
server,17783
client,1498
server,16947
client,1581
server,17035
client,1509
server,16872
client,1591
server,17710
client,1410
server,16817
client,1470
server,16968
client,1625
server,17283
client,1704
server,17192
client,1508
server,16969
client,1464
server,16821
client,1424
server,17213
client,1471
server,17030
client,1637
server,17231
client,1564
server,17001
client,1523
server,17462
server,17570
client,1632
client,1559
server,17578
client,1435
server,17455
server,17021
client,1429
client,1508
server,17126
server,17255
client,1533
client,1440
server,17175
client,1586
server,17242
server,17035
client,1648
client,1793
server,17766
client,1472
server,17010
client,1429
server,17292
client,1586
server,17006
client,1541
server,17117
client,1612
server,17076
server,17462
client,1802
client,1660
server,17460
client,1516
server,17317
