endpoint,operation,msglen,time
client,digest,8192,40
server,verify,8192,45
server,digest,8192,48
client,verify,8192,43
client,digest,8192,40
server,verify,8192,44
server,digest,8192,40
client,verify,8192,44
client,digest,8192,40
server,verify,8192,43
server,digest,8192,41
client,verify,8192,43
client,digest,8192,40
server,verify,8192,64
server,digest,8192,41
client,verify,8192,65
client,digest,8192,43
server,verify,8192,43
server,digest,8192,40
client,verify,8192,42
client,digest,16384,97
server,verify,16384,81
server,digest,16384,140
client,verify,16384,82
client,digest,16384,76
server,verify,16384,82
server,digest,16384,76
client,verify,16384,80
client,digest,16384,76
server,verify,16384,82
server,digest,16384,76
client,verify,16384,83
client,digest,16384,76
server,verify,16384,82
server,digest,16384,80
client,verify,16384,80
client,digest,16384,110
server,verify,16384,85
server,digest,16384,76
client,verify,16384,81
