endpoint,operation,msglen,time
client,encrypt,8192,178
server,decrypt,8192,119
server,encrypt,8192,130
client,decrypt,8192,117
client,encrypt,8192,117
server,decrypt,8192,147
server,encrypt,8192,121
client,decrypt,8192,130
client,encrypt,8192,132
server,decrypt,8192,141
server,encrypt,8192,140
client,decrypt,8192,118
client,encrypt,8192,119
server,decrypt,8192,120
server,encrypt,8192,125
client,decrypt,8192,118
client,encrypt,8192,131
server,decrypt,8192,126
server,encrypt,8192,186
client,decrypt,8192,153
client,encrypt,16384,238
server,decrypt,16384,241
server,encrypt,16384,238
client,decrypt,16384,232
client,encrypt,16384,234
server,decrypt,16384,238
server,encrypt,16384,271
client,decrypt,16384,234
client,encrypt,16384,233
server,decrypt,16384,253
server,encrypt,16384,237
client,decrypt,16384,243
client,encrypt,16384,262
server,decrypt,16384,235
server,encrypt,16384,255
client,decrypt,16384,230
client,encrypt,16384,233
server,decrypt,16384,237
server,encrypt,16384,291
client,decrypt,16384,281
