endpoint,keylen,time
client,1024,579
server,1024,5128
server,1024,3577
client,1024,680
client,1024,557
server,1024,3372
client,1024,557
server,1024,3425
client,1024,571
server,1024,3427
client,2048,1609
server,2048,22525
client,2048,1782
server,2048,17190
client,2048,1491
server,2048,16824
client,2048,1529
server,2048,16858
client,2048,1577
server,2048,16950
client,4096,5260
server,4096,127552
client,4096,5083
server,4096,104824
client,4096,4853
server,4096,104313
client,4096,4918
server,4096,105738
server,4096,109899
client,4096,7291
client,8192,17178
server,8192,830948
client,8192,16473
server,8192,758196
client,8192,16567
server,8192,760990
server,8192,748668
client,8192,16544
client,8192,16423
server,8192,744675
