sec_lvl,test_id,time
1,0,29
1,0,1
1,0,10
1,0,1
1,0,1
1,0,906
1,0,87
1,1,13
1,1,2
1,1,4
1,1,2
1,1,2
1,1,1240
1,1,144
1,2,10
1,2,1
1,2,5
1,2,1
1,2,1
1,2,819
1,2,97
1,3,9
1,3,2
1,3,4
1,3,1
1,3,2
1,3,884
1,3,90
1,4,10
1,4,1
1,4,4
1,4,1
1,4,12
1,4,942
1,4,107
1,5,13
1,5,2
1,5,4
1,5,2
1,5,1
1,5,1201
1,5,136
1,6,14
1,6,2
1,6,6
1,6,2
1,6,1
1,6,972
1,6,140
1,7,10
1,7,2
1,7,4
1,7,1
1,7,1
1,7,801
1,7,85
1,8,9
1,8,1
1,8,3
1,8,1
1,8,1
1,8,775
1,8,107
1,9,10
1,9,1
1,9,4
1,9,10
1,9,1
1,9,774
1,9,107
1,10,10
1,10,0
1,10,3
1,10,1
1,10,1
1,10,798
1,10,82
1,11,10
1,11,1
1,11,4
1,11,1
1,11,1
1,11,792
1,11,90
1,12,13
1,12,2
1,12,4
1,12,2
1,12,2
1,12,1162
1,12,88
1,13,9
1,13,1
1,13,3
1,13,1
1,13,1
1,13,801
1,13,82
1,14,9
1,14,1
1,14,3
1,14,1
1,14,1
1,14,771
1,14,107
1,15,13
1,15,2
1,15,4
1,15,1
1,15,1
1,15,795
1,15,88
1,16,12
1,16,1
1,16,3
1,16,2
1,16,2
1,16,831
1,16,82
1,17,10
1,17,1
1,17,3
1,17,2
1,17,1
1,17,797
1,17,82
1,18,9
1,18,1
1,18,3
1,18,1
1,18,1
1,18,799
1,18,82
1,19,9
1,19,2
1,19,3
1,19,1
1,19,2
1,19,781
1,19,106
1,20,8
1,20,1
1,20,3
1,20,1
1,20,1
1,20,793
1,20,82
1,21,9
1,21,14
1,21,3
1,21,1
1,21,1
1,21,785
1,21,106
1,22,9
1,22,1
1,22,3
1,22,1
1,22,1
1,22,771
1,22,112
1,23,10
1,23,1
1,23,3
1,23,1
1,23,1
1,23,796
1,23,82
1,24,9
1,24,1
1,24,4
1,24,1
1,24,1
1,24,804
1,24,82
1,25,13
1,25,2
1,25,4
1,25,1
1,25,1
1,25,786
1,25,89
1,26,9
1,26,1
1,26,3
1,26,2
1,26,1
1,26,777
1,26,90
1,27,9
1,27,1
1,27,3
1,27,1
1,27,1
1,27,777
1,27,81
1,28,9
1,28,15
1,28,5
1,28,1
1,28,1
1,28,928
1,28,157
1,29,9
1,29,1
1,29,3
1,29,2
1,29,1
1,29,795
1,29,82
1,30,9
1,30,1
1,30,4
1,30,1
1,30,1
1,30,787
1,30,82
1,31,9
1,31,1
1,31,3
1,31,2
1,31,1
1,31,787
1,31,81
1,32,9
1,32,1
1,32,3
1,32,1
1,32,1
1,32,802
1,32,81
1,33,17
1,33,1
1,33,3
1,33,1
1,33,1
1,33,769
1,33,82
1,34,8
1,34,2
1,34,4
1,34,1
1,34,1
1,34,792
1,34,89
1,35,9
1,35,17
1,35,3
1,35,2
1,35,1
1,35,796
1,35,82
1,36,9
1,36,2
1,36,3
1,36,1
1,36,10
1,36,798
1,36,90
1,37,9
1,37,1
1,37,3
1,37,10
1,37,1
1,37,770
1,37,82
1,38,9
1,38,12
1,38,3
1,38,2
1,38,1
1,38,784
1,38,107
1,39,10
1,39,1
1,39,3
1,39,1
1,39,1
1,39,794
1,39,81
1,40,14
1,40,2
1,40,4
1,40,2
1,40,1
1,40,797
1,40,88
1,41,8
1,41,1
1,41,5
1,41,2
1,41,1
1,41,914
1,41,126
1,42,9
1,42,17
1,42,4
1,42,1
1,42,1
1,42,802
1,42,82
1,43,9
1,43,1
1,43,4
1,43,1
1,43,1
1,43,791
1,43,81
1,44,9
1,44,1
1,44,4
1,44,1
1,44,1
1,44,792
1,44,90
1,45,9
1,45,1
1,45,3
1,45,1
1,45,1
1,45,786
1,45,90
1,46,9
1,46,2
1,46,3
1,46,2
1,46,2
1,46,776
1,46,82
1,47,9
1,47,1
1,47,4
1,47,2
1,47,1
1,47,818
1,47,82
1,48,14
1,48,2
1,48,3
1,48,1
1,48,2
1,48,804
1,48,82
1,49,10
1,49,12
1,49,3
1,49,3
1,49,1
1,49,775
1,49,90
2,0,10
2,0,1
2,0,3
2,0,2
2,0,1
2,0,1485
2,0,105
2,1,9
2,1,2
2,1,3
2,1,1
2,1,2
2,1,1504
2,1,105
2,2,9
2,2,1
2,2,3
2,2,1
2,2,1
2,2,1530
2,2,81
2,3,9
2,3,1
2,3,3
2,3,2
2,3,1
2,3,1496
2,3,105
2,4,10
2,4,1
2,4,3
2,4,1
2,4,1
2,4,1499
2,4,107
2,5,8
2,5,1
2,5,3
2,5,1
2,5,1
2,5,1493
2,5,106
2,6,10
2,6,1
2,6,4
2,6,1
2,6,1
2,6,1547
2,6,83
2,7,8
2,7,1
2,7,3
2,7,1
2,7,1
2,7,1507
2,7,106
2,8,9
2,8,1
2,8,4
2,8,1
2,8,1
2,8,1488
2,8,105
2,9,9
2,9,1
2,9,3
2,9,2
2,9,1
2,9,1527
2,9,82
2,10,10
2,10,1
2,10,3
2,10,1
2,10,2
2,10,1549
2,10,89
2,11,9
2,11,1
2,11,4
2,11,2
2,11,1
2,11,1491
2,11,107
2,12,9
2,12,1
2,12,3
2,12,2
2,12,1
2,12,1532
2,12,82
2,13,10
2,13,1
2,13,15
2,13,2
2,13,2
2,13,1533
2,13,87
2,14,9
2,14,1
2,14,3
2,14,1
2,14,1
2,14,1529
2,14,89
2,15,9
2,15,1
2,15,3
2,15,1
2,15,1
2,15,1608
2,15,169
2,16,10
2,16,1
2,16,5
2,16,1
2,16,1
2,16,1659
2,16,105
2,17,8
2,17,1
2,17,4
2,17,1
2,17,1
2,17,1530
2,17,81
2,18,8
2,18,1
2,18,4
2,18,1
2,18,1
2,18,1533
2,18,82
2,19,9
2,19,2
2,19,4
2,19,1
2,19,1
2,19,1488
2,19,107
2,20,9
2,20,1
2,20,19
2,20,2
2,20,1
2,20,1647
2,20,83
2,21,13
2,21,2
2,21,6
2,21,1
2,21,1
2,21,1623
2,21,89
2,22,14
2,22,2
2,22,4
2,22,2
2,22,1
2,22,1804
2,22,145
2,23,9
2,23,2
2,23,4
2,23,3
2,23,2
2,23,1635
2,23,109
2,24,13
2,24,2
2,24,3
2,24,3
2,24,2
2,24,2300
2,24,145
2,25,9
2,25,2
2,25,3
2,25,1
2,25,2
2,25,1539
2,25,82
2,26,9
2,26,1
2,26,4
2,26,1
2,26,11
2,26,1508
2,26,105
2,27,9
2,27,1
2,27,4
2,27,1
2,27,1
2,27,1534
2,27,81
2,28,10
2,28,1
2,28,4
2,28,1
2,28,1
2,28,1517
2,28,82
2,29,9
2,29,1
2,29,4
2,29,1
2,29,1
2,29,1536
2,29,92
2,30,9
2,30,1
2,30,4
2,30,10
2,30,1
2,30,1493
2,30,105
2,31,10
2,31,1
2,31,4
2,31,2
2,31,1
2,31,1660
2,31,82
2,32,9
2,32,1
2,32,3
2,32,1
2,32,1
2,32,1532
2,32,90
2,33,9
2,33,1
2,33,4
2,33,1
2,33,1
2,33,1515
2,33,88
2,34,9
2,34,1
2,34,3
2,34,2
2,34,2
2,34,1519
2,34,90
2,35,9
2,35,1
2,35,4
2,35,2
2,35,1
2,35,1498
2,35,90
2,36,9
2,36,1
2,36,3
2,36,2
2,36,1
2,36,1536
2,36,90
2,37,9
2,37,1
2,37,4
2,37,1
2,37,2
2,37,1534
2,37,90
2,38,9
2,38,1
2,38,4
2,38,1
2,38,1
2,38,1505
2,38,106
2,39,9
2,39,1
2,39,3
2,39,1
2,39,1
2,39,1538
2,39,90
2,40,9
2,40,1
2,40,3
2,40,1
2,40,2
2,40,1501
2,40,105
2,41,13
2,41,2
2,41,5
2,41,4
2,41,2
2,41,1681
2,41,92
2,42,9
2,42,1
2,42,3
2,42,1
2,42,1
2,42,1494
2,42,100
2,43,9
2,43,1
2,43,4
2,43,1
2,43,1
2,43,1549
2,43,81
2,44,9
2,44,1
2,44,4
2,44,1
2,44,1
2,44,1528
2,44,96
2,45,9
2,45,1
2,45,4
2,45,1
2,45,1
2,45,1532
2,45,90
2,46,10
2,46,1
2,46,4
2,46,1
2,46,1
2,46,1507
2,46,106
2,47,10
2,47,1
2,47,4
2,47,1
2,47,1
2,47,1535
2,47,90
2,48,9
2,48,1
2,48,4
2,48,2
2,48,1
2,48,1489
2,48,105
2,49,9
2,49,1
2,49,4
2,49,2
2,49,2
2,49,1512
2,49,106
3,0,9
3,0,1
3,0,3
3,0,2
3,0,1
3,0,7303
3,0,106
3,1,9
3,1,2
3,1,3
3,1,1
3,1,2
3,1,7408
3,1,107
3,2,9
3,2,1
3,2,13
3,2,2
3,2,1
3,2,7439
3,2,106
3,3,10
3,3,1
3,3,3
3,3,2
3,3,1
3,3,7348
3,3,107
3,4,10
3,4,2
3,4,3
3,4,2
3,4,1
3,4,7360
3,4,106
3,5,9
3,5,2
3,5,14
3,5,2
3,5,2
3,5,7507
3,5,82
3,6,10
3,6,1
3,6,4
3,6,2
3,6,1
3,6,7355
3,6,107
3,7,10
3,7,1
3,7,3
3,7,2
3,7,1
3,7,7367
3,7,99
3,8,10
3,8,1
3,8,4
3,8,2
3,8,1
3,8,7279
3,8,109
3,9,21
3,9,1
3,9,4
3,9,2
3,9,2
3,9,7557
3,9,81
3,10,9
3,10,1
3,10,13
3,10,2
3,10,1
3,10,7348
3,10,106
3,11,10
3,11,1
3,11,4
3,11,2
3,11,1
3,11,7503
3,11,81
3,12,9
3,12,1
3,12,3
3,12,1
3,12,2
3,12,7428
3,12,83
3,13,9
3,13,1
3,13,3
3,13,2
3,13,1
3,13,7529
3,13,81
3,14,10
3,14,1
3,14,4
3,14,2
3,14,1
3,14,7274
3,14,106
3,15,9
3,15,1
3,15,3
3,15,2
3,15,1
3,15,7473
3,15,91
3,16,9
3,16,1
3,16,3
3,16,2
3,16,2
3,16,7504
3,16,105
3,17,9
3,17,1
3,17,4
3,17,2
3,17,2
3,17,7299
3,17,90
3,18,10
3,18,1
3,18,13
3,18,2
3,18,1
3,18,7338
3,18,107
3,19,9
3,19,1
3,19,4
3,19,2
3,19,1
3,19,7298
3,19,105
3,20,8
3,20,1
3,20,4
3,20,1
3,20,1
3,20,7341
3,20,90
3,21,10
3,21,1
3,21,3
3,21,2
3,21,2
3,21,7374
3,21,106
3,22,9
3,22,2
3,22,13
3,22,2
3,22,1
3,22,7507
3,22,83
3,23,10
3,23,1
3,23,4
3,23,2
3,23,1
3,23,7541
3,23,107
3,24,9
3,24,2
3,24,4
3,24,2
3,24,1
3,24,7558
3,24,82
3,25,9
3,25,9
3,25,6
3,25,2
3,25,1
3,25,7520
3,25,91
3,26,9
3,26,1
3,26,13
3,26,2
3,26,1
3,26,7327
3,26,91
3,27,9
3,27,10
3,27,13
3,27,2
3,27,1
3,27,7336
3,27,107
3,28,9
3,28,1
3,28,13
3,28,2
3,28,1
3,28,7342
3,28,107
3,29,9
3,29,1
3,29,4
3,29,2
3,29,1
3,29,7481
3,29,81
3,30,10
3,30,1
3,30,4
3,30,2
3,30,2
3,30,7456
3,30,90
3,31,10
3,31,2
3,31,4
3,31,1
3,31,1
3,31,7580
3,31,86
3,32,10
3,32,1
3,32,3
3,32,2
3,32,1
3,32,7987
3,32,84
3,33,10
3,33,1
3,33,13
3,33,2
3,33,1
3,33,7503
3,33,85
3,34,14
3,34,2
3,34,6
3,34,2
3,34,1
3,34,7859
3,34,87
3,35,9
3,35,1
3,35,13
3,35,2
3,35,2
3,35,7265
3,35,89
3,36,9
3,36,1
3,36,4
3,36,3
3,36,1
3,36,7522
3,36,82
3,37,9
3,37,1
3,37,13
3,37,2
3,37,2
3,37,7251
3,37,90
3,38,9
3,38,1
3,38,3
3,38,1
3,38,1
3,38,7346
3,38,108
3,39,9
3,39,1
3,39,3
3,39,2
3,39,1
3,39,7442
3,39,106
3,40,9
3,40,2
3,40,13
3,40,2
3,40,10
3,40,7421
3,40,107
3,41,9
3,41,1
3,41,4
3,41,2
3,41,1
3,41,7291
3,41,106
3,42,10
3,42,1
3,42,4
3,42,1
3,42,2
3,42,7426
3,42,107
3,43,9
3,43,1
3,43,4
3,43,1
3,43,1
3,43,7502
3,43,81
3,44,9
3,44,1
3,44,4
3,44,2
3,44,1
3,44,7466
