sec_lvl,test_id,operation,time
1,0,rsa_encrypt,907
1,0,psk_derive_premaster,1
1,1,rsa_encrypt,784
1,1,psk_derive_premaster,1
1,2,rsa_encrypt,811
1,2,psk_derive_premaster,1
1,3,rsa_encrypt,874
1,3,psk_derive_premaster,1
1,4,rsa_encrypt,939
1,4,psk_derive_premaster,1
1,5,rsa_encrypt,821
1,5,psk_derive_premaster,1
1,6,rsa_encrypt,889
1,6,psk_derive_premaster,1
1,7,rsa_encrypt,790
1,7,psk_derive_premaster,1
1,8,rsa_encrypt,808
1,8,psk_derive_premaster,1
1,9,rsa_encrypt,760
1,9,psk_derive_premaster,1
1,10,rsa_encrypt,760
1,10,psk_derive_premaster,2
1,11,rsa_encrypt,817
1,11,psk_derive_premaster,1
1,12,rsa_encrypt,759
1,12,psk_derive_premaster,1
1,13,rsa_encrypt,832
1,13,psk_derive_premaster,2
1,14,rsa_encrypt,791
1,14,psk_derive_premaster,1
1,15,rsa_encrypt,818
1,15,psk_derive_premaster,1
1,16,rsa_encrypt,772
1,16,psk_derive_premaster,1
1,17,rsa_encrypt,784
1,17,psk_derive_premaster,1
1,18,rsa_encrypt,841
1,18,psk_derive_premaster,1
1,19,rsa_encrypt,897
1,19,psk_derive_premaster,1
1,20,rsa_encrypt,851
1,20,psk_derive_premaster,1
1,21,rsa_encrypt,873
1,21,psk_derive_premaster,1
1,22,rsa_encrypt,803
1,22,psk_derive_premaster,1
1,23,rsa_encrypt,848
1,23,psk_derive_premaster,1
1,24,rsa_encrypt,1082
1,24,psk_derive_premaster,2
1,25,rsa_encrypt,873
1,25,psk_derive_premaster,1
1,26,rsa_encrypt,848
1,26,psk_derive_premaster,1
1,27,rsa_encrypt,813
1,27,psk_derive_premaster,1
1,28,rsa_encrypt,1230
1,28,psk_derive_premaster,2
1,29,rsa_encrypt,1209
1,29,psk_derive_premaster,2
2,0,rsa_encrypt,2452
2,0,psk_derive_premaster,2
2,1,rsa_encrypt,2026
2,1,psk_derive_premaster,2
2,2,rsa_encrypt,1651
2,2,psk_derive_premaster,1
2,3,rsa_encrypt,1549
2,3,psk_derive_premaster,1
2,4,rsa_encrypt,2418
2,4,psk_derive_premaster,2
2,5,rsa_encrypt,1527
2,5,psk_derive_premaster,1
2,6,rsa_encrypt,2120
2,6,psk_derive_premaster,1
2,7,rsa_encrypt,1495
2,7,psk_derive_premaster,1
2,8,rsa_encrypt,1660
2,8,psk_derive_premaster,1
2,9,rsa_encrypt,1522
2,9,psk_derive_premaster,1
2,10,rsa_encrypt,1560
2,10,psk_derive_premaster,1
2,11,rsa_encrypt,1527
2,11,psk_derive_premaster,1
2,12,rsa_encrypt,1519
2,12,psk_derive_premaster,1
2,13,rsa_encrypt,1531
2,13,psk_derive_premaster,1
2,14,rsa_encrypt,1567
2,14,psk_derive_premaster,2
2,15,rsa_encrypt,1564
2,15,psk_derive_premaster,1
2,16,rsa_encrypt,1752
2,16,psk_derive_premaster,2
2,17,rsa_encrypt,1522
2,17,psk_derive_premaster,2
2,18,rsa_encrypt,1641
2,18,psk_derive_premaster,1
2,19,rsa_encrypt,1585
2,19,psk_derive_premaster,1
2,20,rsa_encrypt,1526
2,20,psk_derive_premaster,1
2,21,rsa_encrypt,1572
2,21,psk_derive_premaster,1
2,22,rsa_encrypt,1521
2,22,psk_derive_premaster,1
2,23,rsa_encrypt,1754
2,23,psk_derive_premaster,1
2,24,rsa_encrypt,1633
2,24,psk_derive_premaster,1
2,25,rsa_encrypt,1800
2,25,psk_derive_premaster,2
2,26,rsa_encrypt,1847
2,26,psk_derive_premaster,1
2,27,rsa_encrypt,1599
2,27,psk_derive_premaster,1
2,28,rsa_encrypt,1527
2,28,psk_derive_premaster,1
2,29,rsa_encrypt,1547
2,29,psk_derive_premaster,2
3,0,rsa_encrypt,7311
3,0,psk_derive_premaster,1
3,1,rsa_encrypt,7487
3,1,psk_derive_premaster,1
3,2,rsa_encrypt,7489
3,2,psk_derive_premaster,1
3,3,rsa_encrypt,7618
3,3,psk_derive_premaster,1
3,4,rsa_encrypt,7429
3,4,psk_derive_premaster,1
3,5,rsa_encrypt,7498
3,5,psk_derive_premaster,1
3,6,rsa_encrypt,7365
3,6,psk_derive_premaster,2
3,7,rsa_encrypt,7469
3,7,psk_derive_premaster,1
3,8,rsa_encrypt,7387
3,8,psk_derive_premaster,2
3,9,rsa_encrypt,7428
3,9,psk_derive_premaster,1
3,10,rsa_encrypt,7487
3,10,psk_derive_premaster,2
3,11,rsa_encrypt,7483
3,11,psk_derive_premaster,1
3,12,rsa_encrypt,7396
3,12,psk_derive_premaster,2
3,13,rsa_encrypt,7452
3,13,psk_derive_premaster,1
3,14,rsa_encrypt,7571
3,14,psk_derive_premaster,1
3,15,rsa_encrypt,7462
3,15,psk_derive_premaster,1
3,16,rsa_encrypt,7534
3,16,psk_derive_premaster,2
3,17,rsa_encrypt,7628
3,17,psk_derive_premaster,2
3,18,rsa_encrypt,7415
3,18,psk_derive_premaster,1
3,19,rsa_encrypt,7481
3,19,psk_derive_premaster,1
3,20,rsa_encrypt,7492
3,20,psk_derive_premaster,2
3,21,rsa_encrypt,7477
3,21,psk_derive_premaster,1
3,22,rsa_encrypt,7588
3,22,psk_derive_premaster,1
3,23,rsa_encrypt,7376
3,23,psk_derive_premaster,1
3,24,rsa_encrypt,7471
3,24,psk_derive_premaster,2
3,25,rsa_encrypt,7558
3,25,psk_derive_premaster,1
3,26,rsa_encrypt,7513
3,26,psk_derive_premaster,2
3,27,rsa_encrypt,7493
