endpoint,keylen,test_id,operation,time
client,1,0,rsa_verify_with_sha256,691
client,1,0,rsa_encrypt,832
client,1,0,psk_derive_premaster,2
server,1,0,parse_client_psk_identity,3
server,1,0,rsa_decrypt,23153
server,1,0,psk_derive_premaster,1
client,1,1,rsa_verify_with_sha256,444
client,1,1,rsa_encrypt,892
client,1,1,psk_derive_premaster,2
server,1,1,parse_client_psk_identity,4
server,1,1,rsa_decrypt,19481
server,1,1,psk_derive_premaster,2
client,1,2,rsa_verify_with_sha256,504
client,1,2,rsa_encrypt,795
client,1,2,psk_derive_premaster,1
server,1,2,parse_client_psk_identity,3
server,1,2,rsa_decrypt,16946
server,1,2,psk_derive_premaster,1
client,1,3,rsa_verify_with_sha256,436
client,1,3,rsa_encrypt,815
client,1,3,psk_derive_premaster,1
server,1,3,parse_client_psk_identity,3
server,1,3,rsa_decrypt,16001
server,1,3,psk_derive_premaster,1
client,1,4,rsa_verify_with_sha256,630
client,1,4,rsa_encrypt,794
client,1,4,psk_derive_premaster,1
server,1,4,parse_client_psk_identity,2
server,1,4,rsa_decrypt,15297
server,1,4,psk_derive_premaster,1
client,1,5,rsa_verify_with_sha256,435
client,1,5,rsa_encrypt,871
client,1,5,psk_derive_premaster,2
server,1,5,parse_client_psk_identity,3
server,1,5,rsa_decrypt,17003
server,1,5,psk_derive_premaster,1
client,1,6,rsa_verify_with_sha256,527
client,1,6,rsa_encrypt,793
client,1,6,psk_derive_premaster,1
server,1,6,parse_client_psk_identity,3
server,1,6,rsa_decrypt,15491
server,1,6,psk_derive_premaster,2
client,1,7,rsa_verify_with_sha256,434
client,1,7,rsa_encrypt,908
client,1,7,psk_derive_premaster,1
server,1,7,parse_client_psk_identity,2
server,1,7,rsa_decrypt,15601
server,1,7,psk_derive_premaster,1
client,1,8,rsa_verify_with_sha256,436
client,1,8,rsa_encrypt,850
client,1,8,psk_derive_premaster,1
server,1,8,parse_client_psk_identity,2
server,1,8,rsa_decrypt,15079
server,1,8,psk_derive_premaster,1
client,1,9,rsa_verify_with_sha256,543
client,1,9,rsa_encrypt,900
client,1,9,psk_derive_premaster,1
server,1,9,parse_client_psk_identity,2
server,1,9,rsa_decrypt,15359
server,1,9,psk_derive_premaster,1
client,1,10,rsa_verify_with_sha256,445
client,1,10,rsa_encrypt,850
client,1,10,psk_derive_premaster,1
server,1,10,parse_client_psk_identity,3
server,1,10,rsa_decrypt,15437
server,1,10,psk_derive_premaster,2
client,1,11,rsa_verify_with_sha256,444
client,1,11,rsa_encrypt,866
client,1,11,psk_derive_premaster,1
server,1,11,parse_client_psk_identity,2
server,1,11,rsa_decrypt,16301
server,1,11,psk_derive_premaster,1
client,1,12,rsa_verify_with_sha256,433
client,1,12,rsa_encrypt,881
client,1,12,psk_derive_premaster,1
server,1,12,parse_client_psk_identity,2
server,1,12,rsa_decrypt,15434
server,1,12,psk_derive_premaster,1
client,1,13,rsa_verify_with_sha256,443
client,1,13,rsa_encrypt,816
client,1,13,psk_derive_premaster,1
server,1,13,parse_client_psk_identity,2
server,1,13,rsa_decrypt,15433
server,1,13,psk_derive_premaster,1
client,1,14,rsa_verify_with_sha256,514
client,1,14,rsa_encrypt,912
client,1,14,psk_derive_premaster,1
server,1,14,parse_client_psk_identity,3
server,1,14,rsa_decrypt,15159
server,1,14,psk_derive_premaster,1
client,1,15,rsa_verify_with_sha256,476
client,1,15,rsa_encrypt,897
client,1,15,psk_derive_premaster,1
server,1,15,parse_client_psk_identity,2
server,1,15,rsa_decrypt,15264
server,1,15,psk_derive_premaster,2
client,1,16,rsa_verify_with_sha256,481
client,1,16,rsa_encrypt,863
client,1,16,psk_derive_premaster,1
server,1,16,parse_client_psk_identity,2
server,1,16,rsa_decrypt,15372
server,1,16,psk_derive_premaster,1
client,1,17,rsa_verify_with_sha256,435
client,1,17,rsa_encrypt,849
client,1,17,psk_derive_premaster,1
server,1,17,parse_client_psk_identity,2
server,1,17,rsa_decrypt,15496
server,1,17,psk_derive_premaster,1
client,1,18,rsa_verify_with_sha256,433
client,1,18,rsa_encrypt,923
client,1,18,psk_derive_premaster,1
server,1,18,parse_client_psk_identity,3
server,1,18,rsa_decrypt,15242
server,1,18,psk_derive_premaster,1
client,1,19,rsa_verify_with_sha256,522
client,1,19,rsa_encrypt,894
client,1,19,psk_derive_premaster,2
server,1,19,parse_client_psk_identity,2
server,1,19,rsa_decrypt,20435
server,1,19,psk_derive_premaster,2
client,1,20,rsa_verify_with_sha256,441
client,1,20,rsa_encrypt,1004
client,1,20,psk_derive_premaster,1
server,1,20,parse_client_psk_identity,2
server,1,20,rsa_decrypt,15152
server,1,20,psk_derive_premaster,2
client,1,21,rsa_verify_with_sha256,433
client,1,21,rsa_encrypt,883
client,1,21,psk_derive_premaster,1
server,1,21,parse_client_psk_identity,2
server,1,21,rsa_decrypt,15074
server,1,21,psk_derive_premaster,1
client,1,22,rsa_verify_with_sha256,434
client,1,22,rsa_encrypt,870
client,1,22,psk_derive_premaster,1
server,1,22,parse_client_psk_identity,2
server,1,22,rsa_decrypt,15160
server,1,22,psk_derive_premaster,2
client,1,23,rsa_verify_with_sha256,436
client,1,23,rsa_encrypt,844
client,1,23,psk_derive_premaster,2
server,1,23,parse_client_psk_identity,3
server,1,23,rsa_decrypt,15227
server,1,23,psk_derive_premaster,1
client,1,24,rsa_verify_with_sha256,433
client,1,24,rsa_encrypt,926
client,1,24,psk_derive_premaster,2
server,1,24,parse_client_psk_identity,3
server,1,24,rsa_decrypt,15817
server,1,24,psk_derive_premaster,1
client,1,25,rsa_verify_with_sha256,433
client,1,25,rsa_encrypt,853
client,1,25,psk_derive_premaster,1
server,1,25,parse_client_psk_identity,3
server,1,25,rsa_decrypt,15110
server,1,25,psk_derive_premaster,1
client,1,26,rsa_verify_with_sha256,480
client,1,26,rsa_encrypt,888
client,1,26,psk_derive_premaster,1
server,1,26,parse_client_psk_identity,2
server,1,26,rsa_decrypt,15128
server,1,26,psk_derive_premaster,1
client,1,27,rsa_verify_with_sha256,436
client,1,27,rsa_encrypt,889
client,1,27,psk_derive_premaster,1
server,1,27,parse_client_psk_identity,2
server,1,27,rsa_decrypt,15120
server,1,27,psk_derive_premaster,1
client,1,28,rsa_verify_with_sha256,449
client,1,28,rsa_encrypt,924
client,1,28,psk_derive_premaster,1
server,1,28,parse_client_psk_identity,2
server,1,28,rsa_decrypt,15503
server,1,28,psk_derive_premaster,1
client,1,29,rsa_verify_with_sha256,456
client,1,29,rsa_encrypt,893
client,1,29,psk_derive_premaster,1
server,1,29,parse_client_psk_identity,2
server,1,29,rsa_decrypt,15470
server,1,29,psk_derive_premaster,2
client,1,30,rsa_verify_with_sha256,481
client,1,30,rsa_encrypt,887
client,1,30,psk_derive_premaster,2
server,1,30,parse_client_psk_identity,2
server,1,30,rsa_decrypt,15165
server,1,30,psk_derive_premaster,2
client,1,31,rsa_verify_with_sha256,464
client,1,31,rsa_encrypt,818
client,1,31,psk_derive_premaster,1
server,1,31,parse_client_psk_identity,2
server,1,31,rsa_decrypt,15348
server,1,31,psk_derive_premaster,1
client,1,32,rsa_verify_with_sha256,423
client,1,32,rsa_encrypt,904
client,1,32,psk_derive_premaster,1
server,1,32,parse_client_psk_identity,3
server,1,32,rsa_decrypt,15214
server,1,32,psk_derive_premaster,1
client,1,33,rsa_verify_with_sha256,441
client,1,33,rsa_encrypt,900
client,1,33,psk_derive_premaster,2
server,1,33,parse_client_psk_identity,2
server,1,33,rsa_decrypt,15850
server,1,33,psk_derive_premaster,1
client,1,34,rsa_verify_with_sha256,432
client,1,34,rsa_encrypt,930
client,1,34,psk_derive_premaster,1
server,1,34,parse_client_psk_identity,2
server,1,34,rsa_decrypt,15129
server,1,34,psk_derive_premaster,2
client,1,35,rsa_verify_with_sha256,475
client,1,35,rsa_encrypt,924
client,1,35,psk_derive_premaster,2
server,1,35,parse_client_psk_identity,2
server,1,35,rsa_decrypt,15060
server,1,35,psk_derive_premaster,1
client,1,36,rsa_verify_with_sha256,447
client,1,36,rsa_encrypt,833
client,1,36,psk_derive_premaster,1
server,1,36,parse_client_psk_identity,3
server,1,36,rsa_decrypt,15233
server,1,36,psk_derive_premaster,1
client,1,37,rsa_verify_with_sha256,432
client,1,37,rsa_encrypt,927
client,1,37,psk_derive_premaster,1
server,1,37,parse_client_psk_identity,2
server,1,37,rsa_decrypt,15127
server,1,37,psk_derive_premaster,1
client,1,38,rsa_verify_with_sha256,423
client,1,38,rsa_encrypt,864
client,1,38,psk_derive_premaster,2
server,1,38,parse_client_psk_identity,2
server,1,38,rsa_decrypt,15168
server,1,38,psk_derive_premaster,2
client,1,39,rsa_verify_with_sha256,462
client,1,39,rsa_encrypt,842
client,1,39,psk_derive_premaster,2
server,1,39,parse_client_psk_identity,2
server,1,39,rsa_decrypt,15875
server,1,39,psk_derive_premaster,1
client,1,40,rsa_verify_with_sha256,433
client,1,40,rsa_encrypt,933
client,1,40,psk_derive_premaster,1
server,1,40,parse_client_psk_identity,3
server,1,40,rsa_decrypt,15296
server,1,40,psk_derive_premaster,1
client,1,41,rsa_verify_with_sha256,467
client,1,41,rsa_encrypt,879
client,1,41,psk_derive_premaster,2
server,1,41,parse_client_psk_identity,2
server,1,41,rsa_decrypt,15258
server,1,41,psk_derive_premaster,1
client,1,42,rsa_verify_with_sha256,467
client,1,42,rsa_encrypt,910
client,1,42,psk_derive_premaster,2
server,1,42,parse_client_psk_identity,2
server,1,42,rsa_decrypt,15179
server,1,42,psk_derive_premaster,1
client,1,43,rsa_verify_with_sha256,480
client,1,43,rsa_encrypt,903
client,1,43,psk_derive_premaster,1
server,1,43,parse_client_psk_identity,3
server,1,43,rsa_decrypt,15344
server,1,43,psk_derive_premaster,1
client,1,44,rsa_verify_with_sha256,453
client,1,44,rsa_encrypt,916
client,1,44,psk_derive_premaster,1
server,1,44,parse_client_psk_identity,3
server,1,44,rsa_decrypt,16007
server,1,44,psk_derive_premaster,2
client,1,45,rsa_verify_with_sha256,432
client,1,45,rsa_encrypt,870
client,1,45,psk_derive_premaster,1
server,1,45,parse_client_psk_identity,2
server,1,45,rsa_decrypt,15233
server,1,45,psk_derive_premaster,1
client,1,46,rsa_verify_with_sha256,571
client,1,46,rsa_encrypt,914
client,1,46,psk_derive_premaster,2
server,1,46,parse_client_psk_identity,3
server,1,46,rsa_decrypt,15129
server,1,46,psk_derive_premaster,1
client,1,47,rsa_verify_with_sha256,458
client,1,47,rsa_encrypt,943
client,1,47,psk_derive_premaster,1
server,1,47,parse_client_psk_identity,3
server,1,47,rsa_decrypt,15048
server,1,47,psk_derive_premaster,1
client,1,48,rsa_verify_with_sha256,477
client,1,48,rsa_encrypt,877
client,1,48,psk_derive_premaster,1
server,1,48,parse_client_psk_identity,5
server,1,48,rsa_decrypt,15433
server,1,48,psk_derive_premaster,1
client,1,49,rsa_verify_with_sha256,467
client,1,49,rsa_encrypt,905
client,1,49,psk_derive_premaster,2
server,1,49,parse_client_psk_identity,3
server,1,49,rsa_decrypt,15389
server,1,49,psk_derive_premaster,1
client,1,50,rsa_verify_with_sha256,459
client,1,50,rsa_encrypt,906
client,1,50,psk_derive_premaster,1
server,1,50,parse_client_psk_identity,3
server,1,50,rsa_decrypt,15785
server,1,50,psk_derive_premaster,2
client,1,51,rsa_verify_with_sha256,445
client,1,51,rsa_encrypt,920
client,1,51,psk_derive_premaster,2
server,1,51,parse_client_psk_identity,3
server,1,51,rsa_decrypt,15002
server,1,51,psk_derive_premaster,2
client,1,52,rsa_verify_with_sha256,460
client,1,52,rsa_encrypt,849
client,1,52,psk_derive_premaster,1
server,1,52,parse_client_psk_identity,3
server,1,52,rsa_decrypt,15221
server,1,52,psk_derive_premaster,1
client,1,53,rsa_verify_with_sha256,652
client,1,53,rsa_encrypt,862
client,1,53,psk_derive_premaster,1
server,1,53,parse_client_psk_identity,2
server,1,53,rsa_decrypt,15230
server,1,53,psk_derive_premaster,1
client,1,54,rsa_verify_with_sha256,440
client,1,54,rsa_encrypt,859
client,1,54,psk_derive_premaster,1
server,1,54,parse_client_psk_identity,2
server,1,54,rsa_decrypt,15161
server,1,54,psk_derive_premaster,1
client,1,55,rsa_verify_with_sha256,478
client,1,55,rsa_encrypt,911
client,1,55,psk_derive_premaster,1
server,1,55,parse_client_psk_identity,2
server,1,55,rsa_decrypt,15082
server,1,55,psk_derive_premaster,1
client,1,56,rsa_verify_with_sha256,456
client,1,56,rsa_encrypt,921
client,1,56,psk_derive_premaster,2
server,1,56,parse_client_psk_identity,2
server,1,56,rsa_decrypt,15565
server,1,56,psk_derive_premaster,1
client,1,57,rsa_verify_with_sha256,457
client,1,57,rsa_encrypt,898
client,1,57,psk_derive_premaster,1
server,1,57,parse_client_psk_identity,2
server,1,57,rsa_decrypt,16007
server,1,57,psk_derive_premaster,2
client,1,58,rsa_verify_with_sha256,458
client,1,58,rsa_encrypt,893
client,1,58,psk_derive_premaster,1
server,1,58,parse_client_psk_identity,3
server,1,58,rsa_decrypt,15016
server,1,58,psk_derive_premaster,1
client,1,59,rsa_verify_with_sha256,602
client,1,59,rsa_encrypt,891
client,1,59,psk_derive_premaster,1
server,1,59,parse_client_psk_identity,2
server,1,59,rsa_decrypt,15138
server,1,59,psk_derive_premaster,1
client,1,60,rsa_verify_with_sha256,478
client,1,60,rsa_encrypt,934
client,1,60,psk_derive_premaster,1
server,1,60,parse_client_psk_identity,3
server,1,60,rsa_decrypt,15281
server,1,60,psk_derive_premaster,2
client,1,61,rsa_verify_with_sha256,456
client,1,61,rsa_encrypt,890
client,1,61,psk_derive_premaster,1
server,1,61,parse_client_psk_identity,3
server,1,61,rsa_decrypt,15326
server,1,61,psk_derive_premaster,1
client,1,62,rsa_verify_with_sha256,481
client,1,62,rsa_encrypt,916
client,1,62,psk_derive_premaster,1
server,1,62,parse_client_psk_identity,3
server,1,62,rsa_decrypt,15259
server,1,62,psk_derive_premaster,2
client,1,63,rsa_verify_with_sha256,432
client,1,63,rsa_encrypt,803
client,1,63,psk_derive_premaster,2
server,1,63,parse_client_psk_identity,2
server,1,63,rsa_decrypt,15110
server,1,63,psk_derive_premaster,2
client,1,64,rsa_verify_with_sha256,437
client,1,64,rsa_encrypt,811
client,1,64,psk_derive_premaster,1
server,1,64,parse_client_psk_identity,2
server,1,64,rsa_decrypt,15813
server,1,64,psk_derive_premaster,1
client,1,65,rsa_verify_with_sha256,459
client,1,65,rsa_encrypt,930
client,1,65,psk_derive_premaster,2
server,1,65,parse_client_psk_identity,3
server,1,65,rsa_decrypt,15059
server,1,65,psk_derive_premaster,1
client,1,66,rsa_verify_with_sha256,476
client,1,66,rsa_encrypt,908
client,1,66,psk_derive_premaster,2
server,1,66,parse_client_psk_identity,2
server,1,66,rsa_decrypt,15170
server,1,66,psk_derive_premaster,2
client,1,67,rsa_verify_with_sha256,471
client,1,67,rsa_encrypt,927
client,1,67,psk_derive_premaster,1
server,1,67,parse_client_psk_identity,3
server,1,67,rsa_decrypt,15188
server,1,67,psk_derive_premaster,1
client,1,68,rsa_verify_with_sha256,455
client,1,68,rsa_encrypt,913
client,1,68,psk_derive_premaster,2
server,1,68,parse_client_psk_identity,2
server,1,68,rsa_decrypt,15150
server,1,68,psk_derive_premaster,2
client,1,69,rsa_verify_with_sha256,457
client,1,69,rsa_encrypt,903
client,1,69,psk_derive_premaster,1
server,1,69,parse_client_psk_identity,3
server,1,69,rsa_decrypt,15280
server,1,69,psk_derive_premaster,1
client,1,70,rsa_verify_with_sha256,529
client,1,70,rsa_encrypt,913
client,1,70,psk_derive_premaster,1
server,1,70,parse_client_psk_identity,3
server,1,70,rsa_decrypt,15149
server,1,70,psk_derive_premaster,1
client,1,71,rsa_verify_with_sha256,437
client,1,71,rsa_encrypt,873
client,1,71,psk_derive_premaster,1
server,1,71,parse_client_psk_identity,2
server,1,71,rsa_decrypt,15515
server,1,71,psk_derive_premaster,2
client,1,72,rsa_verify_with_sha256,432
client,1,72,rsa_encrypt,864
client,1,72,psk_derive_premaster,1
server,1,72,parse_client_psk_identity,2
server,1,72,rsa_decrypt,15148
server,1,72,psk_derive_premaster,1
client,1,73,rsa_verify_with_sha256,455
client,1,73,rsa_encrypt,814
client,1,73,psk_derive_premaster,1
server,1,73,parse_client_psk_identity,2
server,1,73,rsa_decrypt,15371
server,1,73,psk_derive_premaster,1
client,1,74,rsa_verify_with_sha256,431
client,1,74,rsa_encrypt,851
client,1,74,psk_derive_premaster,2
server,1,74,parse_client_psk_identity,2
server,1,74,rsa_decrypt,15535
server,1,74,psk_derive_premaster,1
client,1,75,rsa_verify_with_sha256,647
client,1,75,rsa_encrypt,1077
client,1,75,psk_derive_premaster,1
server,1,75,parse_client_psk_identity,2
server,1,75,rsa_decrypt,15136
server,1,75,psk_derive_premaster,1
client,1,76,rsa_verify_with_sha256,458
client,1,76,rsa_encrypt,913
client,1,76,psk_derive_premaster,2
server,1,76,parse_client_psk_identity,3
server,1,76,rsa_decrypt,15379
server,1,76,psk_derive_premaster,1
client,1,77,rsa_verify_with_sha256,438
client,1,77,rsa_encrypt,846
client,1,77,psk_derive_premaster,2
server,1,77,parse_client_psk_identity,2
server,1,77,rsa_decrypt,15500
server,1,77,psk_derive_premaster,2
client,1,78,rsa_verify_with_sha256,455
client,1,78,rsa_encrypt,845
client,1,78,psk_derive_premaster,1
server,1,78,parse_client_psk_identity,2
server,1,78,rsa_decrypt,15937
server,1,78,psk_derive_premaster,2
client,1,79,rsa_verify_with_sha256,433
client,1,79,rsa_encrypt,823
client,1,79,psk_derive_premaster,1
server,1,79,parse_client_psk_identity,3
server,1,79,rsa_decrypt,15094
server,1,79,psk_derive_premaster,1
client,1,80,rsa_verify_with_sha256,465
client,1,80,rsa_encrypt,854
client,1,80,psk_derive_premaster,1
server,1,80,parse_client_psk_identity,2
server,1,80,rsa_decrypt,15141
server,1,80,psk_derive_premaster,1
client,1,81,rsa_verify_with_sha256,469
client,1,81,rsa_encrypt,845
client,1,81,psk_derive_premaster,2
server,1,81,parse_client_psk_identity,3
server,1,81,rsa_decrypt,15304
server,1,81,psk_derive_premaster,2
client,1,82,rsa_verify_with_sha256,441
client,1,82,rsa_encrypt,850
client,1,82,psk_derive_premaster,2
server,1,82,parse_client_psk_identity,3
server,1,82,rsa_decrypt,15350
server,1,82,psk_derive_premaster,2
client,1,83,rsa_verify_with_sha256,446
client,1,83,rsa_encrypt,845
client,1,83,psk_derive_premaster,1
server,1,83,parse_client_psk_identity,3
server,1,83,rsa_decrypt,15187
server,1,83,psk_derive_premaster,1
client,1,84,rsa_verify_with_sha256,463
client,1,84,rsa_encrypt,919
client,1,84,psk_derive_premaster,1
server,1,84,parse_client_psk_identity,3
server,1,84,rsa_decrypt,15903
server,1,84,psk_derive_premaster,2
client,1,85,rsa_verify_with_sha256,439
client,1,85,rsa_encrypt,902
client,1,85,psk_derive_premaster,1
server,1,85,parse_client_psk_identity,2
server,1,85,rsa_decrypt,15409
server,1,85,psk_derive_premaster,2
client,1,86,rsa_verify_with_sha256,466
client,1,86,rsa_encrypt,797
client,1,86,psk_derive_premaster,1
server,1,86,parse_client_psk_identity,2
server,1,86,rsa_decrypt,15220
server,1,86,psk_derive_premaster,2
client,1,87,rsa_verify_with_sha256,451
client,1,87,rsa_encrypt,899
client,1,87,psk_derive_premaster,2
server,1,87,parse_client_psk_identity,3
server,1,87,rsa_decrypt,15204
server,1,87,psk_derive_premaster,2
client,1,88,rsa_verify_with_sha256,456
client,1,88,rsa_encrypt,885
client,1,88,psk_derive_premaster,1
server,1,88,parse_client_psk_identity,2
server,1,88,rsa_decrypt,15087
server,1,88,psk_derive_premaster,1
client,1,89,rsa_verify_with_sha256,426
client,1,89,rsa_encrypt,915
client,1,89,psk_derive_premaster,1
server,1,89,parse_client_psk_identity,2
server,1,89,rsa_decrypt,15159
server,1,89,psk_derive_premaster,1
client,1,90,rsa_verify_with_sha256,449
client,1,90,rsa_encrypt,896
client,1,90,psk_derive_premaster,1
server,1,90,parse_client_psk_identity,2
server,1,90,rsa_decrypt,15208
server,1,90,psk_derive_premaster,2
client,1,91,rsa_verify_with_sha256,448
client,1,91,rsa_encrypt,922
client,1,91,psk_derive_premaster,1
server,1,91,parse_client_psk_identity,2
server,1,91,rsa_decrypt,15718
server,1,91,psk_derive_premaster,1
client,1,92,rsa_verify_with_sha256,448
client,1,92,rsa_encrypt,908
client,1,92,psk_derive_premaster,1
server,1,92,parse_client_psk_identity,3
server,1,92,rsa_decrypt,15251
server,1,92,psk_derive_premaster,2
client,1,93,rsa_verify_with_sha256,473
client,1,93,rsa_encrypt,889
client,1,93,psk_derive_premaster,2
server,1,93,parse_client_psk_identity,2
server,1,93,rsa_decrypt,15168
server,1,93,psk_derive_premaster,1
client,1,94,rsa_verify_with_sha256,451
client,1,94,rsa_encrypt,894
client,1,94,psk_derive_premaster,1
server,1,94,parse_client_psk_identity,3
server,1,94,rsa_decrypt,15364
server,1,94,psk_derive_premaster,1
client,1,95,rsa_verify_with_sha256,456
client,1,95,rsa_encrypt,944
client,1,95,psk_derive_premaster,2
server,1,95,parse_client_psk_identity,2
server,1,95,rsa_decrypt,15134
server,1,95,psk_derive_premaster,2
client,1,96,rsa_verify_with_sha256,451
client,1,96,rsa_encrypt,897
client,1,96,psk_derive_premaster,1
server,1,96,parse_client_psk_identity,2
server,1,96,rsa_decrypt,15482
server,1,96,psk_derive_premaster,2
client,1,97,rsa_verify_with_sha256,435
client,1,97,rsa_encrypt,918
client,1,97,psk_derive_premaster,1
server,1,97,parse_client_psk_identity,3
server,1,97,rsa_decrypt,15238
server,1,97,psk_derive_premaster,1
client,1,98,rsa_verify_with_sha256,478
client,1,98,rsa_encrypt,907
client,1,98,psk_derive_premaster,2
server,1,98,parse_client_psk_identity,2
server,1,98,rsa_decrypt,15785
server,1,98,psk_derive_premaster,1
client,1,99,rsa_verify_with_sha256,440
client,1,99,rsa_encrypt,894
client,1,99,psk_derive_premaster,2
server,1,99,parse_client_psk_identity,3
server,1,99,rsa_decrypt,15402
server,1,99,psk_derive_premaster,2
client,1,100,rsa_verify_with_sha256,450
client,1,100,rsa_encrypt,916
client,1,100,psk_derive_premaster,2
server,1,100,parse_client_psk_identity,3
server,1,100,rsa_decrypt,15149
server,1,100,psk_derive_premaster,1
client,1,101,rsa_verify_with_sha256,454
client,1,101,rsa_encrypt,867
client,1,101,psk_derive_premaster,1
server,1,101,parse_client_psk_identity,2
server,1,101,rsa_decrypt,15173
server,1,101,psk_derive_premaster,1
client,1,102,rsa_verify_with_sha256,469
client,1,102,rsa_encrypt,875
client,1,102,psk_derive_premaster,1
server,1,102,parse_client_psk_identity,3
server,1,102,rsa_decrypt,15233
server,1,102,psk_derive_premaster,1
client,1,103,rsa_verify_with_sha256,478
client,1,103,rsa_encrypt,820
client,1,103,psk_derive_premaster,1
server,1,103,parse_client_psk_identity,3
server,1,103,rsa_decrypt,15102
server,1,103,psk_derive_premaster,1
client,1,104,rsa_verify_with_sha256,445
client,1,104,rsa_encrypt,876
client,1,104,psk_derive_premaster,1
server,1,104,parse_client_psk_identity,2
server,1,104,rsa_decrypt,15067
server,1,104,psk_derive_premaster,2
client,1,105,rsa_verify_with_sha256,447
client,1,105,rsa_encrypt,838
client,1,105,psk_derive_premaster,1
server,1,105,parse_client_psk_identity,3
server,1,105,rsa_decrypt,15245
server,1,105,psk_derive_premaster,2
client,1,106,rsa_verify_with_sha256,459
client,1,106,rsa_encrypt,979
client,1,106,psk_derive_premaster,2
server,1,106,parse_client_psk_identity,3
server,1,106,rsa_decrypt,15520
server,1,106,psk_derive_premaster,2
client,1,107,rsa_verify_with_sha256,438
client,1,107,rsa_encrypt,856
client,1,107,psk_derive_premaster,1
server,1,107,parse_client_psk_identity,3
server,1,107,rsa_decrypt,15522
server,1,107,psk_derive_premaster,2
client,1,108,rsa_verify_with_sha256,474
client,1,108,rsa_encrypt,917
client,1,108,psk_derive_premaster,1
server,1,108,parse_client_psk_identity,2
server,1,108,rsa_decrypt,15100
server,1,108,psk_derive_premaster,1
client,1,109,rsa_verify_with_sha256,463
client,1,109,rsa_encrypt,899
client,1,109,psk_derive_premaster,1
server,1,109,parse_client_psk_identity,2
server,1,109,rsa_decrypt,15074
server,1,109,psk_derive_premaster,1
client,1,110,rsa_verify_with_sha256,538
client,1,110,rsa_encrypt,863
client,1,110,psk_derive_premaster,1
server,1,110,parse_client_psk_identity,2
server,1,110,rsa_decrypt,15353
server,1,110,psk_derive_premaster,2
client,1,111,rsa_verify_with_sha256,481
client,1,111,rsa_encrypt,827
client,1,111,psk_derive_premaster,1
server,1,111,parse_client_psk_identity,3
server,1,111,rsa_decrypt,15085
server,1,111,psk_derive_premaster,1
client,1,112,rsa_verify_with_sha256,445
client,1,112,rsa_encrypt,856
client,1,112,psk_derive_premaster,1
server,1,112,parse_client_psk_identity,2
server,1,112,rsa_decrypt,15171
server,1,112,psk_derive_premaster,1
client,1,113,rsa_verify_with_sha256,424
client,1,113,rsa_encrypt,841
client,1,113,psk_derive_premaster,1
server,1,113,parse_client_psk_identity,2
server,1,113,rsa_decrypt,15199
server,1,113,psk_derive_premaster,1
client,1,114,rsa_verify_with_sha256,436
client,1,114,rsa_encrypt,883
client,1,114,psk_derive_premaster,1
server,1,114,parse_client_psk_identity,3
server,1,114,rsa_decrypt,15207
server,1,114,psk_derive_premaster,2
client,1,115,rsa_verify_with_sha256,458
client,1,115,rsa_encrypt,882
client,1,115,psk_derive_premaster,2
server,1,115,parse_client_psk_identity,2
