endpoint,min_input,max_input,cycles,time
server,32,8192,235218809,90715
client,32,8192,13846620,5341
server,32,8192,35531879,13704
client,32,8192,19914240,7681
server,32,8192,41415396,15972
client,32,8192,20863278,8046
server,32,8192,34930303,13472
client,32,8192,18781099,7243
server,32,8192,37253631,14367
client,32,8192,19743102,7614
server,32,8192,49497777,19089
client,32,8192,18545136,7152
server,32,8192,70275486,27102
client,32,8192,19431942,7494
server,32,8192,50114911,19327
client,32,8192,17577947,6779
server,32,8192,29619839,11424
client,32,8192,20165761,7777
server,32,8192,40181128,15498
client,32,8192,21078497,8129
server,32,8192,39029836,15053
client,32,8192,18202860,7019
server,32,8192,70145836,27051
client,32,8192,23028433,8881
server,32,8192,85558628,32996
client,32,8192,18503648,7136
server,32,8192,49209954,18979
client,32,8192,18345475,7075
server,32,8192,102205688,39416
client,32,8192,19937577,7689
server,32,8192,61760074,23819
client,32,8192,18353254,7078
server,32,8192,55313876,21334
client,32,8192,20313562,7834
server,32,8192,27029432,10426
client,32,8192,25675886,9902
server,32,8192,65535482,25275
client,32,8192,20463956,7893
server,32,8192,43896897,16930
client,32,8192,20966998,8086
server,32,8192,24218620,9341
client,32,8192,14666008,5656
server,32,8192,70537379,27204
client,32,8192,9638181,3717
server,32,8192,128563533,49582
client,32,8192,18231383,7032
server,32,8192,16343679,6303
client,32,8192,16512224,6368
server,32,8192,135945804,52428
client,32,8192,16608165,6405
server,32,8192,156599049,60393
client,32,8192,16452585,6345
server,32,8192,16610758,6407
client,32,8192,16460364,6348
server,32,8192,14707496,5673
client,32,8192,13574355,5236
client,32,8192,6160968,2376
server,32,8192,161813572,62404
client,32,8192,14756763,5691
server,32,8192,47962721,18498
client,32,8192,15594302,6015
server,32,8192,177633465,68505
client,32,8192,6005388,2317
server,32,8192,3521294,1357
client,32,8192,16437027,6339
server,32,8192,138362480,53360
server,32,8192,184294882,71076
client,32,8192,19221909,7413
server,32,8192,17679074,6818
client,32,8192,16019554,6178
server,32,8192,172146677,66389
client,32,8192,20077599,7744
server,32,8192,161932850,62451
client,32,8192,19509732,7526
server,32,8192,167085141,64438
client,32,8192,15664313,6041
server,32,8192,57663134,22239
client,32,8192,18381777,7089
server,32,8192,181873020,70141
client,32,8192,17762050,6838
server,32,8192,168716138,65067
client,32,8192,17271973,6662
server,32,8192,172084445,66367
client,32,8192,19639382,7575
server,32,8192,192364298,74189
client,32,8192,20624722,7956
server,32,8192,189556079,73102
client,32,8192,17917630,6909
server,32,8192,186198144,71812
client,32,8192,21387064,8251
server,32,8192,179977537,69409
client,32,8192,22157185,8544
server,32,8192,176357709,68014
client,32,8192,20845127,8039
server,32,8192,165879396,63973
client,32,8192,19079294,7358
server,32,8192,174506307,67299
client,32,8192,16400725,6325
server,32,8192,16538154,6379
client,32,8192,18241755,7035
server,32,8192,152732886,58902
client,32,8192,18799250,7251
server,32,8192,167137001,64458
client,32,8192,16561491,6388
server,32,8192,52814224,20369
client,32,8192,18988539,7323
server,32,8192,172763811,66629
client,32,8192,22159778,8546
server,32,8192,75069943,28952
client,32,8192,15570965,6005
server,32,8192,145882180,56261
client,32,8192,17251229,6654
server,32,8192,71133769,27433
client,32,8192,15809521,6097
server,32,8192,73459690,28331
client,32,8192,16984150,6551
server,32,8192,171996283,66332
client,32,8192,16294412,6284
server,32,8192,3295703,1272
client,32,8192,10895786,4203
server,32,8192,170017824,65569
client,32,8192,16994522,6384
server,32,8192,95087903,36672
client,32,8192,18402521,7098
server,32,8192,166403182,64175
client,32,8192,18083582,6974
server,32,8192,169885581,65518
client,32,8192,18423265,7106
