sec_lvl,test_id,time
1,0,10
1,0,2
1,0,6745
1,0,4
1,0,5
1,0,1
1,0,21675
1,1,2
1,1,1
1,1,15
1,1,1
1,1,1
1,1,1
1,1,15335
1,2,1
1,2,1
1,2,15
1,2,1
1,2,1
1,2,1
1,2,15482
1,3,1
1,3,1
1,3,15
1,3,2
1,3,2
1,3,1
1,3,15580
1,4,1
1,4,1
1,4,17
1,4,2
1,4,1
1,4,1
1,4,15147
1,5,1
1,5,1
1,5,15
1,5,2
1,5,1
1,5,1
1,5,15417
1,6,1
1,6,1
1,6,15
1,6,2
1,6,1
1,6,2
1,6,15331
1,7,1
1,7,0
1,7,15
1,7,1
1,7,2
1,7,2
1,7,15243
1,8,1
1,8,1
1,8,14
1,8,1
1,8,2
1,8,2
1,8,15504
1,9,2
1,9,1
1,9,15
1,9,2
1,9,1
1,9,1
1,9,15060
1,10,5
1,10,0
1,10,24
1,10,1
1,10,1
1,10,1
1,10,15722
1,11,1
1,11,1
1,11,16
1,11,2
1,11,1
1,11,1
1,11,15270
1,12,2
1,12,1
1,12,15
1,12,17
1,12,1
1,12,1
1,12,15022
1,13,1
1,13,1
1,13,14
1,13,2
1,13,2
1,13,1
1,13,15102
1,14,1
1,14,1
1,14,15
1,14,2
1,14,2
1,14,1
1,14,15138
1,15,2
1,15,1
1,15,15
1,15,2
1,15,1
1,15,1
1,15,15537
1,16,1
1,16,0
1,16,15
1,16,1
1,16,2
1,16,1
1,16,15589
1,17,1
1,17,1
1,17,15
1,17,2
1,17,1
1,17,1
1,17,15617
1,18,0
1,18,1
1,18,15
1,18,2
1,18,2
1,18,1
1,18,15281
1,19,1
1,19,1
1,19,15
1,19,2
1,19,2
1,19,2
1,19,15177
1,20,1
1,20,1
1,20,16
1,20,2
1,20,2
1,20,1
1,20,15380
1,21,1
1,21,1
1,21,16
1,21,1
1,21,1
1,21,2
1,21,15725
1,22,1
1,22,1
1,22,15
1,22,1
1,22,2
1,22,1
1,22,15509
1,23,1
1,23,1
1,23,15
1,23,2
1,23,2
1,23,1
1,23,15588
1,24,1
1,24,1
1,24,24
1,24,4
1,24,2
1,24,2
1,24,17846
1,25,1
1,25,1
1,25,20
1,25,2
1,25,2
1,25,1
1,25,15733
1,26,1
1,26,1
1,26,14
1,26,1
1,26,2
1,26,1
1,26,15127
1,27,1
1,27,1
1,27,15
1,27,3
1,27,1
1,27,2
1,27,15047
1,28,1
1,28,1
1,28,23
1,28,2
1,28,2
1,28,2
1,28,16103
1,29,1
1,29,1
1,29,16
1,29,2
1,29,2
1,29,2
1,29,17965
2,0,2
2,0,1
2,0,13
2,0,2
2,0,1
2,0,2
2,0,65351
2,1,1
2,1,1
2,1,15
2,1,2
2,1,2
2,1,2
2,1,46353
2,2,1
2,2,1
2,2,16
2,2,2
2,2,2
2,2,1
2,2,45598
2,3,1
2,3,1
2,3,15
2,3,1
2,3,2
2,3,2
2,3,45204
2,4,1
2,4,1
2,4,15
2,4,2
2,4,1
2,4,1
2,4,46041
2,5,2
2,5,1
2,5,15
2,5,1
2,5,1
2,5,1
2,5,47838
2,6,2
2,6,1
2,6,16
2,6,3
2,6,2
2,6,1
2,6,46472
2,7,2
2,7,1
2,7,14
2,7,2
2,7,1
2,7,1
2,7,44970
2,8,1
2,8,1
2,8,15
2,8,1
2,8,2
2,8,1
2,8,46584
2,9,2
2,9,1
2,9,15
2,9,2
2,9,1
2,9,1
2,9,45118
2,10,1
2,10,1
2,10,15
2,10,2
2,10,1
2,10,1
2,10,45394
2,11,1
2,11,2
2,11,22
2,11,2
2,11,1
2,11,1
2,11,45756
2,12,1
2,12,1
2,12,14
2,12,2
2,12,1
2,12,1
2,12,44451
2,13,1
2,13,1
2,13,15
2,13,1
2,13,2
2,13,1
2,13,45259
2,14,1
2,14,1
2,14,15
2,14,1
2,14,1
2,14,2
2,14,46144
2,15,1
2,15,1
2,15,16
2,15,2
2,15,2
2,15,1
2,15,45353
2,16,2
2,16,1
2,16,19
2,16,1
2,16,2
2,16,3
2,16,46947
2,17,2
2,17,0
2,17,15
2,17,1
2,17,2
2,17,1
2,17,46153
2,18,1
2,18,1
2,18,15
2,18,1
2,18,2
2,18,2
2,18,45263
2,19,0
2,19,1
2,19,14
2,19,2
2,19,1
2,19,2
2,19,45488
2,20,1
2,20,1
2,20,15
2,20,2
2,20,2
2,20,1
2,20,44816
2,21,1
2,21,1
2,21,28
2,21,2
2,21,1
2,21,1
2,21,46051
2,22,2
2,22,1
2,22,15
2,22,2
2,22,1
2,22,1
2,22,45510
2,23,1
2,23,1
2,23,15
2,23,2
2,23,1
2,23,2
2,23,44978
2,24,1
2,24,1
2,24,15
2,24,1
2,24,2
2,24,1
2,24,45201
2,25,1
2,25,1
2,25,15
2,25,2
2,25,2
2,25,2
2,25,44415
2,26,2
2,26,1
2,26,23
2,26,3
2,26,2
2,26,2
2,26,48766
2,27,1
2,27,1
2,27,14
2,27,2
2,27,2
2,27,2
2,27,45987
2,28,0
2,28,1
2,28,15
2,28,2
2,28,2
2,28,2
2,28,44964
2,29,1
2,29,1
2,29,14
2,29,1
2,29,2
2,29,1
2,29,45012
3,0,1
3,0,0
3,0,14
3,0,2
3,0,2
3,0,1
3,0,669738
3,1,1
3,1,1
3,1,15
3,1,1
3,1,2
3,1,1
3,1,593614
3,2,1
3,2,1
3,2,15
3,2,2
3,2,1
3,2,2
3,2,593023
3,3,1
3,3,1
3,3,15
3,3,2
3,3,1
3,3,1
3,3,592812
3,4,1
3,4,1
3,4,15
3,4,2
3,4,2
3,4,2
3,4,598148
3,5,1
3,5,0
3,5,15
3,5,2
3,5,1
3,5,1
3,5,595452
3,6,1
3,6,0
3,6,15
3,6,2
3,6,1
3,6,1
3,6,601153
3,7,1
3,7,1
3,7,15
3,7,2
3,7,1
3,7,2
3,7,592222
3,8,2
3,8,1
3,8,15
3,8,2
3,8,2
3,8,2
3,8,600296
3,9,1
3,9,1
3,9,14
3,9,2
3,9,2
3,9,1
3,9,599873
3,10,1
3,10,1
3,10,16
3,10,2
3,10,1
3,10,1
3,10,594389
3,11,1
3,11,0
3,11,16
3,11,2
3,11,1
3,11,1
3,11,594739
3,12,1
3,12,1
3,12,15
3,12,2
3,12,2
3,12,2
3,12,596243
3,13,1
3,13,1
3,13,16
3,13,2
3,13,2
3,13,2
3,13,606167
3,14,1
3,14,1
3,14,16
3,14,1
3,14,2
3,14,1
3,14,595786
3,15,1
3,15,1
3,15,15
3,15,1
3,15,2
3,15,2
3,15,593641
3,16,1
3,16,1
3,16,15
3,16,2
3,16,2
3,16,1
3,16,594470
3,17,1
3,17,1
3,17,16
3,17,1
3,17,1
3,17,2
3,17,593078
3,18,1
3,18,0
3,18,15
3,18,3
3,18,2
3,18,1
3,18,592863
3,19,1
3,19,1
3,19,15
3,19,2
3,19,1
3,19,2
3,19,592079
3,20,1
3,20,1
3,20,14
3,20,2
3,20,2
3,20,2
3,20,595946
3,21,1
3,21,1
3,21,16
3,21,3
3,21,3
3,21,1
3,21,590315
3,22,1
3,22,0
3,22,15
3,22,3
3,22,2
3,22,1
3,22,594096
3,23,1
3,23,1
3,23,15
3,23,2
3,23,2
3,23,1
3,23,594455
3,24,1
3,24,1
3,24,15
3,24,2
3,24,2
3,24,1
3,24,595950
3,25,1
3,25,1
3,25,15
3,25,2
3,25,1
3,25,1
3,25,593094
3,26,1
3,26,1
3,26,16
3,26,2
3,26,2
3,26,1
3,26,594263
3,27,1
3,27,1
3,27,16
3,27,1
3,27,1
3,27,1
3,27,590795
3,28,1
3,28,2
3,28,15
3,28,2
3,28,2
3,28,1
3,28,592395
3,29,1
3,29,1
3,29,15
3,29,2
3,29,2
3,29,2
3,29,594383
