endpoint,operation,msglen,time
client,hash,8192,107
server,verify,8192,92
server,hash,8192,70
client,verify,8192,106
client,hash,8192,70
server,verify,8192,71
server,hash,8192,71
client,verify,8192,71
client,hash,8192,69
server,verify,8192,71
server,hash,8192,70
client,verify,8192,107
client,hash,8192,70
server,verify,8192,82
server,hash,8192,75
client,verify,8192,100
client,hash,8192,70
server,verify,8192,100
server,hash,8192,70
client,verify,8192,73
client,hash,16384,133
server,verify,16384,134
server,hash,16384,134
client,verify,16384,154
client,hash,16384,132
server,verify,16384,137
server,hash,16384,146
client,verify,16384,134
client,hash,16384,133
server,verify,16384,134
server,hash,16384,132
client,verify,16384,133
client,hash,16384,155
server,verify,16384,134
server,hash,16384,132
client,verify,16384,133
client,hash,16384,132
server,verify,16384,149
server,hash,16384,133
client,verify,16384,133
