endpoint,operation,msglen,time
client,digest,8192,89
server,verify,8192,91
server,digest,8192,90
client,verify,8192,92
client,digest,8192,89
server,verify,8192,91
server,digest,8192,89
client,verify,8192,92
client,digest,8192,89
server,verify,8192,93
server,digest,8192,90
client,verify,8192,91
client,digest,8192,89
server,verify,8192,93
server,digest,8192,90
client,verify,8192,91
client,digest,8192,89
server,verify,8192,93
server,digest,8192,99
client,verify,8192,92
client,digest,16384,184
server,verify,16384,177
server,digest,16384,172
client,verify,16384,181
client,digest,16384,188
server,verify,16384,178
server,digest,16384,171
client,verify,16384,176
client,digest,16384,171
server,verify,16384,183
server,digest,16384,193
client,verify,16384,280
client,digest,16384,172
server,verify,16384,178
server,digest,16384,176
client,verify,16384,177
client,digest,16384,191
server,verify,16384,182
server,digest,16384,203
client,verify,16384,177
