endpoint,operation,msglen,time
client,encrypt,8192,618
server,decrypt,8192,368
server,encrypt,8192,379
client,decrypt,8192,349
client,encrypt,8192,397
server,decrypt,8192,612
server,encrypt,8192,631
client,decrypt,8192,351
client,encrypt,8192,356
server,decrypt,8192,350
server,encrypt,8192,353
client,decrypt,8192,452
client,encrypt,8192,352
server,decrypt,8192,359
server,encrypt,8192,468
client,decrypt,8192,452
client,encrypt,8192,413
server,decrypt,8192,407
server,encrypt,8192,353
client,decrypt,8192,349
client,encrypt,16384,778
server,decrypt,16384,745
server,encrypt,16384,831
client,decrypt,16384,819
client,encrypt,16384,738
server,decrypt,16384,890
server,encrypt,16384,733
client,decrypt,16384,761
client,encrypt,16384,813
server,decrypt,16384,721
server,encrypt,16384,786
client,decrypt,16384,699
client,encrypt,16384,706
server,decrypt,16384,798
server,encrypt,16384,891
client,decrypt,16384,695
client,encrypt,16384,767
server,decrypt,16384,747
server,encrypt,16384,804
client,decrypt,16384,842
