endpoint,keylen,time
client,2048,1412
server,2048,23068
client,2048,1442
server,2048,16703
server,2048,17550
client,2048,1518
client,2048,1420
server,2048,16616
client,2048,1569
server,2048,16573
client,2048,1382
server,2048,17541
client,2048,1393
server,2048,16736
client,2048,2025
server,2048,17020
client,2048,1482
server,2048,17254
client,2048,1479
server,2048,16687
client,2048,1503
server,2048,16709
client,2048,1528
server,2048,16744
server,2048,16530
client,2048,1511
client,2048,1459
server,2048,16532
client,2048,1559
server,2048,16517
client,2048,1575
server,2048,16864
client,2048,1511
server,2048,16620
client,2048,1406
server,2048,16649
client,2048,1520
server,2048,16592
server,2048,16591
client,2048,1532
client,2048,1413
server,2048,16672
client,2048,1494
server,2048,16575
client,2048,1564
server,2048,16633
client,2048,1537
server,2048,16607
client,2048,1436
server,2048,17102
client,2048,1358
server,2048,16510
client,2048,1532
server,2048,16476
client,2048,1512
server,2048,16457
client,2048,1554
server,2048,16570
client,2048,1386
server,2048,16382
server,2048,16451
client,2048,1448
server,2048,16402
client,2048,1411
client,2048,1401
server,2048,16445
client,2048,1580
server,2048,16527
client,2048,1582
server,2048,16510
client,2048,1603
server,2048,16688
client,2048,1456
server,2048,16840
client,2048,1498
server,2048,16849
client,2048,1471
server,2048,16403
client,2048,1483
server,2048,16748
client,2048,1447
server,2048,16467
client,2048,1402
server,2048,16471
client,2048,1562
server,2048,16752
client,2048,1504
server,2048,16733
client,2048,1500
server,2048,16487
client,2048,1504
server,2048,16469
client,2048,1509
server,2048,16872
client,2048,1500
server,2048,16552
server,2048,16911
client,2048,1492
client,2048,1516
server,2048,16566
client,2048,1516
server,2048,16344
client,2048,1460
server,2048,16363
client,2048,1424
server,2048,16502
client,2048,1483
server,2048,16467
client,2048,1575
server,2048,16743
server,2048,16811
client,2048,1577
client,2048,1467
server,2048,16365
client,2048,1441
server,2048,16856
client,2048,1735
server,2048,19404
client,2048,1513
server,2048,18772
client,2048,1986
server,2048,17514
client,2048,1406
server,2048,16832
client,2048,1581
server,2048,16833
client,2048,1434
server,2048,16397
client,2048,1463
server,2048,16349
client,2048,1640
server,2048,16654
server,2048,16505
client,2048,1495
client,2048,1488
server,2048,16519
client,2048,1366
server,2048,16202
client,2048,1594
server,2048,16467
client,2048,1505
server,2048,16578
client,2048,1577
server,2048,16575
client,2048,1560
server,2048,16672
client,2048,1817
server,2048,17096
client,2048,1521
server,2048,16631
client,2048,1451
server,2048,17083
client,2048,1618
server,2048,16687
client,2048,1496
server,2048,16490
client,2048,1596
server,2048,16738
client,2048,1381
server,2048,16539
client,2048,1487
server,2048,16625
client,2048,1470
server,2048,16675
client,2048,1615
server,2048,16616
client,2048,1539
server,2048,16484
client,2048,1516
server,2048,16590
client,2048,1380
server,2048,16523
client,2048,1451
server,2048,16709
client,2048,1424
server,2048,16305
client,2048,1613
server,2048,16548
client,2048,1557
server,2048,16525
client,2048,1605
server,2048,16626
client,2048,1572
server,2048,16517
client,2048,1433
server,2048,16762
client,2048,1414
server,2048,16655
client,2048,1511
server,2048,16787
client,2048,1560
server,2048,16562
client,2048,1442
server,2048,16752
server,2048,16702
client,2048,1576
client,2048,1535
server,2048,16879
client,2048,1498
server,2048,16791
client,2048,1558
server,2048,16601
client,2048,1543
server,2048,16573
client,2048,1531
server,2048,16602
client,2048,1386
server,2048,16620
client,2048,1555
server,2048,16679
client,2048,1378
server,2048,16630
client,2048,1548
server,2048,16505
client,2048,1519
server,2048,16382
client,2048,1515
server,2048,16736
client,2048,1539
server,2048,16534
server,2048,16614
client,2048,1584
client,2048,1620
server,2048,18652
client,2048,1450
server,2048,17951
client,2048,1548
server,2048,17113
client,2048,1499
server,2048,17238
client,2048,2047
server,2048,17546
client,2048,1456
server,2048,17004
client,2048,1485
server,2048,16630
client,2048,1486
server,2048,16603
client,2048,1576
server,2048,16744
client,2048,1540
server,2048,16637
client,2048,1484
server,2048,16598
client,2048,1514
server,2048,16498
client,2048,1531
server,2048,16533
client,2048,1462
server,2048,16528
client,2048,1474
server,2048,16596
client,2048,1460
server,2048,16741
client,2048,1462
server,2048,16429
client,2048,1527
server,2048,16509
client,2048,1439
server,2048,16390
client,2048,1434
server,2048,17176
client,2048,1515
server,2048,16598
client,2048,1532
server,2048,16615
client,2048,1544
server,2048,16640
client,2048,1529
server,2048,16400
client,2048,1541
server,2048,16690
client,2048,1550
server,2048,17032
client,2048,1535
server,2048,16710
client,2048,1575
server,2048,16902
client,2048,1531
server,2048,16706
client,2048,1575
server,2048,16466
client,2048,1558
server,2048,16497
client,2048,1618
server,2048,16874
client,2048,1422
server,2048,16514
client,2048,1562
server,2048,16863
client,2048,1535
server,2048,16665
client,2048,1442
server,2048,16434
client,2048,1506
server,2048,16640
client,2048,1457
server,2048,16523
client,2048,1593
server,2048,16776
client,2048,1554
server,2048,16986
client,2048,1565
server,2048,16860
client,2048,1540
server,2048,16740
client,2048,1527
server,2048,16538
client,2048,1602
server,2048,16791
client,2048,1533
server,2048,16492
client,2048,1544
server,2048,16776
client,2048,1613
server,2048,16650
client,2048,1376
server,2048,16526
client,2048,1399
server,2048,16555
client,2048,1559
server,2048,16640
client,2048,1496
server,2048,16492
client,2048,1535
server,2048,16682
client,2048,1518
server,2048,16395
client,2048,1559
server,2048,16701
server,2048,16694
client,2048,1544
client,2048,1514
server,2048,17122
client,2048,1939
server,2048,17780
client,2048,1555
server,2048,18138
client,2048,1716
server,2048,17226
client,2048,1674
server,2048,17151
client,2048,1433
server,2048,16388
client,2048,1400
server,2048,16408
server,2048,16506
client,2048,1598
client,2048,1614
server,2048,16796
client,2048,1550
server,2048,16870
client,2048,1595
server,2048,16608
client,2048,1600
server,2048,16616
client,2048,1544
server,2048,16527
client,2048,1520
server,2048,16513
client,2048,1468
server,2048,16402
client,2048,1570
server,2048,16501
server,2048,16764
client,2048,1417
client,2048,1519
server,2048,16578
client,2048,1441
server,2048,16545
client,2048,1499
server,2048,19548
client,2048,1490
server,2048,16942
client,2048,1449
server,2048,16242
client,2048,1525
server,2048,16420
client,2048,1444
server,2048,16311
client,2048,1592
server,2048,16629
client,2048,1507
server,2048,16462
client,2048,1546
server,2048,16483
client,2048,1518
server,2048,16437
client,2048,1484
server,2048,16469
client,2048,1648
server,2048,16585
server,2048,16463
client,2048,1483
client,2048,1398
server,2048,16255
client,2048,1513
server,2048,16861
client,2048,1442
server,2048,16362
client,2048,1450
server,2048,16526
client,2048,1522
server,2048,16615
client,2048,1528
server,2048,16572
client,2048,2196
server,2048,17343
client,2048,1515
server,2048,16828
client,2048,1600
server,2048,16645
client,2048,1503
server,2048,16610
client,2048,1432
server,2048,16393
client,2048,1514
server,2048,16451
client,2048,1420
server,2048,16480
server,2048,16469
client,2048,1468
client,2048,1694
server,2048,17091
client,2048,1619
server,2048,17496
client,2048,1547
server,2048,16516
server,2048,16518
client,2048,1552
client,2048,1518
server,2048,16461
server,2048,16745
client,2048,1545
client,2048,1446
server,2048,16416
client,2048,1509
server,2048,16507
client,2048,1512
server,2048,16466
client,2048,2280
server,2048,17374
client,2048,1457
server,2048,16501
client,2048,1444
server,2048,16595
client,2048,1510
server,2048,16426
client,2048,1525
server,2048,16810
client,2048,1388
server,2048,16842
client,2048,1433
server,2048,17730
client,2048,1412
server,2048,16880
client,2048,1424
server,2048,17089
client,2048,1523
server,2048,16616
client,2048,1567
server,2048,16909
client,2048,1634
server,2048,16612
client,2048,1506
server,2048,16774
client,2048,1474
server,2048,16540
client,2048,1413
server,2048,16851
client,2048,1604
server,2048,16583
server,2048,16622
client,2048,1503
client,2048,1539
server,2048,16348
server,2048,16913
client,2048,1483
client,2048,1455
server,2048,16448
client,2048,1621
server,2048,16669
client,2048,1451
server,2048,16462
server,2048,16668
client,2048,1488
client,2048,1419
server,2048,16412
client,2048,1559
server,2048,17056
client,2048,1531
server,2048,16402
client,2048,1537
server,2048,16559
client,2048,1535
server,2048,16667
client,2048,1538
server,2048,16960
server,2048,16870
client,2048,1545
client,2048,1587
server,2048,16802
client,2048,1502
server,2048,16702
client,2048,1578
server,2048,17322
client,2048,1502
server,2048,16587
server,2048,17160
client,2048,1565
client,2048,1441
server,2048,16355
client,2048,1505
server,2048,16767
client,2048,1478
server,2048,16759
client,2048,1443
server,2048,16798
server,2048,16389
client,2048,1429
server,2048,16818
client,2048,1608
client,2048,1590
server,2048,16597
client,2048,1529
server,2048,16745
client,2048,1558
server,2048,16489
client,2048,1413
server,2048,16438
client,2048,1459
server,2048,16440
client,2048,1377
server,2048,16387
client,2048,1535
server,2048,16446
server,2048,16707
client,2048,1454
client,2048,1482
server,2048,16386
client,2048,1591
server,2048,16705
client,2048,1567
server,2048,16527
client,2048,1579
server,2048,16792
client,2048,1431
server,2048,16423
client,2048,1431
server,2048,16570
client,2048,1471
server,2048,16702
client,2048,1518
server,2048,16576
client,2048,1499
server,2048,16772
client,2048,1486
server,2048,16434
server,2048,16419
client,2048,1452
client,2048,1432
server,2048,16607
client,2048,1456
server,2048,16300
client,2048,1543
server,2048,16520
client,2048,1504
server,2048,16447
client,2048,1465
server,2048,16472
server,2048,16401
client,2048,1758
server,2048,16677
client,2048,1426
client,2048,1494
server,2048,16428
client,2048,1515
server,2048,16757
client,2048,1360
server,2048,16488
client,2048,1604
server,2048,16953
client,2048,1518
server,2048,16462
client,2048,1580
server,2048,16903
client,2048,1486
server,2048,16710
client,2048,1438
server,2048,16734
client,2048,1416
server,2048,16528
server,2048,16886
client,2048,1450
client,2048,1360
server,2048,16455
client,2048,1560
server,2048,16912
client,2048,1529
server,2048,16524
client,2048,1561
server,2048,16767
client,2048,1640
server,2048,16615
server,2048,17025
client,2048,1604
client,2048,1475
server,2048,16490
client,2048,1407
server,2048,16867
client,2048,1511
server,2048,16585
client,2048,1510
server,2048,16715
client,2048,1544
server,2048,16645
client,2048,1494
server,2048,16743
client,2048,1462
server,2048,16479
client,2048,1509
server,2048,16668
client,2048,1409
server,2048,16801
server,2048,17140
client,2048,1493
client,2048,1517
server,2048,16511
client,2048,1515
server,2048,17242
client,2048,1552
server,2048,16561
client,2048,1450
server,2048,16653
client,2048,1562
server,2048,16531
client,2048,1516
server,2048,16780
client,2048,1475
server,2048,16383
server,2048,20691
client,2048,2127
client,2048,1414
server,2048,16381
client,2048,1514
server,2048,16627
client,2048,1488
server,2048,16394
client,2048,1522
server,2048,16589
client,2048,1501
server,2048,16426
client,2048,1513
server,2048,16575
client,2048,1513
server,2048,16457
client,2048,1477
server,2048,16619
client,2048,1470
server,2048,16802
client,2048,1532
server,2048,16955
client,2048,1500
server,2048,16574
client,2048,1550
server,2048,16772
client,2048,1543
server,2048,16444
client,2048,1542
server,2048,16691
client,2048,1561
server,2048,16491
client,2048,1550
server,2048,16908
client,2048,1589
server,2048,16534
server,2048,17002
client,2048,1525
client,2048,1389
server,2048,16430
client,2048,1580
server,2048,16848
client,2048,1585
server,2048,16545
client,2048,1415
server,2048,16474
server,2048,16479
client,2048,1464
client,2048,1441
server,2048,16603
client,2048,1393
server,2048,16429
client,2048,2195
server,2048,17529
client,2048,1606
server,2048,17009
server,2048,16845
client,2048,1471
client,2048,1423
server,2048,16454
server,2048,16697
client,2048,1499
client,2048,1444
server,2048,16465
client,2048,1453
server,2048,16751
client,2048,1433
server,2048,16555
client,2048,1462
server,2048,16662
server,2048,16436
client,2048,1449
client,2048,1539
server,2048,17111
client,2048,1479
server,2048,16694
client,2048,1472
server,2048,16768
client,2048,1391
server,2048,16522
client,2048,1429
server,2048,16434
client,2048,1396
server,2048,16318
client,2048,1443
server,2048,16459
client,2048,1396
server,2048,16396
client,2048,1442
server,2048,16768
client,2048,1482
server,2048,16387
server,2048,17261
client,2048,1513
client,2048,1380
server,2048,16358
server,2048,16826
client,2048,1570
client,2048,1484
server,2048,16339
client,2048,1545
server,2048,17253
client,2048,1575
server,2048,16706
server,2048,16838
client,2048,1552
client,2048,1552
server,2048,16814
client,2048,1454
server,2048,16976
client,2048,1474
server,2048,16333
client,2048,1461
server,2048,16682
client,2048,1397
server,2048,16381
client,2048,1457
server,2048,16533
client,2048,1418
server,2048,16870
client,2048,1527
server,2048,16970
client,2048,1630
server,2048,17006
client,2048,1498
server,2048,17296
client,2048,1507
server,2048,16639
client,2048,1580
server,2048,16907
server,2048,16305
client,2048,1448
client,2048,1475
server,2048,16823
client,2048,1552
server,2048,16688
client,2048,1586
server,2048,16891
client,2048,1602
server,2048,16776
client,2048,1508
server,2048,16802
client,2048,1436
server,2048,16311
client,2048,1462
server,2048,16464
server,2048,17022
client,2048,1768
client,2048,1503
server,2048,17071
client,2048,1540
server,2048,16365
client,2048,1586
server,2048,16780
client,2048,1414
server,2048,16716
client,2048,1448
server,2048,17033
client,2048,1463
server,2048,16790
client,2048,1483
server,2048,16834
client,2048,1451
server,2048,16336
client,2048,1442
server,2048,16796
client,2048,1489
server,2048,16702
client,2048,1505
server,2048,16749
client,2048,1505
server,2048,16411
client,2048,1495
server,2048,16473
client,2048,1482
server,2048,16485
client,2048,1515
server,2048,16834
client,2048,1476
server,2048,16310
client,2048,1503
server,2048,16535
client,2048,1530
server,2048,16485
client,2048,1479
server,2048,16550
client,2048,1564
server,2048,16371
client,2048,1496
server,2048,16670
client,2048,1487
server,2048,16278
client,2048,1558
server,2048,17210
client,2048,1430
server,2048,16355
client,2048,2168
server,2048,17489
client,2048,1514
server,2048,16465
client,2048,1537
server,2048,16641
client,2048,1518
server,2048,16473
client,2048,1562
server,2048,16777
client,2048,1498
server,2048,16260
client,2048,1458
server,2048,16653
client,2048,1551
server,2048,16355
server,2048,16602
client,2048,1452
client,2048,1401
server,2048,16246
client,2048,1620
server,2048,17190
client,2048,1527
server,2048,16341
client,2048,1550
server,2048,16918
client,2048,1568
server,2048,16490
client,2048,1566
server,2048,17242
client,2048,1480
server,2048,16901
client,2048,1560
server,2048,17160
client,2048,1484
server,2048,16480
client,2048,2171
server,2048,17272
client,2048,1376
server,2048,16280
client,2048,1476
server,2048,16690
client,2048,1527
server,2048,16503
server,2048,18286
client,2048,1575
client,2048,1449
server,2048,16418
client,2048,1442
server,2048,16306
client,2048,1473
server,2048,16352
client,2048,1535
server,2048,16759
client,2048,1480
server,2048,16674
client,2048,1535
server,2048,16675
client,2048,1463
server,2048,16332
server,2048,16674
client,2048,1543
client,2048,1438
server,2048,16590
client,2048,1517
server,2048,16822
server,2048,16624
client,2048,1498
client,2048,1443
server,2048,16802
client,2048,1717
server,2048,23002
client,2048,1460
server,2048,16815
client,2048,1506
server,2048,16422
client,2048,1475
server,2048,16939
