endpoint,keylen,time
client,1024,764
client,1024,620
server,1024,3423
server,1024,3588
client,1024,690
client,1024,640
server,1024,4154
client,1024,1094
server,1024,5173
client,2048,1743
server,2048,26486
client,2048,2289
server,2048,18382
server,2048,18458
client,2048,1592
client,2048,1581
server,2048,19601
client,2048,1656
server,2048,26245
client,4096,6527
server,4096,145586
client,4096,5823
server,4096,116452
client,4096,4960
server,4096,114231
server,4096,114203
client,4096,5015
server,4096,117260
client,4096,5522
server,8192,974943
client,8192,28031
server,8192,809715
client,8192,19585
client,8192,17908
server,8192,805260
client,8192,17888
server,8192,863643
client,8192,17422
server,8192,811203
