endpoint,operation,msglen,time
client,digest,8192,88
server,verify,8192,93
server,digest,8192,92
client,verify,8192,91
client,digest,8192,147
server,verify,8192,101
server,digest,8192,88
client,verify,8192,92
client,digest,8192,90
server,verify,8192,92
server,digest,8192,94
client,verify,8192,92
client,digest,8192,89
server,verify,8192,281
server,digest,8192,132
client,verify,8192,98
client,digest,8192,89
server,verify,8192,93
server,digest,8192,109
client,verify,8192,146
client,digest,16384,209
server,verify,16384,195
server,digest,16384,189
client,verify,16384,176
client,digest,16384,256
server,verify,16384,197
server,digest,16384,171
client,verify,16384,245
client,digest,16384,171
server,verify,16384,222
server,digest,16384,171
client,verify,16384,184
client,digest,16384,171
server,verify,16384,176
server,digest,16384,194
client,verify,16384,249
client,digest,16384,171
server,verify,16384,177
server,digest,16384,171
client,verify,16384,195
