endpoint,keylen,time
client,1024,801
server,1024,5449
client,1024,509
server,1024,3354
client,1024,532
server,1024,3426
client,1024,529
server,1024,3349
server,1024,3361
client,1024,524
client,1024,538
server,1024,3400
client,1024,567
server,1024,3413
client,1024,568
server,1024,3420
client,1024,555
server,1024,3404
client,1024,544
server,1024,3375
client,1024,540
server,1024,3524
client,1024,542
server,1024,3412
client,1024,535
server,1024,3404
client,1024,578
server,1024,3419
client,1024,568
server,1024,3399
client,1024,546
server,1024,3360
client,1024,544
server,1024,3441
client,1024,522
server,1024,3366
client,1024,535
server,1024,3520
client,1024,535
server,1024,3429
client,1024,548
server,1024,3392
client,1024,522
server,1024,3385
client,1024,554
server,1024,3392
client,1024,561
server,1024,3387
client,1024,532
server,1024,3353
client,1024,536
server,1024,3351
server,1024,3368
client,1024,545
client,1024,544
server,1024,3339
client,1024,553
server,1024,3409
client,1024,523
server,1024,3353
client,1024,562
server,1024,3345
server,1024,3351
client,1024,635
client,1024,554
server,1024,3611
client,1024,655
server,1024,3396
client,1024,542
server,1024,3346
client,1024,540
server,1024,3370
client,1024,542
server,1024,3399
client,1024,633
server,1024,3435
client,1024,613
server,1024,3432
client,1024,609
server,1024,3377
client,1024,530
server,1024,3348
client,1024,547
server,1024,3400
client,1024,525
server,1024,3335
client,1024,531
server,1024,3405
client,1024,537
server,1024,3404
client,1024,520
server,1024,3360
client,1024,615
server,1024,3463
client,1024,564
server,1024,3392
server,1024,3586
client,1024,624
client,1024,523
server,1024,3334
client,1024,539
server,1024,3373
client,1024,529
server,1024,3356
client,1024,555
server,1024,3403
client,1024,619
server,1024,3479
client,1024,561
server,1024,3386
client,1024,546
server,1024,3383
client,1024,554
server,1024,3605
client,1024,526
server,1024,3370
client,1024,530
server,1024,3331
client,1024,555
server,1024,3425
server,1024,3434
client,1024,528
client,1024,519
server,1024,3377
client,1024,524
server,1024,3301
client,1024,564
server,1024,3675
client,1024,566
server,1024,3764
client,1024,536
server,1024,3390
client,1024,530
server,1024,3354
client,1024,549
server,1024,3408
client,1024,548
server,1024,3440
client,1024,560
server,1024,3387
client,1024,678
server,1024,3486
client,1024,576
server,1024,3413
client,1024,797
server,1024,3723
client,1024,891
server,1024,3636
client,1024,852
server,1024,3629
client,1024,547
server,1024,3320
client,1024,728
server,1024,3830
client,1024,592
server,1024,3426
client,1024,558
server,1024,3374
client,1024,523
server,1024,3370
client,1024,537
server,1024,3560
client,1024,551
server,1024,3394
client,1024,594
server,1024,3448
client,1024,534
server,1024,3519
client,1024,623
server,1024,3494
client,1024,551
server,1024,3383
client,1024,526
server,1024,3311
client,1024,522
server,1024,3367
client,1024,538
server,1024,3390
client,1024,541
server,1024,3361
client,1024,630
server,1024,3407
client,1024,539
server,1024,3519
client,1024,597
server,1024,3394
client,1024,562
server,1024,3406
client,1024,526
server,1024,3349
client,1024,537
server,1024,3491
client,1024,596
server,1024,3762
client,1024,533
server,1024,3340
client,1024,554
server,1024,3418
client,1024,537
server,1024,3383
client,1024,555
server,1024,3534
client,1024,591
server,1024,3438
client,1024,627
server,1024,3505
client,1024,559
server,1024,3385
client,1024,614
server,1024,3558
client,1024,556
server,1024,3425
client,1024,535
