endpoint,min_input,max_input,time
client,32,8192,31409
server,32,8192,31153
server,32,8192,19344
client,32,8192,19523
server,32,8192,19066
client,32,8192,19225
server,32,8192,18916
client,32,8192,19152
server,32,8192,21371
client,32,8192,21622
server,32,8192,19550
client,32,8192,25094
server,32,8192,19209
client,32,8192,19382
server,32,8192,19176
client,32,8192,19383
server,32,8192,19555
client,32,8192,19777
server,32,8192,19780
client,32,8192,20054
server,32,8192,19514
client,32,8192,19728
server,32,8192,18807
client,32,8192,19024
server,32,8192,19417
client,32,8192,19654
server,32,8192,19105
client,32,8192,19356
server,32,8192,19112
client,32,8192,19299
server,32,8192,19029
client,32,8192,19237
server,32,8192,19165
client,32,8192,19386
server,32,8192,19202
client,32,8192,19450
server,32,8192,19224
client,32,8192,19405
server,32,8192,18978
client,32,8192,19187
server,32,8192,19336
client,32,8192,19571
server,32,8192,18886
client,32,8192,19142
server,32,8192,18805
client,32,8192,19000
server,32,8192,18795
client,32,8192,19031
server,32,8192,19286
client,32,8192,19523
server,32,8192,19153
client,32,8192,19418
server,32,8192,19426
client,32,8192,19627
server,32,8192,19090
client,32,8192,19323
server,32,8192,19343
client,32,8192,19566
server,32,8192,19086
client,32,8192,19350
server,32,8192,19410
client,32,8192,19601
server,32,8192,18918
client,32,8192,19140
server,32,8192,19446
client,32,8192,19703
server,32,8192,19059
client,32,8192,19326
server,32,8192,19364
client,32,8192,19548
server,32,8192,19298
client,32,8192,19534
server,32,8192,19299
client,32,8192,19509
server,32,8192,19029
client,32,8192,19260
server,32,8192,19704
client,32,8192,19913
server,32,8192,19321
client,32,8192,19529
server,32,8192,20471
client,32,8192,20702
server,32,8192,19404
client,32,8192,19612
server,32,8192,19727
client,32,8192,24466
server,32,8192,20504
client,32,8192,20692
server,32,8192,19943
client,32,8192,25940
server,32,8192,19775
client,32,8192,19998
server,32,8192,18949
client,32,8192,19108
server,32,8192,18861
client,32,8192,19054
server,32,8192,19381
client,32,8192,19617
server,32,8192,19219
client,32,8192,19513
server,32,8192,18762
client,32,8192,18985
server,32,8192,19226
client,32,8192,19461
server,32,8192,18819
client,32,8192,18978
server,32,8192,19332
client,32,8192,19552
server,32,8192,19468
client,32,8192,19763
server,32,8192,19603
client,32,8192,19822
server,32,8192,19507
client,32,8192,19727
server,32,8192,21021
client,32,8192,21227
server,32,8192,19340
client,32,8192,19533
server,32,8192,19604
client,32,8192,25040
server,32,8192,20401
client,32,8192,20573
server,32,8192,20574
client,32,8192,20758
server,32,8192,19561
client,32,8192,19780
server,32,8192,19989
client,32,8192,20182
server,32,8192,19802
client,32,8192,25438
server,32,8192,21190
client,32,8192,21408
server,32,8192,19707
client,32,8192,19912
server,32,8192,19816
client,32,8192,20025
server,32,8192,19763
client,32,8192,25311
server,32,8192,19473
client,32,8192,24833
server,32,8192,19435
client,32,8192,19677
server,32,8192,20220
client,32,8192,20426
server,32,8192,20108
client,32,8192,20306
server,32,8192,20025
client,32,8192,20273
server,32,8192,20005
client,32,8192,20231
server,32,8192,20134
client,32,8192,20325
server,32,8192,19873
client,32,8192,25175
server,32,8192,19459
client,32,8192,19648
server,32,8192,20738
client,32,8192,20940
server,32,8192,20563
client,32,8192,20773
server,32,8192,20116
client,32,8192,20361
server,32,8192,20556
client,32,8192,20777
server,32,8192,19946
client,32,8192,20184
client,32,8192,20646
server,32,8192,20452
server,32,8192,19680
client,32,8192,19880
server,32,8192,19062
client,32,8192,19237
server,32,8192,19086
client,32,8192,19296
server,32,8192,19069
client,32,8192,19258
server,32,8192,19130
client,32,8192,19290
server,32,8192,19321
client,32,8192,19515
server,32,8192,19295
client,32,8192,19499
server,32,8192,19722
client,32,8192,19940
server,32,8192,19435
client,32,8192,19629
server,32,8192,19456
client,32,8192,19648
server,32,8192,18983
client,32,8192,19260
server,32,8192,18818
client,32,8192,19134
server,32,8192,18959
client,32,8192,19149
server,32,8192,19243
client,32,8192,19471
server,32,8192,19322
client,32,8192,19564
server,32,8192,19478
client,32,8192,19712
