endpoint,keylen,time
client,1024,589
server,1024,5115
server,1024,3661
client,1024,541
client,1024,732
server,1024,3656
client,1024,621
server,1024,3488
server,1024,3486
client,1024,644
server,2048,23468
client,2048,1666
server,2048,17680
client,2048,1579
client,2048,1535
server,2048,17617
server,2048,18033
client,2048,1533
client,2048,2082
server,2048,18366
client,4096,6458
server,4096,139196
client,4096,5508
server,4096,117438
server,4096,113900
client,4096,7024
client,4096,4913
server,4096,113056
server,4096,113765
client,4096,5585
server,8192,895574
client,8192,18299
client,8192,17332
server,8192,799031
client,8192,17539
server,8192,796727
client,8192,18382
server,8192,799591
client,8192,17501
server,8192,806948
