endpoint,operation,msglen,time
client,encrypt,8192,64
server,decrypt,8192,82
server,encrypt,8192,66
client,decrypt,8192,63
client,encrypt,8192,65
server,decrypt,8192,63
server,encrypt,8192,66
client,decrypt,8192,64
client,encrypt,8192,66
server,decrypt,8192,63
server,encrypt,8192,65
client,decrypt,8192,82
client,encrypt,8192,66
server,decrypt,8192,63
server,encrypt,8192,65
client,decrypt,8192,91
client,encrypt,8192,65
server,decrypt,8192,63
server,encrypt,8192,69
client,decrypt,8192,64
client,encrypt,16384,128
server,decrypt,16384,123
server,encrypt,16384,150
client,decrypt,16384,134
client,encrypt,16384,128
server,decrypt,16384,133
server,encrypt,16384,127
client,decrypt,16384,134
client,encrypt,16384,137
server,decrypt,16384,142
server,encrypt,16384,146
client,decrypt,16384,125
client,encrypt,16384,128
server,decrypt,16384,125
server,encrypt,16384,128
client,decrypt,16384,125
client,encrypt,16384,127
server,decrypt,16384,124
server,encrypt,16384,146
client,decrypt,16384,124
