endpoint,keylen,time
client,1024,587
server,1024,5358
client,1024,531
server,1024,3286
client,1024,537
server,1024,3397
server,1024,3314
client,1024,527
client,1024,539
server,1024,3323
server,2048,22956
client,2048,1618
server,2048,18546
client,2048,1512
client,2048,1517
server,2048,17383
client,2048,1488
server,2048,17191
server,2048,18697
client,2048,1872
server,4096,147715
client,4096,6762
client,4096,6770
server,4096,127525
client,4096,5549
server,4096,113620
server,4096,108685
client,4096,4832
server,4096,113421
client,4096,4736
client,8192,17496
server,8192,909376
server,8192,887904
client,8192,17517
client,8192,23827
server,8192,795591
client,8192,17166
server,8192,812853
server,8192,815888
client,8192,16997
