endpoint,operation,msglen,time
client,hash,8192,46
server,verify,8192,46
server,hash,8192,44
client,verify,8192,55
client,hash,8192,40
server,verify,8192,41
server,hash,8192,41
client,verify,8192,70
client,hash,8192,65
server,verify,8192,68
server,hash,8192,65
client,verify,8192,50
client,hash,8192,39
server,verify,8192,41
server,hash,8192,40
client,verify,8192,42
client,hash,8192,41
server,verify,8192,41
server,hash,8192,40
client,verify,8192,42
client,hash,16384,77
server,verify,16384,112
server,hash,16384,77
client,verify,16384,77
client,hash,16384,108
server,verify,16384,87
server,hash,16384,91
client,verify,16384,116
client,hash,16384,131
server,verify,16384,106
server,hash,16384,108
client,verify,16384,85
client,hash,16384,92
server,verify,16384,95
server,hash,16384,81
client,verify,16384,95
client,hash,16384,108
server,verify,16384,77
server,hash,16384,77
client,verify,16384,137
