endpoint,min_input,max_input,time
client,32,8192,27995
server,32,8192,27709
server,32,8192,19105
client,32,8192,19275
server,32,8192,18833
client,32,8192,19021
server,32,8192,18787
client,32,8192,19025
server,32,8192,19020
client,32,8192,19250
server,32,8192,18783
client,32,8192,18989
server,32,8192,19092
client,32,8192,19292
server,32,8192,19066
client,32,8192,19292
server,32,8192,18989
client,32,8192,19215
server,32,8192,19355
client,32,8192,19556
server,32,8192,19279
client,32,8192,19489
server,32,8192,19530
client,32,8192,19743
server,32,8192,19352
client,32,8192,19583
server,32,8192,19257
client,32,8192,19471
server,32,8192,19137
client,32,8192,19356
server,32,8192,18808
client,32,8192,18967
server,32,8192,18770
client,32,8192,18934
server,32,8192,18930
client,32,8192,19151
server,32,8192,19260
client,32,8192,19492
server,32,8192,18945
client,32,8192,19150
server,32,8192,18887
client,32,8192,19048
server,32,8192,19078
client,32,8192,19322
server,32,8192,19202
client,32,8192,19405
server,32,8192,18900
client,32,8192,19117
client,32,8192,19147
server,32,8192,18967
server,32,8192,18950
client,32,8192,19188
server,32,8192,19324
client,32,8192,19528
server,32,8192,18839
client,32,8192,19036
server,32,8192,19138
client,32,8192,19316
server,32,8192,19608
client,32,8192,19836
server,32,8192,19177
client,32,8192,19410
server,32,8192,19026
client,32,8192,19247
server,32,8192,18782
client,32,8192,18962
server,32,8192,18832
client,32,8192,19065
server,32,8192,18864
client,32,8192,19073
server,32,8192,19267
client,32,8192,19447
server,32,8192,18785
client,32,8192,18954
server,32,8192,19194
client,32,8192,19441
server,32,8192,19330
client,32,8192,19544
server,32,8192,20058
client,32,8192,20253
server,32,8192,20466
client,32,8192,20655
server,32,8192,20289
client,32,8192,25724
server,32,8192,19269
client,32,8192,19465
server,32,8192,21045
client,32,8192,26747
server,32,8192,20004
client,32,8192,20179
server,32,8192,18902
client,32,8192,19118
server,32,8192,19214
client,32,8192,19422
server,32,8192,21698
client,32,8192,21954
server,32,8192,26023
client,32,8192,26208
server,32,8192,19625
client,32,8192,24852
server,32,8192,19230
client,32,8192,19445
server,32,8192,19041
client,32,8192,19235
server,32,8192,19943
client,32,8192,20147
server,32,8192,20254
client,32,8192,20447
server,32,8192,18768
client,32,8192,18944
server,32,8192,19344
client,32,8192,19590
server,32,8192,19327
client,32,8192,19571
server,32,8192,21823
client,32,8192,22024
server,32,8192,20190
client,32,8192,20385
server,32,8192,22446
client,32,8192,22649
server,32,8192,19601
client,32,8192,19763
client,32,8192,25491
server,32,8192,20293
server,32,8192,19792
client,32,8192,19991
server,32,8192,20313
client,32,8192,20545
server,32,8192,20013
client,32,8192,20240
server,32,8192,19968
client,32,8192,20164
server,32,8192,20085
client,32,8192,20260
server,32,8192,20485
client,32,8192,20731
server,32,8192,19880
client,32,8192,20095
server,32,8192,20041
client,32,8192,20232
server,32,8192,19526
client,32,8192,19691
server,32,8192,19760
client,32,8192,19979
server,32,8192,20085
client,32,8192,20338
server,32,8192,20136
client,32,8192,20340
server,32,8192,20087
client,32,8192,20305
server,32,8192,20105
client,32,8192,20364
server,32,8192,20066
client,32,8192,20303
server,32,8192,19678
client,32,8192,19881
server,32,8192,19610
client,32,8192,19803
server,32,8192,20656
client,32,8192,20916
server,32,8192,20895
client,32,8192,21145
server,32,8192,19844
client,32,8192,20033
server,32,8192,20152
client,32,8192,20340
server,32,8192,19196
client,32,8192,19422
server,32,8192,18704
client,32,8192,18927
server,32,8192,18965
client,32,8192,19189
server,32,8192,18759
client,32,8192,18949
server,32,8192,20901
client,32,8192,21111
server,32,8192,19196
client,32,8192,19422
server,32,8192,18959
client,32,8192,19167
server,32,8192,18820
client,32,8192,19009
server,32,8192,18924
client,32,8192,19161
server,32,8192,19225
client,32,8192,19444
server,32,8192,19180
client,32,8192,19373
server,32,8192,18807
client,32,8192,18980
server,32,8192,19675
client,32,8192,19909
server,32,8192,18921
client,32,8192,19166
server,32,8192,18850
client,32,8192,19050
server,32,8192,19400
client,32,8192,19611
server,32,8192,19028
client,32,8192,19252
server,32,8192,18738
client,32,8192,18958
server,32,8192,19231
client,32,8192,19403
server,32,8192,18749
client,32,8192,18928
server,32,8192,19191
client,32,8192,19408
server,32,8192,19014
client,32,8192,19257
server,32,8192,19315
client,32,8192,19532
server,32,8192,19148
client,32,8192,19348
server,32,8192,18947
client,32,8192,19197
server,32,8192,18948
client,32,8192,19171
server,32,8192,19106
client,32,8192,19309
server,32,8192,19030
client,32,8192,19239
server,32,8192,20748
client,32,8192,21015
server,32,8192,21847
client,32,8192,22091
server,32,8192,19317
client,32,8192,19490
server,32,8192,19092
client,32,8192,19278
server,32,8192,19120
client,32,8192,19359
server,32,8192,19293
client,32,8192,19538
server,32,8192,19438
client,32,8192,19694
server,32,8192,19517
client,32,8192,19768
server,32,8192,19069
client,32,8192,19270
server,32,8192,19393
client,32,8192,19597
server,32,8192,19456
client,32,8192,19663
server,32,8192,19233
client,32,8192,19461
server,32,8192,19359
client,32,8192,19557
server,32,8192,19311
client,32,8192,19525
server,32,8192,19968
client,32,8192,20218
server,32,8192,19011
client,32,8192,19240
server,32,8192,18967
client,32,8192,19136
server,32,8192,18744
client,32,8192,18913
server,32,8192,19160
client,32,8192,19355
server,32,8192,19211
client,32,8192,19416
server,32,8192,19103
client,32,8192,19300
server,32,8192,19042
client,32,8192,19226
server,32,8192,18948
client,32,8192,19147
server,32,8192,19220
client,32,8192,19442
server,32,8192,19285
client,32,8192,19484
server,32,8192,19136
client,32,8192,19342
server,32,8192,19268
client,32,8192,19503
server,32,8192,19005
client,32,8192,19213
server,32,8192,19212
client,32,8192,19426
server,32,8192,19257
client,32,8192,19478
server,32,8192,19057
client,32,8192,19294
server,32,8192,18907
client,32,8192,19143
server,32,8192,18992
client,32,8192,19197
server,32,8192,19181
client,32,8192,19375
server,32,8192,19205
client,32,8192,19439
server,32,8192,19292
client,32,8192,19530
server,32,8192,19522
client,32,8192,19741
server,32,8192,19347
client,32,8192,19566
server,32,8192,19429
client,32,8192,19628
server,32,8192,19052
client,32,8192,19260
server,32,8192,19189
client,32,8192,19432
server,32,8192,18969
client,32,8192,19172
server,32,8192,19756
client,32,8192,19924
server,32,8192,19026
client,32,8192,19210
server,32,8192,18898
client,32,8192,19105
server,32,8192,19028
client,32,8192,19271
server,32,8192,19099
client,32,8192,19316
server,32,8192,19125
client,32,8192,19343
server,32,8192,19021
client,32,8192,19257
server,32,8192,19342
client,32,8192,19584
server,32,8192,18862
client,32,8192,19056
server,32,8192,18714
client,32,8192,18900
server,32,8192,19186
client,32,8192,19416
server,32,8192,18795
client,32,8192,19034
server,32,8192,18812
client,32,8192,18987
server,32,8192,18891
client,32,8192,19070
server,32,8192,19537
client,32,8192,19790
server,32,8192,19793
client,32,8192,20024
server,32,8192,19066
client,32,8192,19286
server,32,8192,19262
client,32,8192,19469
server,32,8192,19304
client,32,8192,19569
server,32,8192,19152
client,32,8192,19362
server,32,8192,19256
client,32,8192,19463
server,32,8192,19266
client,32,8192,19484
server,32,8192,19414
client,32,8192,19633
server,32,8192,19229
client,32,8192,19496
server,32,8192,22803
client,32,8192,23014
server,32,8192,19074
client,32,8192,19272
server,32,8192,18958
client,32,8192,19173
server,32,8192,18836
client,32,8192,19041
server,32,8192,19192
client,32,8192,19406
server,32,8192,19362
client,32,8192,19580
server,32,8192,19125
client,32,8192,19337
server,32,8192,19025
client,32,8192,19227
server,32,8192,19276
client,32,8192,19509
server,32,8192,19003
client,32,8192,19247
server,32,8192,19201
client,32,8192,19416
server,32,8192,19200
client,32,8192,19408
server,32,8192,18935
client,32,8192,19178
server,32,8192,18718
client,32,8192,18928
server,32,8192,19421
client,32,8192,19609
server,32,8192,18729
client,32,8192,18934
server,32,8192,19052
client,32,8192,19312
server,32,8192,18831
client,32,8192,19077
server,32,8192,18769
client,32,8192,18961
server,32,8192,19380
client,32,8192,19587
server,32,8192,19330
client,32,8192,19567
server,32,8192,19539
client,32,8192,19796
server,32,8192,19332
client,32,8192,19542
server,32,8192,19117
client,32,8192,19315
server,32,8192,19121
client,32,8192,19383
server,32,8192,19062
client,32,8192,19332
server,32,8192,19366
client,32,8192,19597
server,32,8192,18719
client,32,8192,18918
server,32,8192,19040
client,32,8192,19294
server,32,8192,19198
client,32,8192,19416
server,32,8192,19127
client,32,8192,19310
server,32,8192,18911
client,32,8192,19083
server,32,8192,19941
client,32,8192,20162
server,32,8192,18931
client,32,8192,19158
server,32,8192,18799
client,32,8192,18975
server,32,8192,18670
client,32,8192,18854
server,32,8192,19345
client,32,8192,19587
server,32,8192,19137
client,32,8192,19361
server,32,8192,19523
client,32,8192,19731
server,32,8192,19241
client,32,8192,19447
server,32,8192,19424
client,32,8192,19645
server,32,8192,18974
client,32,8192,19188
server,32,8192,19006
client,32,8192,19231
server,32,8192,19110
client,32,8192,19331
server,32,8192,18926
client,32,8192,19141
server,32,8192,18918
client,32,8192,19133
server,32,8192,21650
client,32,8192,21873
server,32,8192,19988
client,32,8192,20206
server,32,8192,19357
client,32,8192,19588
server,32,8192,19033
client,32,8192,19316
server,32,8192,19045
client,32,8192,19269
server,32,8192,19277
client,32,8192,19492
server,32,8192,19016
client,32,8192,19242
server,32,8192,19012
client,32,8192,19269
server,32,8192,19359
client,32,8192,19595
server,32,8192,19188
client,32,8192,19410
server,32,8192,18765
client,32,8192,19006
server,32,8192,19309
client,32,8192,19528
server,32,8192,19378
client,32,8192,19553
server,32,8192,19327
client,32,8192,19543
server,32,8192,19162
client,32,8192,19434
server,32,8192,19144
client,32,8192,19456
server,32,8192,18963
client,32,8192,19188
server,32,8192,19224
client,32,8192,19455
server,32,8192,21844
client,32,8192,22185
server,32,8192,25150
client,32,8192,25504
server,32,8192,19826
client,32,8192,20020
server,32,8192,18946
client,32,8192,19131
server,32,8192,19338
client,32,8192,19530
server,32,8192,18978
client,32,8192,19170
server,32,8192,19358
client,32,8192,19598
server,32,8192,19271
client,32,8192,19516
server,32,8192,18852
client,32,8192,19044
server,32,8192,18852
client,32,8192,19031
server,32,8192,19067
client,32,8192,19307
server,32,8192,18879
client,32,8192,19092
server,32,8192,19098
client,32,8192,19287
server,32,8192,19177
client,32,8192,19377
server,32,8192,19093
client,32,8192,19346
server,32,8192,19033
client,32,8192,19275
server,32,8192,18890
client,32,8192,19070
server,32,8192,18800
client,32,8192,18998
server,32,8192,19161
client,32,8192,19406
server,32,8192,19055
client,32,8192,19311
server,32,8192,18862
client,32,8192,19060
server,32,8192,18975
client,32,8192,19197
server,32,8192,19123
client,32,8192,19358
server,32,8192,18963
client,32,8192,19183
server,32,8192,18811
client,32,8192,19018
server,32,8192,19353
client,32,8192,19564
server,32,8192,19649
client,32,8192,19900
server,32,8192,19336
client,32,8192,19570
server,32,8192,19501
client,32,8192,19714
server,32,8192,19022
client,32,8192,19225
server,32,8192,19346
client,32,8192,19616
server,32,8192,18931
client,32,8192,19162
server,32,8192,19189
client,32,8192,19407
server,32,8192,18792
client,32,8192,18974
server,32,8192,18896
client,32,8192,19116
server,32,8192,19734
client,32,8192,19981
server,32,8192,18897
client,32,8192,19113
server,32,8192,18764
client,32,8192,18955
server,32,8192,19222
client,32,8192,19485
server,32,8192,19516
client,32,8192,25162
server,32,8192,19081
client,32,8192,19288
server,32,8192,19173
client,32,8192,19379
server,32,8192,19027
client,32,8192,19273
server,32,8192,18743
client,32,8192,18965
server,32,8192,19314
client,32,8192,19516
server,32,8192,18715
client,32,8192,18894
server,32,8192,19595
client,32,8192,19833
server,32,8192,19356
client,32,8192,19600
server,32,8192,19252
client,32,8192,19456
server,32,8192,18959
client,32,8192,19183
server,32,8192,20430
client,32,8192,20664
server,32,8192,19696
client,32,8192,29814
server,32,8192,19010
client,32,8192,19214
server,32,8192,19321
client,32,8192,19564
server,32,8192,19468
client,32,8192,19716
server,32,8192,18983
client,32,8192,19237
server,32,8192,19059
client,32,8192,19281
server,32,8192,19044
client,32,8192,19273
server,32,8192,19170
client,32,8192,19470
server,32,8192,19380
client,32,8192,19626
server,32,8192,19330
client,32,8192,19556
server,32,8192,19282
client,32,8192,19494
server,32,8192,19040
client,32,8192,19288
server,32,8192,19134
client,32,8192,19376
server,32,8192,20440
client,32,8192,20710
server,32,8192,19528
client,32,8192,19736
server,32,8192,19838
client,32,8192,20090
server,32,8192,18972
client,32,8192,19198
server,32,8192,19445
client,32,8192,19676
server,32,8192,19082
client,32,8192,19332
server,32,8192,19091
client,32,8192,19314
server,32,8192,19298
client,32,8192,19502
server,32,8192,19169
client,32,8192,19378
server,32,8192,19093
client,32,8192,19326
server,32,8192,19325
client,32,8192,19540
server,32,8192,19242
client,32,8192,19467
server,32,8192,19056
client,32,8192,19291
server,32,8192,19082
client,32,8192,19317
server,32,8192,18864
client,32,8192,19078
server,32,8192,19030
client,32,8192,19222
server,32,8192,19809
client,32,8192,20061
server,32,8192,19019
client,32,8192,19268
server,32,8192,19569
client,32,8192,19797
server,32,8192,19021
client,32,8192,19227
server,32,8192,18954
client,32,8192,19213
server,32,8192,19402
client,32,8192,19638
server,32,8192,19186
client,32,8192,19415
server,32,8192,19065
client,32,8192,19301
server,32,8192,19341
client,32,8192,19585
server,32,8192,19219
client,32,8192,19443
server,32,8192,19281
client,32,8192,19500
server,32,8192,18895
client,32,8192,19106
server,32,8192,19244
client,32,8192,19483
server,32,8192,18970
client,32,8192,19235
server,32,8192,19261
client,32,8192,19489
server,32,8192,19314
client,32,8192,19541
server,32,8192,19601
client,32,8192,19838
server,32,8192,18929
client,32,8192,19183
server,32,8192,19100
client,32,8192,19326
server,32,8192,18994
client,32,8192,19218
server,32,8192,19237
client,32,8192,19482
server,32,8192,18921
client,32,8192,19143
server,32,8192,19371
client,32,8192,19585
server,32,8192,19256
client,32,8192,19472
server,32,8192,19334
client,32,8192,19563
server,32,8192,19034
client,32,8192,19313
server,32,8192,19095
client,32,8192,19322
server,32,8192,19095
client,32,8192,19317
server,32,8192,19281
client,32,8192,19544
server,32,8192,19025
client,32,8192,19288
server,32,8192,19369
client,32,8192,19557
server,32,8192,19032
client,32,8192,19235
server,32,8192,19207
client,32,8192,19441
server,32,8192,19001
client,32,8192,19261
server,32,8192,19048
client,32,8192,19261
server,32,8192,19112
client,32,8192,19334
server,32,8192,18860
client,32,8192,19086
server,32,8192,18727
client,32,8192,18954
server,32,8192,18823
client,32,8192,19014
server,32,8192,19142
client,32,8192,19355
server,32,8192,19020
client,32,8192,19260
server,32,8192,19002
client,32,8192,19290
server,32,8192,20131
client,32,8192,20368
server,32,8192,18967
client,32,8192,19184
server,32,8192,19333
client,32,8192,19593
server,32,8192,19006
client,32,8192,19275
server,32,8192,19124
client,32,8192,19362
server,32,8192,20667
client,32,8192,20956
server,32,8192,18945
client,32,8192,19166
server,32,8192,19028
client,32,8192,19341
server,32,8192,19178
client,32,8192,19341
server,32,8192,18956
client,32,8192,19140
server,32,8192,19062
client,32,8192,19289
server,32,8192,18954
client,32,8192,19184
server,32,8192,19332
client,32,8192,19576
server,32,8192,18878
client,32,8192,19155
server,32,8192,19038
client,32,8192,19274
server,32,8192,18811
client,32,8192,18990
server,32,8192,19007
client,32,8192,19249
server,32,8192,19374
client,32,8192,19629
server,32,8192,19167
client,32,8192,19402
server,32,8192,19020
client,32,8192,19231
server,32,8192,19359
client,32,8192,19616
server,32,8192,19187
client,32,8192,19422
server,32,8192,19330
client,32,8192,19555
server,32,8192,19198
client,32,8192,19417
server,32,8192,19368
client,32,8192,19619
server,32,8192,19025
client,32,8192,19262
server,32,8192,19148
client,32,8192,19379
server,32,8192,19261
client,32,8192,19489
server,32,8192,19579
client,32,8192,19854
server,32,8192,19048
client,32,8192,19294
server,32,8192,19089
client,32,8192,19316
server,32,8192,18942
client,32,8192,19161
server,32,8192,19019
client,32,8192,19264
server,32,8192,19653
client,32,8192,19910
server,32,8192,19315
client,32,8192,19544
server,32,8192,19235
client,32,8192,19462
server,32,8192,19079
client,32,8192,19324
server,32,8192,19151
client,32,8192,19418
server,32,8192,19075
client,32,8192,19305
server,32,8192,19317
client,32,8192,19557
server,32,8192,19295
client,32,8192,19541
server,32,8192,19170
client,32,8192,19415
server,32,8192,19414
client,32,8192,19680
server,32,8192,18909
client,32,8192,19150
server,32,8192,19231
client,32,8192,19432
server,32,8192,19087
client,32,8192,19293
server,32,8192,19444
client,32,8192,19732
server,32,8192,19110
client,32,8192,19370
server,32,8192,19285
client,32,8192,19494
server,32,8192,19140
client,32,8192,19338
server,32,8192,19385
client,32,8192,19634
server,32,8192,19003
client,32,8192,19250
server,32,8192,19043
client,32,8192,19241
server,32,8192,19468
client,32,8192,19684
server,32,8192,19369
client,32,8192,19630
server,32,8192,19210
client,32,8192,19457
server,32,8192,19506
client,32,8192,19754
server,32,8192,19209
client,32,8192,19411
server,32,8192,18886
client,32,8192,19122
server,32,8192,18901
client,32,8192,19129
server,32,8192,18938
client,32,8192,19118
server,32,8192,18807
client,32,8192,19007
server,32,8192,19418
client,32,8192,19650
server,32,8192,19168
client,32,8192,19387
server,32,8192,19167
client,32,8192,19389
server,32,8192,19255
client,32,8192,19456
server,32,8192,19516
client,32,8192,19745
server,32,8192,19940
client,32,8192,20247
server,32,8192,24052
client,32,8192,24284
server,32,8192,19265
client,32,8192,19477
server,32,8192,21991
client,32,8192,22213
server,32,8192,19048
client,32,8192,25196
server,32,8192,18961
client,32,8192,19140
server,32,8192,18755
client,32,8192,18915
server,32,8192,18951
client,32,8192,19137
server,32,8192,19183
client,32,8192,19391
server,32,8192,19315
client,32,8192,19558
server,32,8192,19031
client,32,8192,19299
server,32,8192,19283
client,32,8192,19510
server,32,8192,19281
client,32,8192,19513
server,32,8192,19442
client,32,8192,19712
server,32,8192,18942
client,32,8192,19179
server,32,8192,19164
client,32,8192,19396
server,32,8192,19388
client,32,8192,19598
server,32,8192,19208
client,32,8192,19459
server,32,8192,19051
client,32,8192,19316
server,32,8192,19120
client,32,8192,19330
server,32,8192,18864
client,32,8192,19070
server,32,8192,19491
client,32,8192,19726
server,32,8192,19149
client,32,8192,19360
server,32,8192,19135
client,32,8192,19326
server,32,8192,18905
client,32,8192,19125
server,32,8192,19505
client,32,8192,19750
server,32,8192,19355
client,32,8192,19620
server,32,8192,19307
client,32,8192,19547
server,32,8192,19049
client,32,8192,19268
server,32,8192,19304
client,32,8192,19538
server,32,8192,19003
client,32,8192,19229
server,32,8192,19356
client,32,8192,19562
server,32,8192,18989
