endpoint,keylen,time
server,1024,7160
client,1024,942
server,1024,3325
client,1024,538
client,1024,542
server,1024,3535
server,1024,3289
client,1024,542
server,1024,3379
client,1024,542
server,2048,22972
client,2048,1614
client,2048,1559
server,2048,17240
client,2048,1531
server,2048,18882
client,2048,2043
server,2048,18968
client,2048,1497
server,2048,17369
server,4096,132275
client,4096,5655
client,4096,4994
server,4096,107783
client,4096,5094
server,4096,108147
client,4096,4911
server,4096,105331
client,4096,4773
server,4096,106734
server,8192,945349
client,8192,17398
client,8192,16684
server,8192,827470
server,8192,815699
client,8192,20834
server,8192,782872
client,8192,16473
client,8192,17023
server,8192,761960
