endpoint,operation,msglen,time
client,hash,8192,40
server,verify,8192,39
server,hash,8192,40
client,verify,8192,40
client,hash,8192,40
server,verify,8192,41
server,hash,8192,41
client,verify,8192,40
client,hash,8192,41
server,verify,8192,41
server,hash,8192,42
client,verify,8192,46
client,hash,8192,40
server,verify,8192,40
server,hash,8192,42
client,verify,8192,52
client,hash,8192,40
server,verify,8192,40
server,hash,8192,44
client,verify,8192,41
client,hash,16384,76
server,verify,16384,77
server,hash,16384,84
client,verify,16384,76
client,hash,16384,76
server,verify,16384,75
server,hash,16384,76
client,verify,16384,78
client,hash,16384,76
server,verify,16384,76
server,hash,16384,75
client,verify,16384,73
client,hash,16384,75
server,verify,16384,77
server,hash,16384,76
client,verify,16384,75
client,hash,16384,76
server,verify,16384,79
server,hash,16384,113
client,verify,16384,79
