endpoint,min_input,max_input,cycles,time
server,32,8192,308069144,118810
client,32,8192,200698200,77402
server,32,8192,208798732,80524
client,32,8192,62965819,24283
server,32,8192,185080561,71377
client,32,8192,23147711,8927
server,32,8192,186148877,71789
client,32,8192,66826796,25773
server,32,8192,187390924,72268
client,32,8192,61384089,23674
server,32,8192,185472104,71529
client,32,8192,22320544,8608
server,32,8192,176733694,68160
client,32,8192,80056282,30875
server,32,8192,190735894,73562
client,32,8192,22457973,8662
server,32,8192,187997686,72503
client,32,8192,194389431,74967
server,32,8192,191461934,73839
client,32,8192,20987742,8095
server,32,8192,188363299,72643
client,32,8192,20749186,8002
server,32,8192,189190466,72963
client,32,8192,39683272,15304
server,32,8192,186444479,71903
client,32,8192,50861695,19615
server,32,8192,186130726,71782
client,32,8192,20824383,8031
server,32,8192,188220684,72588
client,32,8192,25784792,9946
server,32,8192,185850682,71675
client,32,8192,55160889,21273
server,32,8192,190777382,73575
client,32,8192,21641178,8347
server,32,8192,194179398,74887
client,32,8192,24143423,9311
server,32,8192,187359808,72255
client,32,8192,27612857,10649
server,32,8192,193787855,74735
client,32,8192,40790483,15731
server,32,8192,184427125,71125
client,32,8192,26248939,10124
server,32,8192,199139807,76800
client,32,8192,21272972,8205
server,32,8192,191635665,73906
client,32,8192,22491682,8674
server,32,8192,186190365,71805
client,32,8192,59794580,23060
server,32,8192,187136810,72169
client,32,8192,78145241,30137
server,32,8192,186981230,72110
client,32,8192,63728161,24578
server,32,8192,180060513,69442
client,32,8192,54398547,20979
server,32,8192,185054631,71367
client,32,8192,21086276,8133
server,32,8192,182765012,70485
client,32,8192,26041499,10043
server,32,8192,187930268,72477
client,32,8192,21127764,8148
server,32,8192,185228362,71434
client,32,8192,54222223,20912
server,32,8192,185661393,71602
client,32,8192,21011079,8103
server,32,8192,182570537,70409
client,32,8192,43370518,16726
server,32,8192,183047649,70593
client,32,8192,177789045,68565
server,32,8192,193715251,74707
client,32,8192,48696540,18780
server,32,8192,185088340,71381
client,32,8192,21086276,8132
server,32,8192,189976145,73266
client,32,8192,26899782,10375
server,32,8192,196430122,75754
client,32,8192,65543261,25280
server,32,8192,186325201,71855
client,32,8192,25784792,9943
server,32,8192,187103101,72157
client,32,8192,77476247,29881
server,32,8192,187377959,72263
client,32,8192,70915957,27350
server,32,8192,184188569,71035
client,32,8192,40274476,15532
server,32,8192,185874019,71683
client,32,8192,149053419,57483
server,32,8192,205303368,79177
client,32,8192,75261825,29025
server,32,8192,213629491,82388
client,32,8192,21897885,8446
server,32,8192,185487662,71534
client,32,8192,52510843,20251
server,32,8192,192872526,74387
client,32,8192,77631827,29941
server,32,8192,188822260,72820
client,32,8192,29829872,11505
server,32,8192,190798126,73583
client,32,8192,25222111,9727
server,32,8192,200778583,77431
client,32,8192,35251835,13595
server,32,8192,189343453,73021
client,32,8192,29790977,11489
server,32,8192,192398007,74200
client,32,8192,22374997,8630
server,32,8192,190427327,73439
client,32,8192,26663819,10282
server,32,8192,187227565,72205
client,32,8192,39914049,15394
server,32,8192,177340456,68393
client,32,8192,188793737,72809
server,32,8192,199290201,76857
client,32,8192,50835765,19605
server,32,8192,196391227,75739
client,32,8192,181647429,70053
server,32,8192,197350637,76110
client,32,8192,70246963,27092
server,32,8192,196912420,75942
client,32,8192,21884920,8440
server,32,8192,189377162,73034
client,32,8192,118411938,45667
server,32,8192,211466929,81543
client,32,8192,25281750,9751
server,32,8192,186900847,72080
client,32,8192,55389073,21362
server,32,8192,180485765,69605
client,32,8192,126940315,48956
server,32,8192,181434803,69971
client,32,8192,20362829,7854
server,32,8192,186747860,72020
client,32,8192,79952562,30834
server,32,8192,188085848,72536
client,32,8192,48006802,18514
server,32,8192,186358910,71870
client,32,8192,44560705,17185
server,32,8192,182972452,70564
client,32,8192,69601306,26842
server,32,8192,183013940,70580
client,32,8192,91683294,35358
server,32,8192,185731404,71628
client,32,8192,20839941,8038
server,32,8192,185801415,71655
client,32,8192,29513526,11383
server,32,8192,176749252,68164
client,32,8192,48330927,18639
server,32,8192,175227161,67579
client,32,8192,20220214,7799
server,32,8192,187676154,72378
client,32,8192,59903486,23102
server,32,8192,185145386,71403
client,32,8192,21034416,8112
server,32,8192,177980927,68640
client,32,8192,26202265,10105
server,32,8192,179793434,69338
client,32,8192,140104976,54032
server,32,8192,181354420,69941
client,32,8192,21877141,8437
server,32,8192,183402890,70730
client,32,8192,21094055,8136
server,32,8192,185542115,71556
client,32,8192,25688851,9908
server,32,8192,183249903,70672
client,32,8192,20938475,8076
server,32,8192,184401195,71115
client,32,8192,58842949,22693
server,32,8192,188256986,72602
client,32,8192,57403834,22138
server,32,8192,183140997,70630
client,32,8192,40458579,15603
server,32,8192,184357114,71099
client,32,8192,58020968,22376
server,32,8192,185534336,71552
client,32,8192,28473733,10981
server,32,8192,188739284,72788
client,32,8192,20310969,7833
server,32,8192,184115965,71006
client,32,8192,71919448,27738
server,32,8192,186058122,71754
client,32,8192,26396740,10180
server,32,8192,183117660,70620
client,32,8192,20845127,8039
server,32,8192,184818668,71276
client,32,8192,20951440,8080
server,32,8192,182337167,70320
client,32,8192,22442415,8656
server,32,8192,185575824,71568
client,32,8192,26150405,10085
server,32,8192,192906235,74395
client,32,8192,21623027,8339
server,32,8192,190300270,73391
client,32,8192,26033720,10041
server,32,8192,188780772,72804
