endpoint,time
server,22759
client,1493
server,17456
server,16960
client,1444
client,1430
server,16333
client,1472
server,16604
client,1510
server,17778
client,1382
server,16559
client,1465
server,17224
client,1476
server,16560
client,1364
server,16369
client,1486
server,16822
client,1462
server,16471
client,1396
server,16317
client,1482
server,16463
client,1501
server,16499
client,1488
server,16488
client,1503
server,16388
client,1487
server,16513
client,1429
server,18001
client,1499
server,16544
client,1421
server,16654
client,1418
server,16809
client,1566
server,16574
client,1416
server,16570
server,16565
client,1425
client,1376
server,16628
client,1524
server,16666
client,1424
server,16548
client,1464
server,16716
client,1618
server,17079
client,1386
server,16541
client,1427
server,16438
client,1403
server,16667
client,1369
server,16280
client,1402
server,16274
server,16431
client,1474
client,1445
server,16509
client,1459
server,16630
client,1519
server,17425
server,17271
client,1413
client,1436
server,16890
client,1514
server,16665
server,16368
client,1355
client,1392
server,16308
client,1494
server,16513
client,1493
server,16444
client,1382
server,16659
client,1431
server,16686
client,1444
server,16408
client,1531
server,16497
client,1392
server,16570
client,1414
server,16336
client,1489
server,16424
client,1463
server,16431
client,1458
server,16736
client,1486
server,16998
client,1492
server,16410
client,1428
server,16798
client,1851
server,18303
client,2161
server,17735
client,1597
server,17122
client,1409
server,16824
client,1414
server,16743
client,1394
server,16582
client,1496
server,16363
client,1488
server,16470
client,1556
server,16561
client,1477
server,16472
client,1471
server,16748
client,1380
server,16579
client,1384
server,16293
client,1516
server,16678
client,1485
server,16549
client,1430
server,16445
client,1495
server,16549
client,1455
server,16677
client,1415
server,16443
client,1501
server,16437
client,1447
server,16350
client,1434
server,16342
client,1424
server,16409
client,1435
server,16428
client,1410
server,16404
client,1375
server,16707
client,1457
server,16395
client,1426
server,16301
client,1475
server,16323
client,1433
server,16384
client,1504
server,16478
client,1420
server,16668
client,1486
server,16462
client,1414
server,16637
client,1466
server,16362
client,1413
server,16339
server,16827
client,1394
client,1391
server,16333
client,1460
server,16494
client,1462
server,16477
client,1447
server,16410
client,1462
server,16416
client,1438
server,16319
client,1425
server,16274
client,1421
server,16501
client,1434
server,16491
client,1413
server,16551
client,1431
server,16428
client,1454
server,16466
client,1385
server,16622
client,1437
server,16300
client,1480
server,16501
server,16393
client,1431
server,16362
client,1450
client,1405
server,16424
client,1458
server,16434
client,1532
server,16524
client,1521
server,16587
client,1426
server,16610
client,1527
server,16531
client,1498
server,16583
server,16442
client,1461
server,16315
client,1401
server,16180
client,1387
client,1451
server,16807
client,1515
server,16466
client,1530
server,16783
server,16404
client,1476
client,1373
server,16575
client,1516
server,16582
client,1512
server,16493
client,1516
server,16454
server,17565
client,1457
client,1633
server,17657
client,1488
server,17594
client,1535
server,16944
client,1428
server,17334
client,1476
server,16456
client,1447
server,16613
client,1446
server,16257
client,1602
server,16698
client,1432
server,16390
client,1439
server,16391
client,1471
server,16394
client,1453
server,16587
client,1451
server,16673
client,1450
server,17441
client,1419
server,16906
client,1379
server,16920
client,1483
server,16854
client,1414
server,16703
client,1450
server,16368
client,1541
server,16511
client,1506
server,16458
client,1500
server,16811
client,1626
server,16711
client,1576
server,17057
client,1365
server,16480
client,1484
server,16491
client,1502
server,16450
client,1507
server,16997
client,1430
server,16415
client,1486
server,16992
client,1372
server,16689
client,1554
server,16781
client,1404
server,16443
client,1486
server,16831
client,1372
server,16683
client,1558
server,16885
client,1377
server,16548
client,1445
server,16690
client,1461
server,16459
client,1533
server,16548
client,1454
server,16501
client,1448
server,16406
client,1467
server,16461
server,16981
client,1544
client,1397
server,16412
client,1493
server,16851
client,1499
server,16476
client,1538
server,16828
client,1528
server,16461
client,1522
server,16804
client,1523
server,16436
client,1489
server,16536
client,1432
server,16423
client,1454
server,16594
client,1410
server,16183
client,1532
server,16624
client,1527
server,16313
client,1582
server,16647
client,1554
server,16481
client,1699
server,16820
client,1547
server,16393
client,1489
server,16722
client,1569
server,16490
client,1512
server,16886
client,1517
server,16384
client,1533
server,16616
client,1490
server,16454
client,1543
server,16734
client,1881
server,17348
client,1482
server,16776
client,1411
server,16643
client,1397
server,16848
client,1421
server,16532
client,1519
server,16696
client,1514
server,16446
client,1526
server,17021
client,1428
server,16507
server,16758
client,1532
client,1362
server,16370
client,1538
server,16900
client,1370
server,16514
client,1450
server,16620
client,1468
server,16414
client,1456
server,16735
client,1427
server,16382
client,1482
server,17120
client,1385
server,16352
client,1459
server,16682
client,1418
server,16647
client,1435
server,16730
client,1438
server,16278
server,16537
client,1458
client,1392
server,16225
client,1456
server,17014
client,1445
server,16360
client,1434
server,16387
client,1450
server,16370
server,16888
client,1430
client,1475
server,16400
client,1358
server,16607
client,1452
server,16454
client,1467
server,16682
client,1425
server,16417
client,1436
server,16731
client,1448
server,16359
client,1423
server,16596
client,1382
server,16853
client,1472
server,16833
client,1458
server,16398
client,1478
server,16709
client,1476
server,16469
client,1484
server,16688
client,1439
server,16315
client,1444
server,16676
client,1442
server,16377
client,1444
server,16831
client,1508
server,16454
client,1474
server,16681
server,16425
client,1556
server,16523
client,1416
client,1401
server,16529
server,17473
client,1564
client,1519
server,16603
client,1414
server,16738
client,1390
server,16192
client,1541
server,16987
client,1506
server,16402
client,1481
server,16655
client,1543
server,16349
server,16836
client,1531
client,1415
server,16210
client,1405
server,16616
server,16495
client,1501
client,1366
server,16640
client,1430
server,16103
client,1463
server,16756
client,1508
server,16504
client,1479
server,16854
client,1433
server,16226
client,1545
server,16667
client,1423
server,16431
client,1431
server,16578
client,1409
server,16437
client,1470
server,16817
client,1459
server,16462
client,1452
server,16813
client,1443
server,16320
client,1477
server,16547
client,1430
server,16353
client,1535
server,16744
client,1374
server,16501
server,16911
client,1379
client,1346
server,16416
client,1503
server,16832
client,1412
server,16474
client,1524
server,16728
client,1370
server,16462
client,1432
server,16654
client,1416
server,16323
server,16915
client,1432
server,16300
client,1396
client,1475
server,16711
client,1464
server,16372
client,1449
server,16601
client,1507
server,16565
server,17052
client,1519
client,1421
server,16386
server,16985
client,1494
client,1419
server,16317
server,17027
client,1558
client,1412
server,16553
client,1563
server,17030
client,1516
server,16360
client,1491
server,16607
client,1475
server,16366
client,1434
server,16622
client,1422
server,16260
client,1412
server,17899
client,1518
server,17088
client,1546
server,17800
client,1419
server,16891
server,17028
client,1404
client,1369
server,16291
client,1437
server,16830
client,1482
server,16373
client,1418
server,16362
client,1457
server,16390
server,16643
client,1550
client,1403
server,16262
client,1572
server,17112
client,1483
server,16373
server,16717
client,1596
client,1392
server,16365
client,1387
server,16596
client,1455
server,16689
client,1393
server,16821
client,1536
server,16578
server,16921
client,1392
client,1370
server,16383
server,16879
client,1395
client,1382
server,16466
client,1550
server,16914
server,16437
client,1428
client,1367
server,16652
client,1454
server,16337
client,1447
server,16791
client,1456
server,16384
client,1464
server,16843
server,16304
client,1439
client,1389
server,16644
server,16856
client,1631
client,1445
server,16645
client,1532
server,16374
client,1496
server,16752
client,1507
server,16507
client,1488
server,16842
server,16462
client,1522
client,1396
server,16848
client,1521
server,16486
client,1491
server,16854
client,1384
server,16556
client,1437
server,16809
client,1361
server,16438
client,1524
server,16852
client,1403
server,16725
server,16841
client,1516
client,1399
server,16300
server,17118
client,1544
client,1392
server,16786
client,1794
server,20101
client,2115
server,17651
client,1929
server,17662
client,1420
server,16878
server,16681
client,1449
server,16506
client,1428
client,1428
server,17069
client,1427
server,16477
client,1515
server,16778
client,1393
server,16497
client,1508
server,17055
client,1400
server,16384
client,1545
server,16880
client,1488
server,16444
client,1530
server,17016
client,1429
server,16259
client,1473
server,16958
client,1423
server,16409
client,1404
server,16756
client,1394
server,16727
client,1512
server,17181
client,1539
server,16459
client,1519
server,16941
client,1541
server,16460
client,1532
server,16970
client,1356
server,16526
server,16880
client,1565
client,1413
server,16293
client,1509
server,17129
client,1504
server,16679
client,1485
server,17109
server,16405
client,1496
server,16966
client,1436
client,1414
server,16464
server,16888
client,1405
client,1393
server,16389
server,17049
client,1490
client,1367
server,16351
client,1404
server,16895
client,1373
server,16404
client,1569
server,16792
client,1431
server,16331
server,16956
client,1528
client,1407
server,16204
client,1536
server,16833
client,1461
server,16359
client,1459
server,16957
server,16443
client,1501
client,1394
server,17052
client,1373
server,16457
client,1488
server,17069
client,1392
server,16382
client,1449
server,16588
client,1571
server,16840
client,1491
server,17044
client,1507
server,16310
client,1518
server,17272
client,1479
server,16449
client,1556
server,17140
client,309011
server,323908
client,1623
server,16562
client,1485
server,16891
client,1526
server,16539
client,1549
server,17221
client,1526
server,16592
client,1478
server,16860
client,1528
server,16582
server,16992
client,1490
client,1368
server,16380
server,17100
client,1473
client,1345
server,16323
client,1544
server,16916
client,1487
server,16386
client,1510
server,16806
client,1528
server,16345
client,1498
server,16802
client,1526
server,16458
client,1454
server,16723
client,1554
server,16500
client,1494
server,16781
server,16390
client,1403
client,1419
server,16812
server,16501
client,1385
server,16870
client,1421
client,1370
server,16297
server,16923
client,1486
client,1420
server,16234
client,1529
server,16897
client,1556
server,16325
client,1537
server,17000
client,1498
server,16510
client,1507
server,16844
client,1442
server,16423
client,1425
server,17044
client,1376
server,16494
client,1395
server,16938
client,1460
server,16492
client,1486
server,16855
server,16337
client,1446
client,1430
server,17151
client,1491
server,16500
client,1438
server,16847
client,1427
server,16424
client,1424
server,16854
client,1413
server,16367
client,1430
server,17097
client,1421
server,16244
client,1435
server,17020
client,1446
server,16249
client,1427
server,16701
client,1463
server,16253
client,1447
server,16812
client,1437
server,16770
client,1455
server,16696
client,1483
server,16432
client,1455
server,17053
client,1456
server,16416
client,1424
server,16803
client,1433
server,16189
client,1439
server,16760
client,1419
server,16201
client,1421
server,16805
client,1468
server,16374
client,1441
server,16774
client,1422
server,16298
client,1437
server,17139
client,1374
server,16350
client,1435
server,17151
client,1427
server,16323
client,1407
server,16935
client,1464
server,16539
client,1465
server,16924
client,1433
server,16357
client,1508
server,16973
server,16350
client,1495
server,17361
client,1412
client,1395
server,16427
client,1580
server,17270
server,16453
client,1404
client,1382
server,16623
client,1367
server,16386
client,1424
server,16913
client,1430
server,16344
client,1466
server,17096
client,1421
server,16249
client,1424
server,16874
client,1398
server,16346
client,1456
server,17099
client,1617
server,17203
client,1451
server,16724
client,1510
server,16447
client,1489
server,17114
