endpoint,time
client,1419
server,22612
server,16805
client,1535
server,16917
client,1634
client,1543
server,16649
client,1464
server,16580
client,1428
server,16594
server,17125
client,1518
server,16617
client,1542
server,16557
client,1502
server,17395
client,1541
server,16611
client,1537
server,16805
client,1622
server,17356
client,1522
server,16644
client,1542
server,16536
client,1516
server,16515
client,1541
server,16505
client,1458
server,17340
client,1586
server,16564
client,1402
server,16515
client,1417
server,16492
client,1465
server,16550
client,1565
server,17058
client,1485
server,16611
client,1486
client,1513
server,16582
server,17293
client,1581
client,1548
server,16653
client,1489
server,16734
server,16936
client,1531
server,16378
client,1574
server,16336
client,1629
server,17284
client,1536
server,16724
client,1560
server,16635
client,1522
client,1462
server,16849
client,1523
server,16603
server,16479
client,1406
server,17070
client,1505
server,16643
client,1525
client,1544
server,16621
server,16941
client,1555
server,16756
client,1567
server,17359
client,1547
client,1579
server,16712
server,16579
client,1478
server,17118
client,1557
server,16587
client,1440
server,16483
client,1451
client,1445
server,16555
server,16585
client,1420
client,1431
server,16531
server,16440
client,1488
server,17308
client,1553
server,16589
client,1457
server,16147
client,1429
server,16983
client,1396
server,16494
client,1399
server,16468
client,1404
server,16859
client,1501
server,16423
client,1432
server,16392
client,1479
client,1467
server,16442
server,16580
client,1470
server,17150
client,1407
server,16681
client,1421
server,16407
client,1455
client,1562
server,17039
client,1458
server,16567
client,1444
server,16576
server,16961
client,1512
server,16583
client,1509
server,16538
client,1462
server,16763
client,1506
client,1538
server,17054
server,17215
client,1511
server,16890
client,1516
client,1499
server,16622
server,16919
client,1503
server,16519
client,1533
server,16516
client,1420
client,1443
server,16545
server,16560
client,1438
server,16816
client,1522
server,16250
client,1480
server,16846
client,1549
server,16534
client,1380
client,1461
server,16661
client,1520
server,16654
client,1483
server,16434
client,1494
server,16954
server,16517
client,1421
server,16233
client,1453
server,16855
client,1465
server,16552
client,1459
server,16515
client,1436
server,16947
client,1469
server,16489
client,1437
client,1433
server,16550
server,16918
client,1511
client,1521
server,16639
client,1426
server,16551
server,16765
client,1565
client,1494
server,16554
server,16569
client,1532
server,16913
client,1546
server,16691
client,1517
server,17499
client,1520
server,16817
client,1541
server,16551
client,1520
client,1551
server,16954
client,1480
server,16525
server,17277
client,1638
server,16602
client,1515
server,16683
client,1594
client,1481
server,16938
server,16467
client,1479
server,16715
client,1581
server,16746
client,1448
server,16592
client,1482
server,16779
client,1535
server,16166
client,1430
server,17048
client,1417
client,1404
server,16553
client,1423
server,16500
server,16792
client,1452
client,1509
server,16661
client,1509
server,16539
server,16933
client,1630
client,1526
server,16679
server,17238
client,1418
client,1476
server,16574
client,1512
server,16574
server,16882
client,1728
server,16646
client,1563
server,17346
client,1542
server,16491
client,1510
server,16514
client,1471
server,16860
client,1622
server,16575
client,1444
client,1495
server,16607
server,16830
client,1533
server,16590
client,1435
server,16253
client,1499
client,1930
server,17175
server,16546
client,1433
server,17285
client,1474
client,1462
server,16533
client,1452
server,16523
server,16806
client,1669
server,16545
client,1401
server,16520
client,1402
server,24194
client,1688
server,16642
client,1558
client,1480
server,16571
server,17267
client,2132
server,17251
client,1443
client,1460
server,16580
server,16475
client,1517
server,16970
client,1824
server,16582
client,1480
server,16411
client,1459
server,16656
client,1537
server,16675
client,1460
server,16582
