endpoint,min_input,max_input,time
server,32,8192,28424
client,32,8192,28832
server,32,8192,20393
client,32,8192,20749
server,32,8192,20034
client,32,8192,20334
server,32,8192,20230
client,32,8192,20615
server,32,8192,20214
client,32,8192,20593
server,32,8192,19850
client,32,8192,20183
server,32,8192,20101
client,32,8192,20444
server,32,8192,20314
client,32,8192,20679
server,32,8192,20348
client,32,8192,20753
server,32,8192,20317
client,32,8192,20620
server,32,8192,19710
client,32,8192,20067
server,32,8192,19788
client,32,8192,20137
server,32,8192,19571
client,32,8192,19952
server,32,8192,20039
client,32,8192,20373
server,32,8192,20135
client,32,8192,20504
server,32,8192,20355
client,32,8192,20782
server,32,8192,20213
client,32,8192,20625
server,32,8192,19806
client,32,8192,20126
server,32,8192,20537
client,32,8192,20899
server,32,8192,20274
client,32,8192,20651
server,32,8192,20135
client,32,8192,20519
server,32,8192,20254
client,32,8192,20592
server,32,8192,20128
client,32,8192,20484
server,32,8192,20475
client,32,8192,20879
server,32,8192,20350
client,32,8192,20758
server,32,8192,20272
client,32,8192,20612
server,32,8192,20472
client,32,8192,20812
server,32,8192,20419
client,32,8192,20789
server,32,8192,20419
client,32,8192,20767
server,32,8192,20031
client,32,8192,20348
server,32,8192,20142
client,32,8192,20469
server,32,8192,19922
client,32,8192,20298
server,32,8192,19940
client,32,8192,20320
server,32,8192,20041
client,32,8192,20375
server,32,8192,20458
client,32,8192,20801
server,32,8192,20081
client,32,8192,20456
server,32,8192,20427
client,32,8192,20801
server,32,8192,21184
client,32,8192,21503
server,32,8192,20786
client,32,8192,21100
server,32,8192,19618
client,32,8192,19942
server,32,8192,19714
client,32,8192,20032
server,32,8192,20191
client,32,8192,20539
server,32,8192,20071
client,32,8192,20372
server,32,8192,20831
client,32,8192,21190
server,32,8192,20488
client,32,8192,20893
server,32,8192,20094
client,32,8192,20437
server,32,8192,19998
client,32,8192,20348
server,32,8192,20249
client,32,8192,20625
server,32,8192,20096
client,32,8192,20493
server,32,8192,20366
client,32,8192,20728
server,32,8192,19836
client,32,8192,20171
server,32,8192,20126
client,32,8192,20508
server,32,8192,19735
client,32,8192,20133
server,32,8192,19996
client,32,8192,20345
server,32,8192,20042
client,32,8192,20411
server,32,8192,19962
client,32,8192,20338
server,32,8192,20216
client,32,8192,20602
server,32,8192,20147
client,32,8192,20500
server,32,8192,20182
client,32,8192,20537
server,32,8192,20158
client,32,8192,20503
server,32,8192,20366
client,32,8192,20718
server,32,8192,20120
client,32,8192,20531
server,32,8192,20048
client,32,8192,20443
server,32,8192,20118
client,32,8192,20433
server,32,8192,20154
client,32,8192,20450
server,32,8192,20197
client,32,8192,20573
server,32,8192,19935
client,32,8192,20287
server,32,8192,19904
client,32,8192,20251
server,32,8192,20567
client,32,8192,20914
server,32,8192,19855
client,32,8192,20201
server,32,8192,19905
client,32,8192,20289
server,32,8192,19751
client,32,8192,20081
server,32,8192,20240
client,32,8192,20590
server,32,8192,20097
client,32,8192,20473
server,32,8192,20160
client,32,8192,20565
server,32,8192,20284
client,32,8192,20631
server,32,8192,20213
client,32,8192,20577
server,32,8192,20181
client,32,8192,20587
server,32,8192,20471
client,32,8192,20860
server,32,8192,20025
client,32,8192,20370
server,32,8192,20188
client,32,8192,20537
server,32,8192,19945
client,32,8192,20356
server,32,8192,20089
client,32,8192,20483
server,32,8192,20396
client,32,8192,20731
server,32,8192,20341
client,32,8192,20702
server,32,8192,20344
client,32,8192,20759
server,32,8192,20408
client,32,8192,20792
server,32,8192,20284
client,32,8192,20540
server,32,8192,20152
client,32,8192,20521
server,32,8192,19801
client,32,8192,20177
server,32,8192,19817
client,32,8192,20153
server,32,8192,19593
client,32,8192,19899
server,32,8192,20275
client,32,8192,20630
server,32,8192,20147
client,32,8192,20552
server,32,8192,20100
client,32,8192,20487
server,32,8192,20032
client,32,8192,20353
server,32,8192,20316
client,32,8192,20674
server,32,8192,19955
client,32,8192,20374
server,32,8192,19946
client,32,8192,20345
server,32,8192,20250
client,32,8192,20604
server,32,8192,20032
client,32,8192,20380
server,32,8192,19928
client,32,8192,20319
server,32,8192,21648
client,32,8192,22043
server,32,8192,19835
client,32,8192,20177
server,32,8192,19550
client,32,8192,19865
server,32,8192,19702
client,32,8192,20039
server,32,8192,19843
client,32,8192,20179
server,32,8192,19719
client,32,8192,20055
server,32,8192,19768
client,32,8192,20084
server,32,8192,19735
client,32,8192,20114
server,32,8192,20068
client,32,8192,20454
server,32,8192,20245
client,32,8192,20599
server,32,8192,20288
client,32,8192,20641
server,32,8192,20268
client,32,8192,20657
server,32,8192,20273
client,32,8192,20705
server,32,8192,20154
client,32,8192,20504
server,32,8192,19900
client,32,8192,20246
server,32,8192,20027
client,32,8192,20413
server,32,8192,20258
client,32,8192,20650
server,32,8192,20003
client,32,8192,20389
server,32,8192,19998
client,32,8192,20384
server,32,8192,20328
client,32,8192,20706
server,32,8192,20553
client,32,8192,20948
server,32,8192,20165
client,32,8192,20567
server,32,8192,20090
client,32,8192,20505
server,32,8192,20307
client,32,8192,20662
server,32,8192,20079
client,32,8192,20451
server,32,8192,20326
client,32,8192,20732
server,32,8192,20757
client,32,8192,21140
server,32,8192,19766
client,32,8192,20121
server,32,8192,19964
client,32,8192,20305
server,32,8192,20418
client,32,8192,20858
server,32,8192,20404
client,32,8192,20793
server,32,8192,19788
client,32,8192,20120
server,32,8192,20248
client,32,8192,20562
server,32,8192,19821
client,32,8192,20174
server,32,8192,20035
client,32,8192,20398
server,32,8192,20144
client,32,8192,20498
server,32,8192,20189
client,32,8192,20521
server,32,8192,20011
client,32,8192,20398
server,32,8192,20400
client,32,8192,20760
server,32,8192,19606
