sec_lvl,test_id,time
1,0,33
1,0,1
1,0,1165
1,0,11
1,0,7
1,0,1
1,0,1000
1,0,28160
1,0,1
1,1,9
1,1,1
1,1,5
1,1,1
1,1,1
1,1,2
1,1,1207
1,1,17575
1,1,2
1,2,9
1,2,1
1,2,5
1,2,2
1,2,2
1,2,2
1,2,1126
1,2,17798
1,2,1
1,3,10
1,3,1
1,3,4
1,3,1
1,3,1
1,3,2
1,3,793
1,3,18197
1,3,2
1,4,9
1,4,2
1,4,6
1,4,2
1,4,1
1,4,2
1,4,853
1,4,16364
1,4,2
1,5,16
1,5,1
1,5,5
1,5,1
1,5,0
1,5,1
1,5,838
1,5,15927
1,5,1
1,6,8
1,6,1
1,6,5
1,6,1
1,6,2
1,6,2
1,6,899
1,6,15555
1,6,1
1,7,12
1,7,2
1,7,5
1,7,3
1,7,1
1,7,1
1,7,908
1,7,15759
1,7,1
1,8,9
1,8,2
1,8,5
1,8,1
1,8,1
1,8,1
1,8,804
1,8,16755
1,8,1
1,9,8
1,9,1
1,9,8
1,9,2
1,9,2
1,9,3
1,9,794
1,9,15894
1,9,1
1,10,9
1,10,1
1,10,5
1,10,1
1,10,2
1,10,1
1,10,863
1,10,15858
1,10,1
1,11,12
1,11,2
1,11,6
1,11,1
1,11,1
1,11,1
1,11,835
1,11,21853
1,11,1
1,12,10
1,12,0
1,12,4
1,12,1
1,12,1
1,12,3
1,12,789
1,12,16060
1,12,2
1,13,9
1,13,2
1,13,5
1,13,1
1,13,1
1,13,2
1,13,834
1,13,19407
1,13,1
1,14,9
1,14,2
1,14,9
1,14,2
1,14,1
1,14,2
1,14,925
1,14,15812
1,14,1
1,15,10
1,15,1
1,15,4
1,15,2
1,15,2
1,15,2
1,15,833
1,15,16180
1,15,1
1,16,9
1,16,1
1,16,4
1,16,1
1,16,1
1,16,2
1,16,893
1,16,16017
1,16,1
1,17,8
1,17,1
1,17,5
1,17,2
1,17,1
1,17,1
1,17,873
1,17,16506
1,17,2
1,18,12
1,18,2
1,18,5
1,18,2
1,18,1
1,18,2
1,18,906
1,18,16267
1,18,1
1,19,12
1,19,1
1,19,6
1,19,1
1,19,1
1,19,2
1,19,836
1,19,15947
1,19,1
1,20,9
1,20,1
1,20,5
1,20,1
1,20,1
1,20,1
1,20,895
1,20,15941
1,20,1
1,21,8
1,21,1
1,21,4
1,21,10
1,21,1
1,21,1
1,21,835
1,21,15843
1,21,1
1,22,13
1,22,2
1,22,7
1,22,1
1,22,1
1,22,1
1,22,819
1,22,15934
1,22,1
1,23,8
1,23,1
1,23,6
1,23,1
1,23,2
1,23,2
1,23,858
1,23,15820
1,23,1
1,24,8
1,24,3
1,24,4
1,24,1
1,24,11
1,24,2
1,24,780
1,24,16426
1,24,1
1,25,9
1,25,1
1,25,6
1,25,2
1,25,1
1,25,2
1,25,931
1,25,15960
1,25,1
1,26,13
1,26,1
1,26,4
1,26,1
1,26,1
1,26,1
1,26,842
1,26,16044
1,26,2
1,27,9
1,27,1
1,27,4
1,27,2
1,27,1
1,27,2
1,27,861
1,27,15881
1,27,1
1,28,8
1,28,0
1,28,7
1,28,2
1,28,1
1,28,2
1,28,839
1,28,15801
1,28,0
1,29,9
1,29,1
1,29,5
1,29,1
1,29,1
1,29,1
1,29,850
1,29,15478
1,29,2
2,0,13
2,0,2
2,0,6
2,0,2
2,0,1
2,0,3
2,0,2256
2,0,63971
2,0,2
2,1,10
2,1,1
2,1,5
2,1,1
2,1,1
2,1,1
2,1,1634
2,1,47007
2,1,2
2,2,9
2,2,1
2,2,6
2,2,2
2,2,1
2,2,2
2,2,1578
2,2,46400
2,2,2
2,3,13
2,3,1
2,3,6
2,3,2
2,3,1
2,3,1
2,3,1675
2,3,46660
2,3,1
2,4,13
2,4,1
2,4,5
2,4,2
2,4,2
2,4,2
2,4,1606
2,4,47255
2,4,2
2,5,8
2,5,1
2,5,7
2,5,1
2,5,1
2,5,2
2,5,1638
2,5,46104
2,5,1
2,6,13
2,6,2
2,6,4
2,6,1
2,6,1
2,6,1
2,6,1524
2,6,47698
2,6,1
2,7,8
2,7,1
2,7,5
2,7,1
2,7,0
2,7,2
2,7,1624
2,7,46001
2,7,2
2,8,9
2,8,1
2,8,5
2,8,1
2,8,1
2,8,3
2,8,1491
2,8,45531
2,8,0
2,9,9
2,9,0
2,9,5
2,9,1
2,9,0
2,9,1
2,9,1712
2,9,46441
2,9,2
2,10,9
2,10,0
2,10,4
2,10,1
2,10,1
2,10,2
2,10,1520
2,10,46973
2,10,1
2,11,8
2,11,0
2,11,4
2,11,1
2,11,1
2,11,1
2,11,1510
2,11,45749
2,11,15
2,12,8
2,12,1
2,12,5
2,12,1
2,12,1
2,12,2
2,12,1591
2,12,45846
2,12,1
2,13,9
