sec_lvl,test_id,operation,time
1,0,rsa_encrypt,13496
1,0,rsa_sign_with_sha256,41138
1,1,rsa_encrypt,798
1,1,rsa_sign_with_sha256,23785
1,2,rsa_encrypt,1195
1,2,rsa_sign_with_sha256,16261
1,3,rsa_encrypt,809
1,3,rsa_sign_with_sha256,16343
1,4,rsa_encrypt,948
1,4,rsa_sign_with_sha256,17953
1,5,rsa_encrypt,826
1,5,rsa_sign_with_sha256,22612
1,6,rsa_encrypt,787
1,6,rsa_sign_with_sha256,17484
1,7,rsa_encrypt,806
1,7,rsa_sign_with_sha256,16227
1,8,rsa_encrypt,786
1,8,rsa_sign_with_sha256,15970
1,9,rsa_encrypt,790
1,9,rsa_sign_with_sha256,15716
1,10,rsa_encrypt,777
1,10,rsa_sign_with_sha256,15879
1,11,rsa_encrypt,776
1,11,rsa_sign_with_sha256,15914
1,12,rsa_encrypt,785
1,12,rsa_sign_with_sha256,15709
1,13,rsa_encrypt,791
1,13,rsa_sign_with_sha256,16189
1,14,rsa_encrypt,787
1,14,rsa_sign_with_sha256,22731
1,15,rsa_encrypt,778
1,15,rsa_sign_with_sha256,25370
1,16,rsa_encrypt,842
1,16,rsa_sign_with_sha256,15754
1,17,rsa_encrypt,812
1,17,rsa_sign_with_sha256,15815
1,18,rsa_encrypt,780
1,18,rsa_sign_with_sha256,15945
1,19,rsa_encrypt,800
1,19,rsa_sign_with_sha256,15750
2,0,rsa_encrypt,1576
2,0,rsa_sign_with_sha256,59601
2,1,rsa_encrypt,1488
2,1,rsa_sign_with_sha256,51528
2,2,rsa_encrypt,1523
2,2,rsa_sign_with_sha256,47851
2,3,rsa_encrypt,1537
2,3,rsa_sign_with_sha256,46910
2,4,rsa_encrypt,1511
2,4,rsa_sign_with_sha256,49450
2,5,rsa_encrypt,1522
2,5,rsa_sign_with_sha256,50785
2,6,rsa_encrypt,1545
2,6,rsa_sign_with_sha256,47714
2,7,rsa_encrypt,1518
2,7,rsa_sign_with_sha256,46404
2,8,rsa_encrypt,1697
2,8,rsa_sign_with_sha256,47324
2,9,rsa_encrypt,1530
2,9,rsa_sign_with_sha256,52322
2,10,rsa_encrypt,1537
2,10,rsa_sign_with_sha256,48286
2,11,rsa_encrypt,1525
2,11,rsa_sign_with_sha256,46953
2,12,rsa_encrypt,1492
2,12,rsa_sign_with_sha256,46677
2,13,rsa_encrypt,1596
2,13,rsa_sign_with_sha256,46770
2,14,rsa_encrypt,1533
2,14,rsa_sign_with_sha256,47341
2,15,rsa_encrypt,1489
2,15,rsa_sign_with_sha256,46388
2,16,rsa_encrypt,1543
2,16,rsa_sign_with_sha256,46659
2,17,rsa_encrypt,1538
2,17,rsa_sign_with_sha256,47024
2,18,rsa_encrypt,1523
2,18,rsa_sign_with_sha256,47056
2,19,rsa_encrypt,1531
2,19,rsa_sign_with_sha256,47039
3,0,rsa_encrypt,7768
3,0,rsa_sign_with_sha256,712604
3,1,rsa_encrypt,7537
3,1,rsa_sign_with_sha256,621126
3,2,rsa_encrypt,7352
3,2,rsa_sign_with_sha256,625116
3,3,rsa_encrypt,7398
3,3,rsa_sign_with_sha256,619323
3,4,rsa_encrypt,7574
3,4,rsa_sign_with_sha256,625822
3,5,rsa_encrypt,7471
3,5,rsa_sign_with_sha256,653568
3,6,rsa_encrypt,7512
3,6,rsa_sign_with_sha256,636925
3,7,rsa_encrypt,7407
3,7,rsa_sign_with_sha256,623072
3,8,rsa_encrypt,7344
3,8,rsa_sign_with_sha256,684389
3,9,rsa_encrypt,7492
3,9,rsa_sign_with_sha256,639193
3,10,rsa_encrypt,7652
3,10,rsa_sign_with_sha256,630365
3,11,rsa_encrypt,7545
3,11,rsa_sign_with_sha256,626514
3,12,rsa_encrypt,7389
3,12,rsa_sign_with_sha256,630108
3,13,rsa_encrypt,7493
3,13,rsa_sign_with_sha256,646619
3,14,rsa_encrypt,7399
3,14,rsa_sign_with_sha256,688834
3,15,rsa_encrypt,8925
3,15,rsa_sign_with_sha256,706449
3,16,rsa_encrypt,7640
3,16,rsa_sign_with_sha256,661277
3,17,rsa_encrypt,8547
3,17,rsa_sign_with_sha256,632372
3,18,rsa_encrypt,7365
3,18,rsa_sign_with_sha256,642392
3,19,rsa_encrypt,7571
3,19,rsa_sign_with_sha256,632306
