endpoint,keylen,time
server,1024,5532
client,1024,5244
client,1024,3544
server,1024,3795
client,1024,3537
server,1024,3787
client,1024,3521
server,1024,3765
client,1024,3564
server,1024,3818
client,1024,3480
server,1024,3744
client,1024,3618
server,1024,3889
server,1024,3673
client,1024,3427
client,1024,3450
server,1024,3705
client,1024,3549
server,1024,3797
client,1024,3526
server,1024,3772
client,1024,3500
server,1024,3753
client,1024,3572
server,1024,3821
client,1024,3496
server,1024,3739
client,1024,3590
server,1024,3845
server,1024,3817
client,1024,3572
client,1024,3487
server,1024,3730
client,1024,3544
server,1024,3795
client,1024,3505
server,1024,3751
client,1024,3554
server,1024,3799
client,1024,3505
server,1024,3763
client,1024,3485
server,1024,3739
client,1024,3536
server,1024,3827
client,1024,5648
server,1024,5881
client,1024,3764
server,1024,4100
server,1024,3799
client,1024,3574
client,1024,3506
server,1024,3721
client,1024,3545
server,1024,3772
client,1024,313411
server,1024,313635
client,1024,3581
server,1024,3820
client,1024,3565
server,1024,3820
client,1024,3485
server,1024,3783
server,1024,3815
client,1024,3545
client,1024,3485
server,1024,3740
client,1024,3489
server,1024,3769
client,1024,3425
server,1024,3720
client,1024,3509
server,1024,3798
client,1024,3483
server,1024,3736
client,1024,3681
server,1024,3930
client,1024,3519
server,1024,3771
client,1024,3509
server,1024,3766
client,1024,3483
server,1024,3737
client,1024,3641
server,1024,3903
client,1024,3619
server,1024,3853
client,1024,3647
server,1024,3891
client,1024,3415
server,1024,3727
client,1024,3508
server,1024,3781
client,1024,3529
server,1024,3825
client,1024,3479
server,1024,3742
client,1024,3470
server,1024,3736
client,1024,3498
server,1024,4556
client,1024,3483
server,1024,3811
client,1024,3604
server,1024,3863
client,1024,3489
server,1024,3737
client,1024,3664
server,1024,3935
client,1024,3491
server,1024,3741
client,1024,3454
server,1024,3717
client,1024,3500
server,1024,3786
client,1024,3505
server,1024,3772
client,1024,3520
server,1024,3807
client,1024,3445
server,1024,3694
server,1024,3831
client,1024,3550
client,1024,3574
server,1024,3813
client,1024,3517
server,1024,3765
client,1024,3497
server,1024,3744
client,1024,3493
server,1024,3740
client,1024,3645
server,1024,3895
client,1024,3500
server,1024,3750
client,1024,3475
server,1024,3751
client,1024,5110
server,1024,5381
server,1024,4016
client,1024,3720
