sec_lvl,test_id,cycles,time
1,0,7779,2
1,0,2593,1
1,0,544530,211
1,0,2593,1
1,0,7779,2
1,0,0,1
1,0,2593,1
1,0,2593,1
1,0,130067473,50160
1,0,0,0
1,1,7779,1
1,1,2593,1
1,1,36302,14
1,1,5186,2
1,1,5186,2
1,1,0,1
1,1,0,1
1,1,2593,1
1,1,50156399,19341
1,1,0,0
1,2,7779,1
1,2,2593,1
1,2,33709,12
1,2,7779,2
1,2,2593,2
1,2,2593,1
1,2,2593,1
1,2,2593,2
1,2,10060840,3879
1,2,0,0
1,3,2593,1
1,3,0,1
1,3,28523,11
1,3,7779,2
1,3,5186,2
1,3,2593,1
1,3,0,1
1,3,2593,1
1,3,154177187,59456
1,3,21874548,8436
1,4,7779,1
1,4,2593,1
1,4,36302,13
1,4,5186,2
1,4,5186,2
1,4,0,1
1,4,0,1
1,4,2593,1
1,4,55599106,21440
1,4,0,0
1,5,5186,1
1,5,2593,0
1,5,31116,12
1,5,5186,2
1,5,5186,2
1,5,2593,0
1,5,2593,1
1,5,2593,1
1,5,151625675,58473
1,5,0,0
1,6,5186,1
1,6,2593,0
1,6,28523,11
1,6,5186,1
1,6,5186,2
1,6,2593,1
1,6,2593,1
1,6,5186,1
1,6,151589373,58459
1,6,0,0
1,7,5186,1
1,7,2593,0
1,7,28523,11
1,7,5186,1
1,7,5186,2
1,7,0,1
1,7,0,1
1,7,5186,1
1,7,153899736,59351
1,7,0,0
1,8,7779,1
1,8,0,1
1,8,36302,14
1,8,5186,1
1,8,5186,2
1,8,2593,1
1,8,2593,0
1,8,5186,1
1,8,95985081,37015
1,8,0,0
1,9,5186,1
1,9,2593,0
1,9,31116,12
1,9,5186,2
1,9,5186,2
1,9,2593,1
1,9,2593,1
1,9,5186,1
1,9,146683417,56567
1,9,0,0
1,10,5186,1
1,10,2593,1
1,10,36302,13
1,10,5186,1
1,10,7779,2
1,10,2593,1
1,10,2593,1
1,10,5186,1
1,10,10053061,3876
1,10,0,0
1,11,5186,1
1,11,0,1
1,11,31116,12
1,11,7779,2
1,11,5186,2
1,11,2593,0
1,11,2593,0
1,11,5186,1
1,11,141528533,54580
1,11,18462160,7120
1,12,5186,1
1,12,2593,1
1,12,33709,14
1,12,5186,1
1,12,7779,2
1,12,0,1
1,12,2593,0
1,12,5186,1
1,12,118793109,45812
1,12,0,0
1,13,5186,1
1,13,2593,1
1,13,33709,13
1,13,5186,1
1,13,5186,2
1,13,2593,0
1,13,2593,0
1,13,5186,1
1,13,10055654,3877
1,13,0,0
1,14,5186,1
1,14,2593,0
1,14,28523,11
1,14,5186,1
1,14,5186,2
1,14,2593,1
1,14,2593,1
1,14,2593,0
1,14,149004152,57464
1,14,0,0
1,15,7779,1
1,15,0,1
1,15,36302,14
1,15,5186,2
1,15,7779,2
1,15,2593,1
1,15,2593,0
1,15,5186,1
1,15,144118940,55579
1,15,0,0
1,16,5186,1
1,16,0,1
1,16,28523,12
1,16,5186,1
1,16,5186,2
1,16,2593,1
1,16,2593,1
1,16,2593,1
1,16,155522954,59977
1,16,1340581,517
1,17,7779,1
1,17,2593,1
1,17,36302,13
1,17,5186,1
1,17,5186,2
1,17,2593,0
1,17,2593,1
1,17,5186,1
1,17,151348224,58367
1,17,0,0
1,18,5186,1
1,18,2593,1
1,18,33709,13
1,18,5186,2
1,18,5186,2
1,18,2593,0
1,18,2593,1
1,18,5186,1
1,18,155836707,60099
1,18,3889500,1500
1,19,7779,2
1,19,0,1
1,19,33709,14
1,19,5186,1
1,19,5186,2
1,19,2593,1
1,19,2593,1
1,19,2593,1
1,19,155888567,60118
1,19,4869654,1879
1,20,7779,1
1,20,0,1
1,20,36302,14
1,20,5186,1
1,20,5186,2
1,20,2593,1
1,20,2593,1
1,20,5186,1
1,20,146711940,56579
1,20,0,0
1,21,7779,1
1,21,5186,1
1,21,38895,15
1,21,5186,1
1,21,5186,2
1,21,2593,0
1,21,2593,1
1,21,2593,1
1,21,10045282,3872
1,21,0,0
1,22,7779,2
1,22,2593,1
1,22,36302,13
1,22,5186,1
1,22,5186,2
1,22,2593,1
1,22,2593,0
1,22,5186,1
1,22,155388118,59924
1,22,1418371,547
1,23,5186,1
1,23,2593,1
1,23,28523,12
1,23,7779,2
1,23,5186,2
1,23,2593,0
1,23,2593,1
1,23,2593,1
1,23,138855150,53549
1,23,21635992,8345
1,24,5186,1
1,24,2593,1
1,24,36302,13
1,24,7779,2
1,24,5186,2
1,24,2593,1
1,24,2593,1
1,24,5186,1
1,24,146507093,56499
1,24,0,0
2,0,7779,1
2,0,2593,1
2,0,33709,14
2,0,7779,2
2,0,5186,2
2,0,2593,0
2,0,2593,0
2,0,5186,1
2,0,532786303,205470
2,0,20964405,8086
2,1,5186,2
2,1,0,1
2,1,36302,14
2,1,7779,2
2,1,5186,2
2,1,0,1
2,1,0,1
2,1,2593,0
2,1,150305838,57965
2,1,0,0
2,2,5186,2
2,2,2593,1
2,2,33709,12
2,2,7779,2
2,2,5186,2
2,2,0,1
2,2,0,1
2,2,2593,1
2,2,462723443,178450
2,2,22413892,8645
2,3,7779,1
2,3,2593,1
2,3,31116,12
2,3,5186,2
2,3,5186,2
2,3,2593,1
2,3,0,1
2,3,28523,1
2,3,455424148,175635
2,3,0,0
