sec_lvl,test_id,operation,time
1,0,rsa_decrypt,20929
1,0,sha256_hash_master_secret,19
1,0,sha256_hash_key_expansion,53
1,0,rsa_verify_with_sha256,497
1,1,rsa_decrypt,15759
1,1,sha256_hash_master_secret,21
1,1,sha256_hash_key_expansion,53
1,1,rsa_verify_with_sha256,519
1,2,rsa_decrypt,16078
1,2,sha256_hash_master_secret,21
1,2,sha256_hash_key_expansion,55
1,2,rsa_verify_with_sha256,501
1,3,rsa_decrypt,15566
1,3,sha256_hash_master_secret,20
1,3,sha256_hash_key_expansion,53
1,3,rsa_verify_with_sha256,500
1,4,rsa_decrypt,15486
1,4,sha256_hash_master_secret,21
1,4,sha256_hash_key_expansion,54
1,4,rsa_verify_with_sha256,507
1,5,rsa_decrypt,15620
1,5,sha256_hash_master_secret,21
1,5,sha256_hash_key_expansion,54
1,5,rsa_verify_with_sha256,502
1,6,rsa_decrypt,15809
1,6,sha256_hash_master_secret,21
1,6,sha256_hash_key_expansion,55
1,6,rsa_verify_with_sha256,503
1,7,rsa_decrypt,15595
1,7,sha256_hash_master_secret,21
1,7,sha256_hash_key_expansion,54
1,7,rsa_verify_with_sha256,507
1,8,rsa_decrypt,15629
1,8,sha256_hash_master_secret,21
1,8,sha256_hash_key_expansion,54
1,8,rsa_verify_with_sha256,504
1,9,rsa_decrypt,15616
1,9,sha256_hash_master_secret,20
1,9,sha256_hash_key_expansion,54
1,9,rsa_verify_with_sha256,528
1,10,rsa_decrypt,15833
1,10,sha256_hash_master_secret,21
1,10,sha256_hash_key_expansion,55
1,10,rsa_verify_with_sha256,504
1,11,rsa_decrypt,15804
1,11,sha256_hash_master_secret,21
1,11,sha256_hash_key_expansion,55
1,11,rsa_verify_with_sha256,504
1,12,rsa_decrypt,15610
1,12,sha256_hash_master_secret,20
1,12,sha256_hash_key_expansion,54
1,12,rsa_verify_with_sha256,503
1,13,rsa_decrypt,15331
1,13,sha256_hash_master_secret,19
1,13,sha256_hash_key_expansion,63
1,13,rsa_verify_with_sha256,525
1,14,rsa_decrypt,15453
1,14,sha256_hash_master_secret,20
1,14,sha256_hash_key_expansion,54
1,14,rsa_verify_with_sha256,517
1,15,rsa_decrypt,16164
1,15,sha256_hash_master_secret,22
1,15,sha256_hash_key_expansion,66
1,15,rsa_verify_with_sha256,513
1,16,rsa_decrypt,16037
1,16,sha256_hash_master_secret,21
1,16,sha256_hash_key_expansion,55
1,16,rsa_verify_with_sha256,504
1,17,rsa_decrypt,37422
1,17,sha256_hash_master_secret,34
1,17,sha256_hash_key_expansion,96
1,17,rsa_verify_with_sha256,746
1,18,rsa_decrypt,15636
1,18,sha256_hash_master_secret,21
1,18,sha256_hash_key_expansion,54
1,18,rsa_verify_with_sha256,505
1,19,rsa_decrypt,15679
1,19,sha256_hash_master_secret,21
1,19,sha256_hash_key_expansion,54
1,19,rsa_verify_with_sha256,539
2,0,rsa_decrypt,59156
2,0,sha256_hash_master_secret,21
2,0,sha256_hash_key_expansion,53
2,0,rsa_verify_with_sha256,1115
2,1,rsa_decrypt,46298
2,1,sha256_hash_master_secret,21
2,1,sha256_hash_key_expansion,55
2,1,rsa_verify_with_sha256,1079
2,2,rsa_decrypt,45824
2,2,sha256_hash_master_secret,21
2,2,sha256_hash_key_expansion,54
2,2,rsa_verify_with_sha256,1135
2,3,rsa_decrypt,46418
2,3,sha256_hash_master_secret,21
2,3,sha256_hash_key_expansion,54
2,3,rsa_verify_with_sha256,1077
2,4,rsa_decrypt,52052
2,4,sha256_hash_master_secret,36
2,4,sha256_hash_key_expansion,100
2,4,rsa_verify_with_sha256,1100
2,5,rsa_decrypt,46293
2,5,sha256_hash_master_secret,21
2,5,sha256_hash_key_expansion,55
2,5,rsa_verify_with_sha256,1078
2,6,rsa_decrypt,46005
2,6,sha256_hash_master_secret,20
2,6,sha256_hash_key_expansion,53
2,6,rsa_verify_with_sha256,1103
2,7,rsa_decrypt,65482
2,7,sha256_hash_master_secret,20
2,7,sha256_hash_key_expansion,55
2,7,rsa_verify_with_sha256,1110
2,8,rsa_decrypt,46044
2,8,sha256_hash_master_secret,21
2,8,sha256_hash_key_expansion,54
2,8,rsa_verify_with_sha256,1098
2,9,rsa_decrypt,46626
2,9,sha256_hash_master_secret,20
2,9,sha256_hash_key_expansion,54
2,9,rsa_verify_with_sha256,1162
2,10,rsa_decrypt,45672
2,10,sha256_hash_master_secret,21
2,10,sha256_hash_key_expansion,58
2,10,rsa_verify_with_sha256,1097
2,11,rsa_decrypt,46412
2,11,sha256_hash_master_secret,21
2,11,sha256_hash_key_expansion,55
2,11,rsa_verify_with_sha256,1100
2,12,rsa_decrypt,55531
2,12,sha256_hash_master_secret,38
2,12,sha256_hash_key_expansion,102
2,12,rsa_verify_with_sha256,1607
2,13,rsa_decrypt,46056
2,13,sha256_hash_master_secret,20
2,13,sha256_hash_key_expansion,55
2,13,rsa_verify_with_sha256,1134
2,14,rsa_decrypt,45603
2,14,sha256_hash_master_secret,21
2,14,sha256_hash_key_expansion,53
2,14,rsa_verify_with_sha256,1078
2,15,rsa_decrypt,46699
2,15,sha256_hash_master_secret,21
2,15,sha256_hash_key_expansion,54
2,15,rsa_verify_with_sha256,1133
2,16,rsa_decrypt,45665
2,16,sha256_hash_master_secret,20
2,16,sha256_hash_key_expansion,53
2,16,rsa_verify_with_sha256,1077
2,17,rsa_decrypt,46234
2,17,sha256_hash_master_secret,21
2,17,sha256_hash_key_expansion,53
2,17,rsa_verify_with_sha256,1088
2,18,rsa_decrypt,47945
2,18,sha256_hash_master_secret,21
2,18,sha256_hash_key_expansion,55
2,18,rsa_verify_with_sha256,1103
2,19,rsa_decrypt,45452
2,19,sha256_hash_master_secret,20
2,19,sha256_hash_key_expansion,53
2,19,rsa_verify_with_sha256,1100
3,0,rsa_decrypt,687351
3,0,sha256_hash_master_secret,21
3,0,sha256_hash_key_expansion,53
3,0,rsa_verify_with_sha256,6258
3,1,rsa_decrypt,611233
3,1,sha256_hash_master_secret,20
3,1,sha256_hash_key_expansion,53
3,1,rsa_verify_with_sha256,6248
3,2,rsa_decrypt,626477
3,2,sha256_hash_master_secret,21
