endpoint,operation,msglen,time
client,encrypt,8192,325
server,decrypt,8192,164
server,encrypt,8192,166
client,decrypt,8192,158
client,encrypt,8192,229
server,decrypt,8192,144
server,encrypt,8192,142
client,decrypt,8192,141
client,encrypt,8192,151
server,decrypt,8192,178
server,encrypt,8192,144
client,decrypt,8192,337
client,encrypt,8192,161
server,decrypt,8192,177
server,encrypt,8192,279
client,decrypt,8192,161
client,encrypt,8192,146
server,decrypt,8192,142
server,encrypt,8192,144
client,decrypt,8192,154
client,encrypt,16384,378
server,decrypt,16384,281
server,encrypt,16384,318
client,decrypt,16384,279
client,encrypt,16384,296
server,decrypt,16384,310
server,encrypt,16384,392
client,decrypt,16384,282
client,encrypt,16384,281
server,decrypt,16384,284
server,encrypt,16384,288
client,decrypt,16384,293
client,encrypt,16384,284
server,decrypt,16384,291
server,encrypt,16384,407
client,decrypt,16384,278
client,encrypt,16384,402
server,decrypt,16384,466
server,encrypt,16384,280
client,decrypt,16384,405
