endpoint,keylen,time
client,1024,5143
server,1024,5379
client,1024,5131
server,1024,5366
client,1024,4181
server,1024,4399
client,1024,4000
server,1024,4234
client,1024,3650
server,1024,3876
client,1024,3692
server,1024,3922
client,1024,3602
server,1024,3840
client,1024,4014
server,1024,5190
client,1024,3568
server,1024,3795
client,1024,4777
server,1024,5006
client,1024,4772
server,1024,4982
client,1024,3689
server,1024,3940
client,1024,3431
server,1024,3702
server,1024,4080
client,1024,3840
client,1024,3373
server,1024,3685
client,1024,3563
server,1024,3846
client,1024,3585
server,1024,3847
client,1024,3526
server,1024,3781
client,1024,3494
server,1024,3769
client,1024,3485
server,1024,3755
client,1024,3504
server,1024,3777
client,1024,4975
server,1024,5237
client,1024,3478
server,1024,3736
client,1024,3503
server,1024,3765
client,1024,3474
server,1024,3770
client,1024,3484
server,1024,3756
server,1024,3755
client,1024,3506
client,1024,3667
server,1024,3905
client,1024,3469
server,1024,3771
client,1024,3453
server,1024,3752
client,1024,3458
server,1024,3720
client,1024,3530
server,1024,3852
client,1024,3492
server,1024,3786
client,1024,3492
server,1024,3754
server,1024,3826
client,1024,3560
client,1024,3738
server,1024,4007
client,1024,3472
server,1024,3778
client,1024,3453
server,1024,3711
client,1024,3476
server,1024,3752
client,1024,3947
server,1024,4174
client,1024,3467
server,1024,3725
client,1024,3535
server,1024,3780
server,1024,3801
client,1024,3547
client,1024,3443
server,1024,3714
client,1024,3413
server,1024,3711
client,1024,3489
server,1024,3750
client,1024,3679
server,1024,3976
client,1024,3535
server,1024,3819
server,1024,315179
client,1024,314871
client,1024,3464
server,1024,3740
client,1024,3480
server,1024,3791
client,1024,3451
server,1024,3727
client,1024,3620
server,1024,4060
client,1024,3506
server,1024,3768
client,1024,3518
server,1024,3784
client,1024,3541
server,1024,3806
client,1024,3603
server,1024,3842
client,1024,3485
server,1024,3712
client,1024,3450
server,1024,3708
client,1024,3508
server,1024,3768
client,1024,4090
server,1024,4338
server,1024,3753
client,1024,3491
client,1024,3458
server,1024,3694
client,1024,3453
server,1024,3714
client,1024,4196
server,1024,4516
client,1024,3476
server,1024,3741
client,1024,3448
server,1024,3703
client,1024,3492
server,1024,3754
client,1024,3456
server,1024,3726
client,1024,3430
server,1024,3707
client,1024,3451
server,1024,3743
client,1024,3484
server,1024,3749
client,1024,3555
server,1024,3801
client,1024,3489
server,1024,3802
client,1024,3454
server,1024,3727
client,1024,3497
server,1024,3757
client,1024,3408
server,1024,3675
client,1024,3520
server,1024,3766
client,1024,3475
server,1024,3713
client,1024,3876
server,1024,4128
client,1024,3530
server,1024,3800
client,1024,3475
server,1024,3730
client,1024,3591
server,1024,3855
client,1024,3463
server,1024,3725
client,1024,3523
server,1024,3781
client,1024,3438
server,1024,3746
client,1024,3415
server,1024,3686
client,1024,3471
server,1024,3755
client,1024,3527
server,1024,3775
server,1024,4413
client,1024,4152
client,1024,4524
server,1024,4789
client,1024,3471
server,1024,3685
client,1024,3479
server,1024,3703
client,1024,3519
server,1024,3732
client,1024,3475
server,1024,3709
server,1024,3754
client,1024,3458
server,1024,3675
client,1024,3399
client,1024,3444
server,1024,3667
client,1024,3897
server,1024,4101
client,1024,3468
server,1024,3766
client,1024,3422
server,1024,3717
client,1024,3563
server,1024,3833
client,1024,3453
server,1024,3726
client,1024,3468
server,1024,3762
client,1024,3455
server,1024,3754
client,1024,3486
server,1024,3732
client,1024,3552
server,1024,3805
client,1024,3695
server,1024,3947
client,1024,3429
server,1024,3691
client,1024,3534
server,1024,3830
client,1024,3454
server,1024,3752
client,1024,3517
server,1024,3789
client,1024,3769
server,1024,4011
client,1024,3516
server,1024,3780
client,1024,3452
server,1024,3744
client,1024,3522
server,1024,3782
client,1024,3909
server,1024,4269
client,1024,3493
server,1024,3799
client,1024,3448
server,1024,3702
client,1024,3444
server,1024,3762
client,1024,3480
server,1024,3788
client,1024,3446
server,1024,3725
client,1024,3607
server,1024,3850
client,1024,3539
server,1024,3785
client,1024,3477
server,1024,3725
client,1024,3487
server,1024,3735
client,1024,3517
server,1024,3764
client,1024,3495
server,1024,3800
client,1024,3489
server,1024,3750
client,1024,3874
server,1024,4128
client,1024,3533
server,1024,3782
client,1024,3465
server,1024,3774
client,1024,3522
server,1024,3791
client,1024,3494
server,1024,3755
client,1024,3747
server,1024,4077
client,1024,3492
server,1024,3754
client,1024,3513
server,1024,3802
client,1024,3428
server,1024,3724
client,1024,3653
server,1024,3918
client,1024,3478
server,1024,3735
client,1024,3663
server,1024,3913
client,1024,3511
server,1024,3808
client,1024,3953
server,1024,4212
client,1024,3563
server,1024,3821
server,1024,4221
client,1024,3970
client,1024,3460
server,1024,3713
client,1024,3446
server,1024,3705
client,1024,3450
server,1024,3738
client,1024,3527
server,1024,3796
client,1024,3509
server,1024,3820
client,1024,3421
server,1024,3680
client,1024,3527
server,1024,3788
client,1024,3485
server,1024,3795
client,1024,3483
server,1024,3748
client,1024,3547
server,1024,3828
client,1024,3722
server,1024,3984
client,1024,3554
server,1024,3815
client,1024,3421
server,1024,3657
client,1024,3518
server,1024,3777
client,1024,3518
server,1024,3794
client,1024,3533
server,1024,3769
client,1024,3562
server,1024,3807
client,1024,3428
server,1024,3675
client,1024,3537
server,1024,3832
client,1024,3462
server,1024,3722
client,1024,3469
server,1024,3767
client,1024,3521
server,1024,3814
client,1024,3414
server,1024,3683
client,1024,3492
server,1024,3787
client,1024,3437
server,1024,3733
client,1024,3508
server,1024,3769
client,1024,3712
server,1024,3963
client,1024,3515
server,1024,3775
client,1024,3414
server,1024,3705
client,1024,3444
server,1024,3700
client,1024,3462
server,1024,3720
client,1024,3492
server,1024,3786
client,1024,3499
server,1024,3788
client,1024,3516
server,1024,3813
client,1024,3527
server,1024,3788
client,1024,3481
server,1024,3771
client,1024,3508
server,1024,3770
client,1024,3441
server,1024,3721
client,1024,3478
server,1024,3754
client,1024,5191
server,1024,5451
client,1024,3463
server,1024,3722
client,1024,3446
server,1024,3746
client,1024,3501
server,1024,3757
client,1024,3483
server,1024,3778
client,1024,3420
server,1024,3713
client,1024,3487
server,1024,3748
client,1024,3501
server,1024,3804
server,1024,5205
client,1024,4247
client,1024,3601
server,1024,4143
client,1024,3770
server,1024,4082
server,1024,3667
client,1024,3408
client,1024,3487
server,1024,3784
client,1024,3464
server,1024,3761
client,1024,3480
server,1024,3740
client,1024,3507
server,1024,3771
server,1024,3848
client,1024,3575
server,1024,5025
client,1024,4802
client,1024,3488
server,1024,3722
server,1024,3872
client,1024,3624
client,1024,5215
server,1024,5477
client,1024,3605
server,1024,3882
client,1024,3643
server,1024,3976
client,1024,3504
server,1024,3740
client,1024,3467
server,1024,3767
client,1024,3530
server,1024,3825
client,1024,3466
server,1024,3740
client,1024,3465
server,1024,3723
client,1024,3523
server,1024,3793
client,1024,3442
server,1024,3740
client,1024,3465
server,1024,3749
client,1024,3505
server,1024,3788
client,1024,3673
server,1024,3926
client,1024,3461
server,1024,3746
client,1024,3547
server,1024,3848
client,1024,3528
server,1024,3777
client,1024,3466
server,1024,3764
client,1024,3468
server,1024,3726
client,1024,3548
server,1024,3811
client,1024,3471
server,1024,3754
client,1024,3388
server,1024,3686
client,1024,3507
server,1024,3763
client,1024,3487
server,1024,3758
client,1024,3405
server,1024,3695
client,1024,3504
server,1024,3774
client,1024,3540
server,1024,3799
client,1024,3529
server,1024,3785
client,1024,3422
server,1024,3719
client,1024,3462
server,1024,3722
client,1024,3468
server,1024,3724
client,1024,3403
server,1024,3695
client,1024,3487
server,1024,3783
client,1024,3516
server,1024,3812
client,1024,3443
server,1024,3753
client,1024,3554
server,1024,4041
client,1024,3480
server,1024,3755
client,1024,3467
server,1024,3730
client,1024,3562
server,1024,3868
server,1024,3746
client,1024,3487
client,1024,3495
server,1024,3735
client,1024,3434
server,1024,3746
client,1024,3466
server,1024,3725
client,1024,3492
server,1024,3786
client,1024,3555
server,1024,3826
client,1024,3457
server,1024,3775
client,1024,3453
server,1024,3725
client,1024,3543
server,1024,3765
client,1024,3550
server,1024,3826
client,1024,3472
server,1024,3766
client,1024,3532
server,1024,3826
client,1024,3474
server,1024,3734
client,1024,3463
server,1024,3737
client,1024,3539
server,1024,3826
server,1024,5198
client,1024,4835
client,1024,3503
server,1024,3783
client,1024,4211
server,1024,4474
client,1024,3484
server,1024,3729
client,1024,3517
server,1024,3755
client,1024,3496
server,1024,3773
client,1024,3474
server,1024,4083
client,1024,3480
server,1024,3741
client,1024,3457
server,1024,3760
client,1024,3489
server,1024,3788
client,1024,3646
server,1024,3910
client,1024,3444
server,1024,3744
client,1024,3497
server,1024,3754
server,1024,3677
client,1024,3427
client,1024,3951
server,1024,4413
client,1024,3433
server,1024,3702
client,1024,3511
server,1024,3771
client,1024,3503
server,1024,3759
client,1024,3442
server,1024,3704
client,1024,3487
server,1024,3776
client,1024,3528
server,1024,3808
client,1024,3469
server,1024,3714
client,1024,3497
server,1024,3785
client,1024,3439
server,1024,3733
client,1024,3480
server,1024,3749
client,1024,3480
server,1024,3750
client,1024,3442
server,1024,3714
client,1024,3570
server,1024,3808
client,1024,3444
server,1024,3716
client,1024,3421
server,1024,3731
client,1024,3626
server,1024,3896
client,1024,3481
server,1024,3753
client,1024,3547
server,1024,3821
client,1024,3497
server,1024,3787
client,1024,3531
server,1024,3819
client,1024,3467
server,1024,3776
client,1024,3375
server,1024,3677
client,1024,3461
server,1024,3721
client,1024,4398
server,1024,4704
server,1024,4510
client,1024,4254
client,1024,3602
server,1024,3869
client,1024,3517
server,1024,3754
server,1024,3690
client,1024,3457
client,2048,23078
server,2048,23689
client,2048,17354
server,2048,17923
server,2048,18263
client,2048,17637
client,2048,16985
server,2048,17595
client,2048,17504
server,2048,18231
server,2048,17566
client,2048,16968
client,2048,17937
server,2048,18504
client,2048,17828
server,2048,21208
client,2048,17474
server,2048,18056
server,2048,25715
client,2048,25130
client,2048,17371
server,2048,17969
server,2048,18853
client,2048,17310
client,2048,327481
server,2048,328115
client,2048,17313
server,2048,17912
client,2048,17306
server,2048,17946
client,2048,17034
server,2048,17671
client,2048,17403
server,2048,18021
server,2048,17696
client,2048,17043
client,2048,17352
server,2048,17970
client,2048,17115
server,2048,17819
client,2048,17206
server,2048,17791
client,2048,16937
server,2048,17574
client,2048,17259
server,2048,17871
client,2048,17059
server,2048,17651
client,2048,17214
server,2048,17839
client,2048,17053
server,2048,17695
client,2048,17253
server,2048,17844
client,2048,17025
server,2048,17655
client,2048,17262
server,2048,17864
client,2048,17000
server,2048,17635
server,2048,17841
client,2048,17212
client,2048,16991
server,2048,17596
client,2048,17305
server,2048,17884
client,2048,17351
server,2048,17957
client,2048,17943
server,2048,18532
client,2048,17278
server,2048,17875
client,2048,17664
server,2048,18260
client,2048,17573
server,2048,18178
client,2048,17729
server,2048,18308
client,2048,17437
server,2048,18038
client,2048,17498
server,2048,18120
client,2048,16932
server,2048,17564
client,2048,17494
server,2048,18059
client,2048,17475
server,2048,18040
client,2048,17352
server,2048,17945
client,2048,17114
server,2048,17729
client,2048,17299
server,2048,17912
server,2048,17615
client,2048,17015
client,2048,17519
server,2048,18111
client,2048,16893
server,2048,17496
server,2048,17842
client,2048,17182
client,2048,330727
server,2048,331333
client,2048,16980
server,2048,17595
server,2048,18042
client,2048,17412
client,2048,17696
server,2048,18265
client,2048,16987
server,2048,17629
client,2048,17382
server,2048,17995
client,2048,16912
server,2048,17515
client,2048,17478
server,2048,18067
client,2048,16979
server,2048,17584
client,2048,17404
server,2048,18078
client,2048,16992
server,2048,17604
client,2048,17247
server,2048,17867
client,2048,17002
server,2048,17637
client,2048,17377
server,2048,18017
client,2048,17090
server,2048,17695
client,2048,17571
server,2048,18148
server,2048,18718
client,2048,18101
client,2048,17406
server,2048,18022
client,2048,17161
server,2048,17752
client,2048,18101
server,2048,18685
client,2048,17053
server,2048,17637
server,2048,18137
client,2048,17528
client,2048,17023
server,2048,17611
server,2048,18010
client,2048,17402
client,2048,17235
server,2048,17820
server,2048,17829
client,2048,17149
client,2048,326143
server,2048,326786
client,2048,16873
server,2048,17505
client,2048,19139
server,2048,19771
server,2048,17813
client,2048,17204
client,2048,16952
server,2048,17580
client,2048,17289
server,2048,17898
client,2048,17218
server,2048,17806
server,2048,18069
client,2048,17124
client,2048,17405
server,2048,17996
client,2048,16979
server,2048,17610
client,2048,17273
server,2048,18008
client,2048,17039
server,2048,17665
client,2048,17274
server,2048,17867
client,2048,16991
server,2048,17614
client,2048,17544
server,2048,18149
client,2048,17597
server,2048,18186
client,2048,17497
server,2048,18078
client,2048,17094
server,2048,17694
client,2048,27821
server,2048,28417
client,2048,17046
server,2048,17680
client,2048,17507
server,2048,18156
server,2048,17781
client,2048,17194
client,2048,17197
server,2048,17774
server,2048,17664
client,2048,17078
server,2048,17803
client,2048,17218
client,2048,17300
server,2048,17879
client,2048,17625
server,2048,18215
client,2048,16906
server,2048,17535
client,2048,17860
server,2048,18462
client,2048,17089
server,2048,17702
server,2048,18131
client,2048,17504
client,2048,17108
server,2048,17737
client,2048,17285
server,2048,17889
server,2048,17591
client,2048,16974
client,2048,17489
server,2048,18077
client,2048,17832
server,2048,18480
client,2048,17051
server,2048,17679
server,2048,17831
client,2048,17164
client,2048,341395
server,2048,341961
client,2048,17157
server,2048,18153
client,2048,17032
server,2048,17653
client,2048,17641
server,2048,18239
client,2048,16980
server,2048,17589
client,2048,17472
server,2048,18064
client,2048,17471
server,2048,18049
client,2048,17794
server,2048,18371
server,2048,17844
client,2048,17220
client,2048,17261
server,2048,17845
client,2048,17311
server,2048,17919
client,2048,17353
server,2048,17963
client,2048,17270
server,2048,17875
client,2048,17133
server,2048,17699
client,2048,17039
server,2048,17624
client,2048,17488
server,2048,18085
client,2048,16873
server,2048,17472
client,2048,17492
server,2048,18108
client,2048,17632
server,2048,18231
client,2048,17188
server,2048,17770
client,2048,16946
server,2048,17586
client,2048,17245
server,2048,17894
client,2048,17367
server,2048,18010
client,2048,17560
server,2048,18142
server,2048,17652
client,2048,17003
client,2048,17521
server,2048,18126
client,2048,17041
server,2048,17670
client,2048,17297
server,2048,17909
client,2048,16931
server,2048,17545
client,2048,17484
server,2048,18080
client,2048,17504
server,2048,18080
client,2048,17628
server,2048,18249
client,2048,17001
server,2048,17648
client,2048,17413
server,2048,18015
client,2048,17014
server,2048,17641
client,2048,17375
server,2048,17977
client,2048,16955
server,2048,17554
client,2048,17412
server,2048,18019
client,2048,17178
server,2048,17776
server,2048,18030
client,2048,17426
client,2048,17330
server,2048,17939
client,2048,17279
server,2048,17873
client,2048,17079
server,2048,17700
client,2048,17272
server,2048,17876
client,2048,16968
server,2048,17553
client,2048,17276
server,2048,17857
client,2048,16989
server,2048,17612
client,2048,17559
server,2048,18185
server,2048,17717
client,2048,17093
client,2048,17526
server,2048,18125
server,2048,17700
client,2048,17069
server,2048,17941
client,2048,17326
client,2048,17902
server,2048,18505
client,2048,17676
server,2048,18293
client,2048,17023
server,2048,17644
client,2048,17345
server,2048,18063
client,2048,17084
server,2048,17722
client,2048,17306
server,2048,17919
client,2048,17054
server,2048,17685
client,2048,18254
server,2048,18854
client,2048,17046
server,2048,17635
client,2048,17355
server,2048,17969
client,2048,17027
server,2048,17706
client,2048,17169
server,2048,17779
client,2048,17168
server,2048,17824
client,2048,17160
server,2048,17763
client,2048,16894
server,2048,17538
client,2048,17289
server,2048,17901
client,2048,17021
server,2048,17652
client,2048,17150
server,2048,17758
client,2048,17071
server,2048,17698
client,2048,17125
server,2048,17766
client,2048,16901
server,2048,17521
client,2048,17237
server,2048,17863
client,2048,17360
server,2048,17973
client,2048,17464
server,2048,18064
server,2048,17873
client,2048,17289
client,2048,17489
server,2048,18069
client,2048,16982
server,2048,17542
client,2048,17049
server,2048,17677
client,2048,23661
server,2048,24762
client,2048,16954
server,2048,17564
client,2048,17775
server,2048,18377
client,2048,17075
server,2048,17680
client,2048,17564
server,2048,18153
client,2048,17033
server,2048,17669
client,2048,17578
server,2048,18327
client,2048,16953
server,2048,17558
server,2048,18007
client,2048,17285
server,2048,17874
client,2048,17294
client,2048,17236
server,2048,17851
client,2048,16959
server,2048,17591
client,2048,17964
server,2048,18561
client,2048,17273
server,2048,17934
client,2048,17624
server,2048,18201
client,2048,17370
