endpoint,operation,msglen,time
client,encrypt,256,13
server,decrypt,256,13
server,encrypt,256,11
client,decrypt,256,10
client,encrypt,256,11
server,decrypt,256,12
server,encrypt,256,12
client,decrypt,256,11
client,encrypt,256,14
server,decrypt,256,11
server,encrypt,256,11
client,decrypt,256,16
client,encrypt,256,11
server,decrypt,256,11
server,encrypt,256,10
client,decrypt,256,11
client,encrypt,256,11
server,decrypt,256,21
server,encrypt,256,11
client,decrypt,256,11
client,encrypt,512,18
server,decrypt,512,17
server,encrypt,512,17
client,decrypt,512,23
client,encrypt,512,23
server,decrypt,512,17
server,encrypt,512,17
client,decrypt,512,17
client,encrypt,512,17
server,decrypt,512,17
server,encrypt,512,17
client,decrypt,512,17
client,encrypt,512,23
server,decrypt,512,17
server,encrypt,512,22
client,decrypt,512,25
client,encrypt,512,17
server,decrypt,512,17
server,encrypt,512,18
client,decrypt,512,27
client,encrypt,1024,60
server,decrypt,1024,38
server,encrypt,1024,30
client,decrypt,1024,42
client,encrypt,1024,31
server,decrypt,1024,40
server,encrypt,1024,31
client,decrypt,1024,31
client,encrypt,1024,31
server,decrypt,1024,44
server,encrypt,1024,31
client,decrypt,1024,31
client,encrypt,1024,33
server,decrypt,1024,31
server,encrypt,1024,30
client,decrypt,1024,42
client,encrypt,1024,31
server,decrypt,1024,42
server,encrypt,1024,32
client,decrypt,1024,32
client,encrypt,2048,58
server,decrypt,2048,58
server,encrypt,2048,57
client,decrypt,2048,58
client,encrypt,2048,58
server,decrypt,2048,56
server,encrypt,2048,57
client,decrypt,2048,57
client,encrypt,2048,58
server,decrypt,2048,58
server,encrypt,2048,72
client,decrypt,2048,58
client,encrypt,2048,58
server,decrypt,2048,56
server,encrypt,2048,57
client,decrypt,2048,73
client,encrypt,2048,71
server,decrypt,2048,61
server,encrypt,2048,57
client,decrypt,2048,62
